alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
7.25,1.1021,0.00958,0.00473,-0.0167,0.2233,0.9874,-2.3729,0,0.25
7.5,1.1355,0.00982,0.00493,-0.0181,0.2175,0.9884,-2.4359,0,0.2504
7.75,1.168,0.01008,0.00516,-0.0194,0.212,0.9898,-2.4981,0,0.2507
8,1.1992,0.01034,0.00542,-0.0205,0.2076,0.9916,-2.5592,0,0.2507
8.25,1.2305,0.01047,0.00556,-0.0214,0.2073,0.9935,-2.622,0,0.2507
8.5,1.2643,0.01059,0.00569,-0.0229,0.2068,0.9944,-2.6883,0,0.251
8.75,1.2981,0.01072,0.00584,-0.0245,0.206,0.9953,-2.7548,0,0.2513
9,1.3314,0.01088,0.00601,-0.0259,0.2049,0.9963,-2.8287,0,0.2514
9.25,1.3639,0.01104,0.00618,-0.0273,0.2032,0.9975,-2.9043,0,0.2515
9.5,1.3957,0.01124,0.0064,-0.0285,0.2006,0.9985,-2.9793,0,0.2515
9.75,1.4276,0.01146,0.00661,-0.0298,0.1971,0.9995,-3.055,0,0.2515
10,1.4461,0.0117,0.00681,-0.0283,0.1929,1,-3.1127,0,0.2497
10.25,1.4432,0.01185,0.00695,-0.0225,0.1891,1,-3.1411,0,0.2452
10.5,1.4456,0.01207,0.00714,-0.0178,0.1837,1,-3.1765,0,0.2415
10.75,1.4524,0.01232,0.00738,-0.014,0.1786,1,-3.2181,0,0.2384
11,1.462,0.0126,0.00767,-0.0109,0.1747,1,-3.2718,0,0.2357
11.25,1.476,0.01282,0.00792,-0.0086,0.1735,1,-3.3331,0,0.2336
11.5,1.4927,0.01301,0.00815,-0.0069,0.1733,1,-3.3992,0,0.2318
11.75,1.5098,0.01321,0.00838,-0.0053,0.1728,1,-3.4665,0,0.2302
12,1.5271,0.01343,0.00864,-0.0038,0.172,1,-3.5344,0,0.2287
12.25,1.5443,0.01369,0.00891,-0.0023,0.1706,1,-3.6088,0,0.2272
12.5,1.5604,0.014,0.00926,-0.0008,0.1688,1,-3.6878,0,0.2257
12.75,1.5758,0.01436,0.00964,0.0008,0.1661,1,-3.7654,0,0.2241
13,1.5893,0.01484,0.0101,0.0026,0.1619,1,-3.8394,0,0.2225
13.25,1.5998,0.01548,0.01068,0.0046,0.1563,1,-3.9184,0,0.2207
13.5,1.611,0.01612,0.0113,0.0065,0.1493,1,-4.0018,0,0.219
13.75,1.6226,0.01676,0.01195,0.0082,0.1438,1,-4.0864,0,0.2174
14,1.6369,0.01731,0.01253,0.0094,0.1413,1,-4.1779,0,0.2161
14.25,1.6524,0.01782,0.01309,0.0105,0.1409,1,-4.2734,0,0.2149
14.5,1.6683,0.01834,0.01365,0.0114,0.1402,1,-4.3748,0,0.2139
14.75,1.6832,0.01894,0.01428,0.0124,0.1387,1,-4.4889,0,0.2127
15,1.6947,0.01974,0.0151,0.0136,0.1359,1,-4.5943,0,0.2115
15.25,1.7046,0.02068,0.01605,0.0149,0.1319,1,-4.694,0,0.2102
15.5,1.7097,0.02195,0.01731,0.0164,0.1276,1,-4.7812,0,0.2087
15.75,1.7144,0.02328,0.01863,0.0178,0.1225,1,-4.8674,0,0.2073
16,1.7188,0.02471,0.02006,0.019,0.1168,1,-4.9529,0,0.2059
16.25,1.7247,0.02612,0.02151,0.0199,0.1118,1,-5.043,0,0.2048
16.5,1.734,0.02735,0.0228,0.0205,0.1111,1,-5.1444,0,0.2038
16.75,1.7439,0.02856,0.02406,0.021,0.1103,1,-5.2484,0,0.2029
17,1.7492,0.03022,0.02577,0.0215,0.1091,1,-5.338,0,0.202
17.25,1.755,0.03185,0.02744,0.022,0.1071,1,-5.4294,0,0.2011
17.5,1.753,0.03424,0.02987,0.0225,0.1042,1,-5.4956,0,0.2001
17.75,1.7464,0.03712,0.03278,0.0229,0.1006,1,-5.5457,0,0.1991
18,1.7367,0.04034,0.03601,0.0231,0.0964,1,-5.5845,0,0.198
18.25,1.7221,0.04411,0.03982,0.0232,0.0918,1,-5.605,0,0.1971
18.5,1.7078,0.0481,0.04387,0.023,0.087,1,-5.6245,0,0.1963
18.75,1.7027,0.05118,0.04702,0.0227,0.0842,1,-5.6761,0,0.1957
19,1.6908,0.05521,0.05114,0.022,0.0835,1,-5.7062,0,0.1952
19.25,1.6796,0.05916,0.05517,0.0213,0.0823,1,-5.746,0,0.1947
19.5,1.6632,0.06377,0.05987,0.0204,0.0806,1,-5.7618,0,0.1944
19.75,1.6377,0.06958,0.06578,0.0191,0.079,1,-5.7385,0,0.1942
20,1.6181,0.0746,0.07085,0.0179,0.0767,1,-5.7382,0,0.1939
20.25,1.5852,0.08137,0.07772,0.016,0.0748,1,-5.6778,0,0.194
20.5,1.5462,0.08879,0.08524,0.0139,0.0733,1,-5.5885,0,0.1943
20.75,1.5219,0.09461,0.0911,0.0121,0.0704,1,-5.5594,0,0.1945
21,1.4819,0.10288,0.09947,0.0092,0.0683,1,-5.4548,0,0.1955
21.25,1.466,0.10792,0.10456,0.0073,0.0643,1,-5.4568,0,0.1959
21.5,1.4215,0.11716,0.11394,0.0037,0.0623,1,-5.3199,0,0.1976
21.75,1.42,0.12028,0.1171,0.0022,0.0606,1,-5.3846,0,0.1978
22,1.4205,0.12308,0.11995,0.0008,0.06,1,-5.4582,0,0.198
22.25,1.4178,0.12635,0.12326,-0.0008,0.0591,1,-5.5168,0,0.1984
22.5,1.3676,0.1367,0.13379,-0.0057,0.0586,1,-5.3329,0,0.2012
22.75,1.3683,0.13948,0.13657,-0.0073,0.0568,1,-5.4044,0,0.2016
23,1.3672,0.1425,0.13957,-0.009,0.0542,1,-5.4667,0,0.2021
23.25,1.362,0.14609,0.14315,-0.0111,0.0513,1,-5.507,0,0.2029
23.5,1.3035,0.15723,0.15445,-0.0176,0.05,1,-5.2489,0,0.2077
23.75,1.3013,0.16027,0.15746,-0.0197,0.0461,1,-5.2971,0,0.2086
24,1.303,0.16282,0.16002,-0.0216,0.0422,1,-5.3659,0,0.2092
24.25,1.3082,0.16487,0.16209,-0.0232,0.0408,1,-5.4562,0,0.2095
24.5,1.3144,0.16678,0.16403,-0.0248,0.0405,1,-5.5537,0,0.2098
