name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,powertrain_weight,nacelle_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,cm,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep_le2,sweep1_1/4,sweep2_1/4,sweep_m,taper1,taper2,StotS,mission_energy,power_hover,power_climb,power_cruise,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress
W1,4012.6286872062938,3537.6286872062938,170.76713275823298,170.76713275823298,333.05691535575994,164.99482128657917,359.3725799959794,367.2389505567168,1578.700215033705,392.7309394610877,10.74,1.38,0.8,1000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.416244680778577,1.7158349017125065,0.1255543357229524,1.416244680778577,1.7158349017125065,0.1255543357229524,1.5,0.031506484496656634,0.016450178831419134,5.15,-2.56,0.7282019379162183,8.00722954132503,8.00722954132503,6.0,6.0,10.685954154578042,10.685954154578042,21.371908309156083,0.5,0.5,1.9064832241250074,1.9064832241250074,0.762593289650003,0.762593289650003,0.07317390245276024,0.07317390245276024,0.1,0.1,-0.36837,0.4,0.4,1.2,1971259114.0076995,2515608.0599718555,275831.9986213943,326422.019412167,0.012986928867453921,0.054504854574622,1.2237037037037035,1860.46875,221.6754,14.428983641759228,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",44404137.2224422,15890315.948153444,20411567.897983175,1502455233.2982397,5393871.472048557,255950232.2871649,12796710.764942328,75468241.79915567,38488803.31756939,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208
W1,3974.369358711271,3499.369358711271,195.7991449308268,195.7991449308268,330.7671378814064,161.85168092945588,352.40784517553124,360.12176341240047,1516.3221547630924,386.30048668773145,10.74,1.38,0.8,1000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.341712546818468,1.7760489802436779,0.11920953301421948,1.341712546818468,1.7760489802436779,0.11920953301421948,1.5,0.030449426404500775,0.01669902891308419,5.15,-2.56,0.7297880518122389,8.288228574470496,8.288228574470496,6.555555555555555,6.555555555555555,10.47885756142412,10.47885756142412,20.95771512284824,0.5,0.5,1.8061515053325534,1.8061515053325534,0.7224606021330214,0.7224606021330214,0.06712063368762705,0.06712063368762705,0.1,0.1,-0.36837,0.4,0.4,1.2,1883624404.0131476,2466854.9162287186,270486.3021706141,309356.5006314025,0.013114633144633165,0.05696925504155137,1.2237037037037035,1860.46875,221.6754,14.92988877269633,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",43543573.40121643,15582357.458963018,20015986.360625442,1423906065.4226077,5289336.828757689,250989849.6805338,12548707.15528242,74005647.48686156,37742880.2182994,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208
W1,4170.082417462605,3695.082417462605,232.9553786533063,232.9553786533063,336.1371230125046,169.2661916667724,368.8373059190655,376.9108515552292,1576.5657191233086,401.4544688791122,10.74,1.38,0.8,1000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.317923301150406,1.8924026888313523,0.11735392403032234,1.317923301150406,1.8924026888313523,0.11735392403032234,1.5,0.0290686320929105,0.016441097363849452,5.15,-2.56,0.7325975595205902,8.831212547879643,8.831212547879643,7.111111111111111,7.111111111111111,10.9673880561319,10.9673880561319,21.9347761122638,0.5,0.5,1.7741275207793925,1.7741275207793925,0.7096510083117571,0.7096510083117571,0.06201318816704594,0.06201318816704594,0.1,0.1,-0.36837,0.4,0.4,1.2,1903859722.4032366,2581861.1414334583,283096.5324592229,309096.4370571116,0.012819217317880233,0.060144661546008796,1.2237037037037035,1860.46875,221.6754,15.63907609957582,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",45573600.370315716,16308816.116647653,20949143.401982494,1422709044.8328595,5535928.818627041,262691143.90200028,13133735.253868386,77455834.24300376,39502475.46393191,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208
W1,4370.2705945533735,3895.2705945533735,274.69217475649447,274.69217475649447,341.89192867280616,177.37834243630596,386.8126339394172,395.27964473967467,1626.5473694352384,417.97632581694205,10.74,1.38,0.8,1000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.2998357659043611,2.0122457529865594,0.11599782237501084,1.2998357659043611,2.0122457529865594,0.11599782237501084,1.5,0.027844972645234375,0.016173714341237287,5.15,-2.56,0.7351860226011644,9.390480180603944,9.390480180603944,7.666666666666667,7.666666666666667,11.501884959432452,11.501884959432452,23.003769918864904,0.5,0.5,1.7497789156404862,1.7497789156404862,0.6999115662561946,0.6999115662561946,0.05764595214220121,0.05764595214220121,0.1,0.1,-0.36837,0.4,0.4,1.2,1933836121.5173151,2707688.4375759205,296893.27414102916,310514.58825335454,0.012517817204977508,0.06327978510736171,1.2237037037037035,1860.46875,221.6754,16.32634210863211,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",47794634.96355887,17103628.12350216,21970102.28643616,1429236510.9953458,5805722.938731516,275493426.65350705,13773809.334044393,81230653.12727761,41427633.09491158,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208
W1,4604.209713937589,4129.209713937589,321.85921631883724,321.85921631883724,348.24630865193143,186.53326348678752,407.09858689542864,416.00964054150216,1691.0491750361223,436.55430668814364,10.74,1.38,0.8,1000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.28764646660923,2.1378233003319913,0.11516215355610189,1.28764646660923,2.1378233003319913,0.11516215355610189,1.5,0.026735827676616863,0.015889031195851718,5.15,-2.56,0.7376168037977129,9.976508734882625,9.976508734882625,8.222222222222221,8.222222222222221,12.105088362631133,12.105088362631133,24.210176725262265,0.5,0.5,1.7333702435124252,1.7333702435124252,0.6933480974049702,0.6933480974049702,0.05386888314774092,0.05386888314774092,0.1,0.1,-0.36837,0.4,0.4,1.2,1975337737.2578104,2849690.1082680007,312463.5075401906,313781.8294602182,0.012201946967745493,0.0663373768336696,1.2237037037037035,1860.46875,221.6754,17.00364600304474,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",50301170.767589375,18000608.638220355,23122299.557974104,1444274968.4454286,6110197.539809799,289941369.15183485,14496161.252413373,85490703.24804002,43600258.656500414,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208
W1,4939.178072241072,4464.178072241072,379.35385128776375,379.35385128776375,357.1506979143106,199.70620016080156,436.2878690517733,445.8378521060012,1803.3174094910134,463.17034094164467,10.74,1.38,0.8,1000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.2901366894181334,2.286684580923807,0.11563746581818973,1.2901366894181334,2.286684580923807,0.11563746581818973,1.5,0.025620909776241343,0.01549585351158624,5.15,-2.56,0.7401836311541463,10.671194710977765,10.671194710977765,8.777777777777779,8.777777777777779,12.973032519448083,12.973032519448083,25.946065038896165,0.5,0.5,1.7367224665244105,1.7367224665244105,0.6946889866097643,0.6946889866097643,0.0505699241525794,0.0505699241525794,0.1,0.1,-0.36837,0.4,0.4,1.2,2052424476.438463,3054015.083362413,334867.3816354219,322256.9165165688,0.011786703580244478,0.06957763212382044,1.2237037037037035,1860.46875,221.6754,17.74357559438279,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",53907803.444766395,19291266.138492923,24780186.24102122,1483284098.170816,6548303.408416817,310730388.58201957,15535547.176612748,91620452.50087239,46726430.775444925,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208
W1,5211.327932514489,4736.327932514489,439.20844989451865,439.20844989451865,364.44060807251833,210.78542059314623,460.8377852378884,470.92514579030274,1865.4628084254532,485.45926460614186,10.74,1.38,0.8,1000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.2858701068819627,2.4233705860467762,0.11550680465479621,1.2858701068819627,2.4233705860467762,0.11550680465479621,1.5,0.02470880753317122,0.015213410299115755,5.15,-2.56,0.7422865463675026,11.309062734884956,11.309062734884956,9.333333333333334,9.333333333333334,13.703024993738955,13.703024993738955,27.40604998747791,0.5,0.5,1.7309789900334116,1.7309789900334116,0.6923915960133646,0.6923915960133646,0.04766369837112758,0.04766369837112758,0.1,0.1,-0.36837,0.4,0.4,1.2,2112138276.3869164,3225864.496665219,353710.3675072978,328272.44498493744,0.011468454348976583,0.07257095468942358,1.2237037037037035,1860.46875,221.6754,18.39856289306137,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",56941195.2721003,20376785.58658887,26174567.195540037,1510972371.9111447,6916776.408106862,328215185.97679263,16409732.337708805,96775934.89995657,49355726.79897785,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208
W1,5634.190140061667,5159.190140061667,513.721396492655,513.721396492655,374.9792613452458,227.26320770093523,497.35012786155255,508.23671360004414,2005.4569204325473,518.4611161360323,10.74,1.38,0.8,1000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.2977732451614525,2.5913869606909774,0.11683012812022107,1.2977732451614525,2.5913869606909774,0.11683012812022107,1.5,0.023752359735226523,0.014818159981799778,5.15,-2.56,0.7445919698518294,12.093139149891227,12.093139149891227,9.88888888888889,9.88888888888889,14.788720567277384,14.788720567277384,29.577441134554768,0.5,0.5,1.7470024454096478,1.7470024454096478,0.6988009781638591,0.6988009781638591,0.045084014812310794,0.045084014812310794,0.1,0.1,-0.36837,0.4,0.4,1.2,2216361833.4490843,3481450.895030868,381734.96649130224,340567.78016279056,0.011039459577769029,0.07577712639272978,1.2237037037037035,1860.46875,221.6754,19.139426755034524,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",61452666.548490256,21991245.59993699,28248387.520356365,1567565339.2495263,7464795.077916471,354219792.60532266,17709881.30263744,104443526.85092603,53266198.69397228,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208
W1,6131.303723153369,5656.303723153369,601.561896220228,601.561896220228,387.2678017728013,247.15264164176034,541.4221760005202,553.2734626687144,2165.979078621001,558.0847700081162,10.74,1.38,0.8,1000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.317549061745018,2.7786771879109673,0.11886838030712404,1.317549061745018,2.7786771879109673,0.11886838030712404,1.5,0.02283606570435306,0.014402754808227815,5.15,-2.56,0.7468580193597806,12.967160210251178,12.967160210251178,10.444444444444445,10.444444444444445,16.099204204945664,16.099204204945664,32.19840840989133,0.5,0.5,1.7736237369644472,1.7736237369644472,0.7094494947857789,0.7094494947857789,0.04277876567464473,0.04277876567464473,0.1,0.1,-0.36837,0.4,0.4,1.2,2346931353.891905,3789955.2320036413,415561.9243567181,356444.474190171,0.01058061496837484,0.0791015078976024,1.2237037037037035,1860.46875,221.6754,19.907393650778523,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",66898216.32654704,23939971.820001572,30751582.402397137,1640642584.6874104,8126278.386337466,385608528.381063,19279219.878383238,113698656.96010923,57986315.04965571,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208
W1,6590.2391668596,6115.2391668596,694.1248507139205,694.1248507139205,398.1479051560049,265.35715393646655,581.7606866180547,594.494950146613,2293.0570073082713,594.1717622663484,10.74,1.38,0.8,1000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.330813784031628,2.955942154916405,0.12032567501295863,1.330813784031628,2.955942154916405,0.12032567501295863,1.5,0.022069500804736686,0.01408242379788598,5.15,-2.56,0.7487570885191923,13.794396722943222,13.794396722943222,11.0,11.0,17.2986709954497,17.2986709954497,34.5973419908994,0.5,0.5,1.7914800938887303,1.7914800938887303,0.7165920375554922,0.7165920375554922,0.04070636998522777,0.04070636998522777,0.1,0.1,-0.36837,0.4,0.4,1.2,2462612237.5835924,4072324.806326383,446523.25147068256,370144.6207051368,0.010207202849675098,0.08216397990928606,1.2237037037037035,1860.46875,221.6754,20.59885964045136,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",71882449.57224983,25723612.849591915,33042720.608830508,1703701617.4862123,8731724.527073305,414338185.9492384,20715612.86381056,122169744.18979149,62306569.53679366,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208
