name,mtom,oem,wing_weight,fuselage_weight,lg_weight,hortail_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac,y_mac,x_lemac,cLmax,cd,cd0,clalpha,cm,e,A,A_h,S,S_h,c_root,c_tip,t_r_h,sweep_le,sweep_1/4,sweep_m,b,taper,StotS,diskloading,mission_energy,wp_hover,power_hover,power_climb,power_cruise,wp_cruise,tw,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,ww,w_eng,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,cl_alpha,depsda,diskarea
J1,1690.7277647272997,1215.7277647272997,205.71548531375694,254.2243322253953,70.44782066512394,26.281158319311977,32.488218346550696,31.79231078014279,291.16326979826596,193.09446339445202,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1215352277431792,1.9022962901336238,0.1003760699024523,1.5,0.03469539817451038,0.025854798158957804,4.97,-0.115,0.799480152200161,8.4,6,9.381895640071491,3.25,1.5097589604235107,0.6039035841694043,0.14877,0.0527657391874541,0.1,-0.255,8.877382687290243,0.4,1.2,45.0,624065914.5659267,0.06822382182812936,222546.17546099954,81626.64531351694,113927.52804275558,0.06822382182812936,1.2333333333333332,0.0569886901808185,0.0569886901808185,1.2249512670565301,1767.4453125,220.449,12.447651408085157,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,3928263.3374972125,1691879.4152921638,6040371.7532002535,524385612.9338984,1444949.051400346,75322186.43335286,1171309.892902309,6676385.263829987,3404956.4845532933,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,4.866549364550132,0.1,37.57538103998261
J1,1841.358040720488,1366.358040720488,219.42128755422297,257.36272305860996,76.46327802879514,28.34436640675478,51.55268322788741,50.44840899701917,352.1894633295529,206.36146277941938,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1703472851340073,1.9850890490157584,0.10474469102423682,1.5,0.03328798658947127,0.024447386573918692,4.97,-0.115,0.799480152200161,8.4,6,10.216314713946671,3.25,1.575467499218856,0.6301869996875424,0.14877,0.052765739187454114,0.1,-0.255,9.263748895406872,0.4,1.2,95.55555555555556,682013512.15908,0.06822382182812936,353138.8629791342,91314.00568178657,122278.40703591322,0.06822382182812936,1.2333333333333332,0.054938466174729715,0.058962520771983384,1.2249512670565301,1767.4453125,220.449,12.973936431397698,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,6233414.012228172,2493633.431097878,6757236.420452206,562823037.8003483,1616434.0134607253,84261340.56498845,1831225.423549484,10594165.889374025,5403024.603580753,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,4.866549364550132,0.1,19.269197606620327
J1,1987.5370035461692,1512.5370035461692,232.46962180596503,260.20635099866075,82.3035180787694,30.329306787417096,68.80271023729914,67.32893515573666,414.46095567321373,219.13224085036478,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.2158641752942085,2.0622926973259466,0.1088183985952921,1.5,0.03212997150175003,0.023289371486197454,4.97,-0.115,0.799480152200161,8.4,6,11.02642895781759,3.25,1.6367402359729732,0.6546960943891893,0.14877,0.05276573918745409,0.1,-0.255,9.624032587521084,0.4,1.2,146.11111111111111,738989405.4226514,0.06822382182812936,471302.54609015665,101048.64074299777,130606.76316285564,0.06822382182812936,1.2333333333333332,0.052881798841933246,0.06069557750435797,1.2249512670565301,1767.4453125,220.449,13.441537659549315,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,8319174.700890349,3223927.7464896124,7477599.414981835,601156794.4207808,1788755.8287625778,93244118.11421825,2429029.8586438606,14139076.3827047,7210928.955179397,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,4.866549364550132,0.1,13.601191321345022
J1,2127.8850861933342,1652.8850861933345,244.80133176728822,262.7773757632406,87.92071206641936,32.222926701823816,85.46388438035443,83.63322185646712,474.4789782455248,231.32437484918557,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.2580900422622552,2.1339142639909783,0.11259756350213607,1.5,0.031169335778459303,0.02232873576290673,4.97,-0.115,0.799480152200161,8.4,6,11.805603926833006,3.25,1.6935827491991895,0.6774330996796758,0.14877,0.052765739187454114,0.1,-0.255,9.958266565291233,0.4,1.2,196.66666666666669,795260792.6101867,0.06822382182812936,585432.5529952698,110741.84889390289,138855.84563244414,0.06822382182812936,1.2333333333333332,0.05110690219072443,0.06221723096198497,1.2249512670565301,1767.4453125,220.449,13.855804467911794,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,10333735.143930757,3930746.8732050555,8194896.818148814,639125670.2602887,1960344.3078539402,102188668.37321152,3006636.1828623195,17562976.589858092,8957118.060827628,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,4.866549364550132,0.1,10.818891394802883
J1,2287.3660379896046,1812.3660379896044,258.54964373822634,265.52293022339023,94.29103355205672,34.35344893691346,102.99322272484935,100.78707641610396,546.0536789087805,245.05445458113775,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.30432418655042,2.212334485648982,0.11673546446516461,1.5,0.03022552597737252,0.021384925961819942,4.97,-0.115,0.799480152200161,8.4,6,12.68924708694156,3.25,1.7558210203563347,0.7023284081425339,0.14877,0.0527657391874541,0.1,-0.255,10.324227599695249,0.4,1.2,247.22222222222223,857027390.3992908,0.06822382182812936,705509.5349127277,121663.73948526636,147931.23334817018,0.06822382182812936,1.2333333333333332,0.049295325042671784,0.06378295577332621,1.2249512670565301,1767.4453125,220.449,14.288460100391013,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,12453268.336386485,4678014.232193157,9003116.721909711,680897863.7914059,2153682.8358416343,112267003.40912576,3614859.140881542,21165286.04738183,10794295.884164734,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,4.866549364550132,0.1,9.250679989586166
J1,2420.647397624055,1945.6473976240547,269.8544485362002,267.6932849995574,99.61151888962911,36.119996883176825,119.60869132296797,117.04663659863932,602.3853321508539,256.4504520953884,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.3417184704329446,2.2757609440804947,0.12008220842834573,1.5,0.02953425858685689,0.020693658571304313,4.97,-0.115,0.799480152200161,8.4,6,13.42726486007963,3.25,1.806159479428964,0.7224637917715856,0.14877,0.052765739187454114,0.1,-0.255,10.620217739042307,0.4,1.2,297.77777777777777,913162888.0130662,0.06822382182812936,819326.4561904753,131421.75568877888,156141.4427204303,0.06822382182812936,1.2333333333333332,0.04792144265277505,0.06498094538050689,1.2249512670565301,1767.4453125,220.449,14.62289025034844,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,14462302.363217182,5383351.38080245,9725209.920969637,718687814.5430146,2326418.542456296,121271356.25099047,4190946.546187091,24579793.68571426,12535694.779714271,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,4.866549364550132,0.1,8.126818872367123
J1,2551.231383337551,2076.231383337551,280.8214654701076,269.72953218088315,104.84189877116285,37.84595644839493,136.35417290650804,133.43342484871232,656.860962615782,267.595662519859,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.3774903275362602,2.33643551709035,0.12328374712309385,1.5,0.028926218323423937,0.020085618307871363,4.97,-0.115,0.799480152200161,8.4,6,14.152783880981014,3.25,1.8543139024526583,0.7417255609810633,0.14877,0.0527657391874541,0.1,-0.255,10.903365746421631,0.4,1.2,348.33333333333337,969498945.9783498,0.06822382182812936,934033.9739409863,141251.4818039993,164365.0674800373,0.06822382182812936,1.2333333333333332,0.04667697729102849,0.06607799416549379,1.2249512670565301,1767.4453125,220.449,14.930269042161438,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,16487056.71175286,6094184.439004591,10452609.653495949,756539513.6379563,2500423.652811614,130341880.46763156,4771538.396170268,28021019.218229588,14290719.801297091,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,4.866549364550132,0.1,7.3227152825523945
J1,2728.3710369177843,2253.3710369177843,295.3895125524571,272.33705591370904,111.89144777159377,40.156539232900165,155.99563069755595,152.65415661082667,737.5604681673715,282.53431352429925,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.424283137613964,2.415803321875993,0.12747164801029387,1.5,0.0282004580573985,0.019359858041845923,4.97,-0.115,0.799480152200161,8.4,6,15.130644381447988,3.25,1.9173042237111053,0.7669216894844422,0.14877,0.0527657391874541,0.1,-0.255,11.2737488354213,0.4,1.2,398.8888888888889,1038968765.1001064,0.06822382182812936,1068579.0962757866,153833.2775666714,174514.41505174738,0.06822382182812936,1.2333333333333332,0.04514347115330971,0.0674235251064195,1.2249512670565301,1767.4453125,220.449,15.314510887092307,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,18861973.60354863,6933210.049123759,11383662.539933683,803254929.4703178,2723145.7037100513,141951917.3920012,5453293.28017799,32057372.8882736,16349260.173019536,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,4.866549364550132,0.1,6.8364524000193425
J1,2863.0787403911836,2388.0787403911836,306.3858713455869,274.2371575415977,117.28736860267125,41.91369336912244,173.77753947740078,170.05517146989473,793.4142409532495,293.9096303233705,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.4590860926720048,2.474834487955208,0.13058647112356103,1.5,0.0277062453861065,0.018865645370553925,4.97,-0.115,0.799480152200161,8.4,6,15.8791259997806,3.25,1.9641543555200065,0.7856617422080027,0.14877,0.0527657391874541,0.1,-0.255,11.549227610457638,0.4,1.2,449.44444444444446,1098334264.9251912,0.06822382182812936,1190386.2002892632,164314.5938268279,183138.08306539195,0.06822382182812936,1.2333333333333332,0.04406668328890383,0.06838171445072275,1.2249512670565301,1767.4453125,220.449,15.587684867527624,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,21012045.964718923,7688254.65695078,12159279.943185266,842947947.6087993,2908685.2163210437,151623705.9897339,6069850.67237825,35711586.00867789,18212908.864425726,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,4.866549364550132,0.1,6.36760166557552
J1,3057.2383905131433,2582.2383905131433,321.9171177778413,276.8289053667592,125.01475305954308,44.4139335766141,195.6634207686783,191.4722504948971,882.0606359454769,310.1184289312289,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.5075281142776833,2.5569996092171476,0.13492197448237406,1.5,0.027075524611831124,0.01823492459627855,4.97,-0.115,0.799480152200161,8.4,6,16.951010744724638,3.25,2.0293647692199586,0.8117459076879835,0.14877,0.0527657391874541,0.1,-0.255,11.932664843013356,0.4,1.2,500.0,1175081228.2287343,0.06822382182812936,1340305.7534642797,178383.4521562633,194292.61550972692,0.06822382182812936,1.2333333333333332,0.042650670410766235,0.06963292739270502,1.2249512670565301,1767.4453125,220.449,15.950797930330904,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,23658343.898581136,8623402.194958158,13200375.459563483,894290028.2569329,3157731.1426766273,164605951.74936306,6829544.894727208,40209172.60392839,20506678.02800348,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,4.866549364550132,0.1,6.110136383556199
