name,mtom,oem,wing_weight,fuselage_weight,lg_weight,hortail_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac,y_mac,x_lemac,cLmax,cd,cd0,clalpha,cm,e,A,A_h,S,S_h,c_root,c_tip,t_r_h,sweep_le,sweep_1/4,sweep_m,b,taper,StotS,diskloading,mission_energy,wp_hover,power_hover,power_climb,power_cruise,wp_cruise,tw,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,ww,w_eng,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress
J1,1840.9630090426408,1365.9630090426408,257.1244389726745,266.871107024463,97.56566181732207,35.442047873809166,45.51406556722424,44.53914037223954,366.83085089391665,252.0756965209918,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.2938519653598537,2.1945719873988283,0.11579821311517942,1.5,0.03138530707661253,0.021589628389019646,4.97,-0.115,0.799480152200161,8.4,6,12.486304983381297,3.25,1.74172379952288,0.6966895198091521,0.14877,0.05276573918745412,0.1,-0.255,10.241335941194532,0.4,1.2,45.0,774176300.244153,0.06822382182812936,311773.98260567675,116594.84105358517,137159.69836667657,0.06822382182812936,1.2333333333333332,0.05098528951418451,0.06638284471499774,1.2237037037037035,1860.46875,220.449,14.484693372662893,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,5503263.773993739,2381426.41899137,8628018.237965303,631318643.8210607,2306031.0772269233,108263197.8434755,1652357.6594024482,9353219.478170302,4770141.933866855,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337
J1,1711.4369360408775,1236.4369360408775,212.4511017916622,257.3563648691705,76.45064311941783,28.340053321711018,51.54383930976991,50.43975451833072,353.5214573574619,206.33372175335364,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1406155805175564,1.9346595038778547,0.10208373879814826,1.5,0.03507805622355428,0.0252823775359614,4.97,-0.115,0.799480152200161,8.4,6,9.703833989486796,3.25,1.5354440506967104,0.6141776202786842,0.14877,0.05276573918745412,0.1,-0.255,9.028411018096655,0.4,1.2,95.55555555555556,685071887.4851583,0.06822382182812936,353078.28162831505,93087.32176414847,122390.26063167315,0.06822382182812936,1.2333333333333332,0.057834925428982754,0.06678189351601879,1.2237037037037035,1860.46875,220.449,12.959855771778459,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,6232344.663366679,2502150.551097435,6888461.810546987,563337877.51801,1841095.6689352412,86435480.69369219,1840030.421747058,10592348.44884945,5402097.70891322,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337
J1,1717.9510907528017,1242.9510907528017,201.03611243445482,254.66683698750748,71.26961058713113,26.564204305540084,59.25244197380184,57.98323655730685,377.26443716167745,194.914210745382,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.0997582253899478,1.8653591438344885,0.0984270540745033,1.5,0.03634186583865949,0.02654618715106661,4.97,-0.115,0.799480152200161,8.4,6,9.021093758669835,3.25,1.480443764948007,0.5921775059792028,0.14877,0.0527657391874541,0.1,-0.255,8.70500933789428,0.4,1.2,146.11111111111111,677444302.259066,0.06822382182812936,405882.655901148,88727.62044904621,120861.18826432666,0.06822382182812936,1.2333333333333332,0.05998356322270588,0.060813840301254134,1.2237037037037035,1860.46875,220.449,12.509169216292719,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7164418.589533979,2784951.366798819,6565843.91322942,556299863.4019629,1754868.8116471695,82387315.25386406,2100556.609707652,12176479.67703444,6210004.635287564,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337
J1,1767.181114736649,1292.181114736649,201.61509641994226,254.80619297846303,71.5301762531833,26.653869588857425,69.00489593870414,67.52678997762325,405.5533937631427,195.49069981673298,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.101849214263388,1.8689057826544393,0.09861419509346893,1.5,0.03627363263250757,0.026477953944914687,4.97,-0.115,0.799480152200161,8.4,6,9.055430285583116,3.25,1.4832585576622532,0.5933034230649014,0.14877,0.0527657391874541,0.1,-0.255,8.72156031905405,0.4,1.2,196.66666666666669,699096760.736708,0.06822382182812936,472687.5298433628,91166.79732643215,123950.57710259287,0.06822382182812936,1.2333333333333332,0.05900905934994386,0.05900905934994386,1.2237037037037035,1860.46875,220.449,12.532699826821085,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,8343621.676397699,3182507.737088925,6746343.002155979,570519701.9903802,1803111.2349935009,84652193.24044926,2436536.753338172,14180625.895300884,7232119.206603452,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337
J1,1833.1345277413386,1358.1345277413386,205.97363781131753,255.844978538514,73.49937326436805,27.33027455897804,79.58450987124559,77.87978534626576,438.1821251072731,199.83984324337652,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1175251336837149,1.8954945536712242,0.10001717125025553,1.5,0.03577465621313217,0.025978977525539286,4.97,-0.115,0.799480152200161,8.4,6,9.314924896659596,3.25,1.5043607568819237,0.6017443027527696,0.14877,0.05276573918745409,0.1,-0.255,8.845641250465713,0.4,1.2,247.22222222222223,730336797.310183,0.06822382182812936,545158.4974238604,95853.66216731352,128530.14087579359,0.06822382182812936,1.2333333333333332,0.05902991803407532,0.059103759638013884,1.2237037037037035,1860.46875,220.449,12.707502951341352,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,9622839.548327861,3623987.1174796596,7093171.000381201,591598517.5974255,1895808.7838744796,89004143.72941445,2802649.599979078,16354754.922715811,8340925.010585064,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337
J1,1917.0435927032977,1442.0435927032977,211.7668561397369,257.1984868567108,76.13750449519743,28.23313275915138,90.60334070689065,88.66258945770888,483.7956448046658,205.646037483236,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.138187829219214,1.9305416641756674,0.10186645794240685,1.5,0.03514924074730611,0.025353562059713227,4.97,-0.115,0.799480152200161,8.4,6,9.662569562898918,3.25,1.532175923948942,0.6128703695795769,0.14877,0.05276573918745409,0.1,-0.255,9.00919443281978,0.4,1.2,297.77777777777777,765620412.0742544,0.06822382182812936,620638.1262039621,101502.41800164223,133725.16455636005,0.06822382182812936,1.2333333333333332,0.057958287155136554,0.05980563330013848,1.2237037037037035,1860.46875,220.449,12.933609368118171,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,10955164.66175914,4087631.2605177336,7511178.9321215255,615510171.9951019,2007530.7638859474,94249250.33048916,3184577.0133395116,18619143.786118865,9495763.330920622,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337
J1,1998.8170790679205,1523.8170790679205,219.0646444602846,258.86148067268226,79.49386036430302,29.376514566421907,102.4786127682664,100.28348956207208,521.2573928133577,213.00108386053253,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1639458142788843,1.9742311696038004,0.1041717669910566,1.5,0.034417276025019955,0.02462159733742707,4.97,-0.115,0.799480152200161,8.4,6,10.104859621202342,3.25,1.5668501346061907,0.6267400538424763,0.14877,0.0527657391874541,0.1,-0.255,9.213078791484401,0.4,1.2,348.33333333333337,805728454.0614032,0.06822382182812936,701984.4269345045,108239.42285007527,139631.29542951172,0.06822382182812936,1.2333333333333332,0.05667567702302231,0.06070925644548769,1.2237037037037035,1860.46875,220.449,13.208673140812158,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,12391045.058889635,4590558.244606466,8009717.29090557,642694910.4967849,2140776.303804604,100504841.76307365,3596710.3632051414,21059532.808035135,10740361.73209792,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337
J1,2091.3411041332847,1616.3411041332845,226.1023497520041,260.4232437625411,82.76479326078517,30.485364333466844,114.34120177713174,111.89197828878595,570.195507373256,220.13666558531364,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1885112429330518,2.0158979158979844,0.10637034365880531,1.5,0.03376446757892189,0.02396878889132901,4.97,-0.115,0.799480152200161,8.4,6,10.535892907871428,3.25,1.599918980871416,0.6399675923485665,0.14877,0.05276573918745409,0.1,-0.255,9.407523607523927,0.4,1.2,398.8888888888889,845625168.8665215,0.06822382182812936,783243.8480215017,114965.69321632605,145495.3027969847,0.06822382182812936,1.2333333333333332,0.05550424317364631,0.061802130801060624,1.2237037037037035,1860.46875,220.449,13.464052064466612,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,13825391.904082837,5092930.395520465,8507461.298008127,669685762.9313887,2273809.535448844,106750465.77893764,4008400.7077608397,23497315.44064505,11983630.874728976,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337
J1,2177.8607859361605,1702.8607859361605,233.98149136036213,262.12570189148096,86.46574684312097,31.733834724962634,126.98914902242952,124.26900263847762,609.1214613679354,228.17439808739127,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.2157078058028075,2.0620274706116857,0.10880440371166188,1.5,0.03308880038836826,0.02329312170077538,4.97,-0.115,0.799480152200161,8.4,6,11.023592972926137,3.25,1.6365297385807025,0.654611895432281,0.14877,0.0527657391874541,0.1,-0.255,9.622794862854532,0.4,1.2,449.44444444444446,888874326.9733013,0.06822382182812936,869883.0184693433,122426.87320858994,151837.33920871708,0.06822382182812936,1.2333333333333332,0.054262559413942694,0.06281055572690149,1.2237037037037035,1860.46875,220.449,13.738985520049484,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,15354699.1418119,5630009.902582785,9059588.617435655,698876887.3957702,2421377.9250917165,113678484.1916649,4447579.062282868,26096490.5540803,13309210.182580953,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337
J1,2274.4312023994557,1799.4312023994557,241.27297141030422,263.6603117215813,89.92652717649594,32.895644908436424,139.4822192450697,136.49446747867233,660.0409174700643,235.6581429888314,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.240600140820338,2.1042487003914196,0.11103223811039292,1.5,0.03251006924136792,0.022714390553775037,4.97,-0.115,0.799480152200161,8.4,6,11.479643759886237,3.25,1.6700386511043013,0.6680154604417206,0.14877,0.052765739187454114,0.1,-0.255,9.81982726849329,0.4,1.2,500.0,930935543.5543402,0.06822382182812936,955461.2723507063,129655.64258392433,157990.189812149,0.06822382182812936,1.2333333333333332,0.053173794578765934,0.06388954463888045,1.2237037037037035,1860.46875,220.449,13.983561401743446,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,16865279.660721336,6159807.513808947,9594517.5512104,727197227.4435285,2564349.6610535705,120390699.60338292,4881266.483147595,28663838.17052119,14618557.466965808,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337
