label,surface,quarterchord_sweep,length_wing2vtail,virtual_hor_surface,virtual_ver_surface,rudder_max,elevator_min,dihedral,taper,c_control_surface_to_c_vee_ratio,cL_cruise,max_clh,ruddervator_efficiency,span,vtail_weight,thickness_to_chord,aspect_ratio,chord_root,chord_tip,chord_mac
Vtail,11.621237750821637,0.03,4.211864406779662,8.378414998499952,,0.32986722862692824,-0.019198621771937624,0.3697113538234294,1,0.018640203823522113,0.13165359226346773,-0.1,0.043493808921551594,9.520801145723443,209.2141560935033,0.12,7.800000000000005,1.2206155315030047,1.2206155315030047,1.2206155315030047
Vtail,10.44809092078711,0.03,4.175515729467167,6.724374794871179,,0.32986722862692824,-0.019198621771937624,0.40297047319559337,1.0,0.0224694804710381,0.10730716301089976,-0.1,0.05242878776575557,9.02746416122155,209.70328288796097,0.12,7.800000000000005,1.1573672001566082,1.1573672001566082,1.157367200156608
Vtail,9.23919284619931,0.03,5.026612806535656,4.587431207063833,,0.32986722862692824,-0.019198621771937624,0.39749379023419024,1.0,0.023780349230531538,0.10288885391231163,-0.1,0.05548748153790692,8.48915214849838,206.3472303680122,0.12,7.800000000000005,1.0883528395510738,1.0883528395510738,1.0883528395510735
Vtail,9.926479672968423,0.03,4.482505980891144,5.451675629939425,,0.32986722862692824,-0.019198621771937624,0.40765228723004227,1.0,0.024569096972828268,0.10520599790301403,-0.1,0.05732789293659929,8.79923527638361,212.51444173820164,0.12,7.800000000000005,1.1281070867158467,1.1281070867158467,1.1281070867158467
Vtail,9.521518533854167,0.03,5.005136378484705,4.585071062259234,,0.32986722862692824,-0.019198621771937624,0.39551347642981566,1.0,0.024360171014495932,0.09895987799436043,-0.1,0.05684039903382384,8.617879354229935,211.10452692109934,0.12,7.800000000000005,1.1048563274653753,1.1048563274653753,1.104856327465375
Vtail,9.76243112401712,0.03,4.7564767473034735,4.736702363653645,,0.32986722862692824,-0.019198621771937624,0.4027673633650729,1.0,0.025140985527177775,0.10138269476787257,-0.1,0.0586622995634148,8.726222709015257,212.9209285075303,0.12,7.800000000000005,1.1187465011558015,1.1187465011558015,1.1187465011558015
Vtail,9.617190950472944,0.03,4.8833145832542595,4.611734632327831,,0.32986722862692824,-0.019198621771937624,0.4018577952147334,1.0,0.025384154600269965,0.10013194952872567,-0.1,0.05922969406729658,8.66106745232301,212.83233578739282,0.12,7.800000000000005,1.1103932631183342,1.1103932631183342,1.110393263118334
Vtail,9.300164719751034,0.03,4.802279821847427,4.4200380438921,,0.32986722862692824,-0.019198621771937624,0.4179136967116792,1.0,0.027357587722843864,0.10707620398541064,-0.1,0.06383437135330235,8.517117165688054,210.57655132396658,0.12,7.800000000000005,1.0919380981651345,1.0919380981651345,1.0919380981651345
Vtail,9.337115917258496,0.03,4.850565158857163,4.41646900029087,,0.32986722862692824,-0.019198621771937624,0.41729892994171697,1.0,0.02779238470592264,0.10411754392536345,-0.1,0.06484889764715282,8.534020398066572,213.77864766424125,0.12,7.800000000000005,1.094105179239303,1.094105179239303,1.094105179239303
Vtail,9.227548214796133,0.03,4.969512781884501,4.4088847217301455,,0.32986722862692824,-0.019198621771937624,0.41643432104642414,1.0,0.02809345927895581,0.1027874051157308,-0.1,0.06555140498423022,8.483800803614491,214.07243764828198,0.12,7.800000000000005,1.0876667696941649,1.0876667696941649,1.0876667696941649
Vtail,9.655636026800337,0.03,4.819381895932768,4.852528446515131,,0.32986722862692824,-0.019198621771937624,0.4037050949079658,1.0,0.025472635503916652,0.09714445646535566,-0.1,0.05943614950913885,8.67836165465825,218.00353516956972,0.12,7.800000000000005,1.1126104685459288,1.1126104685459288,1.1126104685459288
Vtail,9.752727734325473,0.03,5.219929276237152,4.609796139876923,,0.32986722862692824,-0.019198621771937624,0.382236254503674,1.0,0.023631983628786764,0.09125101111479958,-0.1,0.05514129513383578,8.721884906815657,215.32950950020236,0.12,7.800000000000005,1.118190372668673,1.118190372668673,1.118190372668673
Vtail,10.283970758485104,0.03,4.666673407039294,4.9852361638505105,,0.32986722862692824,-0.019198621771937624,0.39155749293309206,1.0,0.023625637628001548,0.0964779944738507,-0.1,0.05512648779867027,8.956281143208038,217.37699300757632,0.12,7.800000000000005,1.1482411722061578,1.1482411722061578,1.1482411722061578
Vtail,9.604491656004928,0.03,4.992280285858762,4.6102104655606375,,0.32986722862692824,-0.019198621771937624,0.39375737759348894,1.0,0.024160273256107277,0.09833165504448627,-0.1,0.05637397093091698,8.6553471863836,211.76146458243744,0.12,7.800000000000005,1.1096598956902044,1.1096598956902044,1.1096598956902044
Vtail,10.149878896708445,0.03,4.645315322211888,4.9892510217536525,,0.32986722862692824,-0.019198621771937624,0.3946212611419506,1.0,0.023676282631817033,0.09803804945240482,-0.1,0.05524465947423974,8.89769944391953,215.88432584231052,0.12,7.800000000000005,1.1407306979384007,1.1407306979384007,1.1407306979384004
