aspect_ratio,quarterchord_sweep,taper,washout,label,surface,span,chord_root,chord_tip,chord_mac,y_mac,sweep_LE,x_lemac,x_lewing,thickness_to_chord,wing_weight
8.0,0.01,0.5,0.05235987755982988,Wing,12.158211311551378,9.862336969116956,1.6437228281861593,0.8218614140930797,1.278451088589235,2.1916304375815456,0.04184119959363829,0.09170044657434227,6.101471292164241,0.12,222.06360873750296
8.0,0.01,0.5,0.05235987755982988,Wing,13.46891036709491,10.380331542718627,1.7300552571197714,0.8650276285598857,1.3455985333153777,2.3067403428263615,0.041841199593638294,0.09651678309489542,6.116499904626389,0.12,239.95826565175855
8.0,0.01,0.5,0.05235987755982988,Wing,14.458040833558867,10.754735081277964,1.7924558468796608,0.8962279234398304,1.394132325350847,2.3899411291728807,0.041841199593638294,0.09999800380276778,6.522466181852544,0.12,253.18262094236633
8.0,0.01,0.5,0.05235987755982988,Wing,14.590445355641531,10.803867957594273,1.8006446595990455,0.9003223297995228,1.4005014019103688,2.4008595461320605,0.041841199593638294,0.10045484346600339,6.3227592357050115,0.12,254.935861340272
8.0,0.01,0.5,0.05235987755982988,Wing,14.900122510206888,10.917920135339656,1.8196533558899428,0.9098266779449714,1.4152859434699556,2.4262044745199236,0.041841199593638294,0.10151530567336643,6.486147678932043,0.12,259.021460780218
8.4,0.01,0.5,0.05235987755982988,Wing,14.884071644665323,11.181511606897732,1.7748431122059891,0.8874215561029946,1.3804335317157692,2.484780357088385,0.0398570726095113,0.09903607111115918,6.455226220230657,0.12,281.3568455033259
8.4,0.01,0.5,0.05235987755982988,Wing,15.071952941143506,11.25186227722351,1.786009885273573,0.8930049426367865,1.3891187996572234,2.500413839383002,0.0398570726095113,0.09965917595011525,6.4788618632420345,0.12,284.0412752428999
9.4,0.01,0.5,0.05235987755982988,Wing,15.125646451632868,11.923970674458612,1.6913433580792359,0.8456716790396179,1.3154892785060723,2.6497712609908026,0.035635525834773044,0.09442599222727689,6.477697925409577,0.12,345.28628159557
9.4,0.01,0.5,0.05235987755982988,Wing,15.414264047860978,12.037195771852064,1.7074036555818528,0.8537018277909264,1.3279806210081078,2.6749323937449025,0.03563552583477304,0.09532262242356776,6.451517601127426,0.12,352.4267514784746
9.4,0.01,0.5,0.05235987755982988,Wing,15.634132333176245,12.122740776402699,1.7195376987805246,0.8597688493902623,1.3374182101626302,2.693942394756155,0.035635525834773044,0.09600005380572332,6.52558566992784,0.12,356.225632102774
7.4,0.01,0.5,0.05235987755982988,Wing,15.708003348336963,10.781429625874924,1.9425999325900765,0.9712999662950382,1.5109110586811705,2.3958732501944278,0.045219577972016665,0.10834037724823592,6.441411573691854,0.12,237.35846029932355
7.4,0.01,0.5,0.05235987755982988,Wing,15.325641859739399,10.649401380456629,1.918811059541735,0.9594055297708675,1.4924086018657938,2.3665336401014727,0.045219577972016665,0.10701365246196896,6.510446140484916,0.12,231.54084904404075
7.4,0.01,0.5,0.05235987755982988,Wing,14.95834215818273,10.521013828075324,1.8956781672207794,0.9478390836103897,1.4744163522828284,2.3380030729056274,0.04521957797201668,0.10572351225407062,6.48106585742479,0.12,227.3277575991102
7.9,0.01,0.5,0.05235987755982988,Wing,14.899504241101889,10.849243453103306,1.8310959414520345,0.9155479707260172,1.4241857322404714,2.410942989578512,0.04236862575397584,0.10214834123962364,6.465585289424583,0.12,253.49513499362155
7.4,0.01,0.5,0.05235987755982988,Wing,14.87697073278428,10.492358334645441,1.890515015251431,0.9452575076257155,1.4704005674177796,2.3316351854767645,0.04521957797201667,0.10543555907196411,6.450552149916136,0.12,226.3910060797149
