label,battery_mass,fuelcell_mass,cooling_mass,h2_tank_mass,nu_FC_cruise_fraction,battery_power,battery_energy,battery_volume,fuelcell_volume,h2_tank_volume,h2_tank_length,powersystem_mass
Power,190.98015548449956,42,50.0,288.70246881033427,0.8738738738738738,725724.5908410983,206258567.92325953,67.40476075923513,0.039040559999999995,,1.5,571.6826242948339
Power,227.5343186330271,42,50.0,349.9816551686773,0.8758758758758759,864630.4108055029,245737064.12366924,80.30623010577426,0.039040559999999995,,1.5,669.5159738017044
Power,256.6876796778752,42,50.0,307.2978833451777,0.8458458458458459,975413.1827759257,277222694.05210525,90.59565165101479,0.039040559999999995,,1.5,655.9855630230529
Power,260.4161481695782,42,50.0,339.60091283959207,0.8568568568568569,989581.3630443971,281249440.0231444,91.91158170690994,0.039040559999999995,,1.5,692.0170610091702
Power,269.72469651640324,42,50.0,317.8673117755636,0.8438438438438438,1024953.8467623323,291302672.2377155,95.19695171167173,0.039040559999999995,,1.5,679.5920082919669
Power,269.23982731690006,42,50.0,329.2384847880134,0.8488488488488488,1023111.3438042202,290779013.50225204,95.02582140596472,0.039040559999999995,,1.5,690.4783121049135
Power,275.05841133786504,42,50.0,324.2996374235247,0.8438438438438438,1045221.9630838872,297063084.24489427,97.07943929571708,0.039040559999999995,,1.5,691.3580487613897
Power,276.61745624114957,42,50.0,321.24549693736265,0.8418418418418419,1051146.3337163683,298746852.74044156,97.62969043805279,0.039040559999999995,,1.5,689.8629531785123
Power,285.3934734303162,42,50.0,328.6871567050675,0.8408408408408409,1084495.1990352015,308224951.30474144,100.72710826952336,0.039040559999999995,,1.5,706.0806301353837
Power,292.1747973219424,42,50.0,324.22992748693275,0.8358358358358359,1110264.229823381,315548781.1076977,103.120516701862,0.039040559999999995,,1.5,708.4047248088751
Power,294.46393270646183,42,50.0,346.40787721965853,0.8438438438438438,1118962.9442845548,318021047.3229788,103.92844683757477,0.039040559999999995,,1.5,732.8718099261204
Power,282.8792003284487,42,50.0,321.24598966718,0.8388388388388388,1074940.961248105,305509536.3547245,99.83971776298188,0.039040559999999995,,1.5,696.1251899956287
Power,271.48560368389354,42,50.0,335.1360905931756,0.8498498498498498,1031645.2939987956,293204451.97860503,95.81844835902125,0.039040559999999995,,1.5,698.6216942770691
Power,269.7060148257617,42,50.0,320.2888291166511,0.8448448448448448,1024882.8563378945,291282496.01182264,95.19035817379826,0.039040559999999995,,1.5,681.9948439424128
Power,269.0254042961288,42,50.0,336.6009542082484,0.8518518518518519,1022296.5363252894,290547436.6398191,94.95014269275134,0.039040559999999995,,1.5,697.6263585043772
