label,MTOM,Stots,prop_eff,glide_slope,mission_energy,mission_time,climb_energy,cruise_energy,descend_energy,hover_energy,hor_loiter_energy,cruisePower,hoverPower,max_thrust,TW_max,v_stall,v_approach,OEM,wing_loading_cruise,turn_loadfactor,v_max,max_thrust_per_engine,n_max,n_ult,oem_cg,cg_front,cg_rear,cg_front_bar,cg_rear_bar,wing_loc,oem_mass,powersystem_mass,misc_mass,lg_mass
Aircraft,2750.2178890769783,12.0,0.9,0.20943951023931956,1177441767.7447782,5890.106377550703,132953070.57391958,846030697.2880992,0,20176987.574956384,178281012.3078031,209502.31857141474,672566.2524985461,29215.024087443187,1.2352253181974544,45.0,,2240.2178890769783,2003.1046875,0.9,90.0,,2.5,3.75,5.566556588033875,5.462521528967569,6.710942237763246,-0.014694189835672824,0.9618161514189959,0.5788135593220338,,571.6826242948339,261.1629856044929,102.11551704891848
Aircraft,2952.188518426929,12.0,0.9,0.22689280275926285,1424099753.602451,5903.428533038354,154283315.25347495,1030201368.889074,0,23526129.85933207,216088939.60056996,253931.32604495724,784204.3286444023,32364.509114300097,1.2352253181974544,45.0,,2442.188518426929,2003.1046875,0.9,90.0,,2.5,3.75,5.663952914971542,5.592737152400674,6.447326303251094,0.026659464591133213,0.6617591096129101,0.5847457627118644,,669.5159738017044,283.8669596958806,112.82076540000476
Aircraft,2979.2242084197915,12.0,0.9,0.20943951023931956,1294809995.9597292,5890.106377550703,151800052.7230227,922458798.9318055,0,26164712.449698605,194386431.85520244,228428.18562292162,872157.0816566201,34741.29544107773,1.2352253181974544,45.0,,2469.2242084197915,2003.1046875,0.9,90.0,,2.5,3.75,5.788087766841484,5.719371235140679,6.543969615550335,0.05459835848342184,0.6460762013073714,0.5432203389830508,,655.9855630230529,300.86800759942435,120.89957437628148
Aircraft,3042.4572114698963,12.0,0.9,0.20943951023931956,1412531910.8726003,5890.106377550703,159605943.40333408,1012946445.8415203,0,26524952.71306553,213454568.91468018,250835.61349808442,884165.0904355177,35059.45090019993,1.2352253181974544,45.0,,2532.4572114698963,2003.1046875,0.9,90.0,,2.5,3.75,5.783996362971189,5.7171766069221,6.519013679511168,0.029308687476940824,0.6018444032536717,0.5728813559322035,,692.0170610091702,303.1358487515375,121.98099980777688
Aircraft,3039.179783946477,12.0,0.9,0.20943951023931956,1342522206.4874742,5890.106377550703,156947946.93345466,956616091.6728698,0,27373892.322295975,201584275.5588538,236886.54540621763,912463.0774098658,35803.57561543351,1.2352253181974544,45.0,,2529.179783946477,2003.1046875,0.9,90.0,,2.5,3.75,5.791299319186745,5.724839959580147,6.52235227485932,0.07927976867834911,0.6427788403386356,0.5432203389830508,,679.5920082919669,308.4331039353165,124.51031485859542
Aircraft,3077.543280956572,12.0,0.9,0.20943951023931956,1382349709.6989334,5893.457265987619,158817483.17664236,988101923.0628753,0,27329672.251301285,208100631.20811436,244544.07213597963,910989.0750433762,35765.006913886464,1.2352253181974544,45.0,,2567.543280956572,2003.1046875,0.9,90.0,,2.5,3.75,5.788481786943953,5.722494806566921,6.5143385710913035,0.08658719303727365,0.6602068178374505,0.5550847457627119,,690.4783121049135,308.1587773264706,124.37921802050307
Aircraft,3088.5069631736533,12.0,0.9,0.20943951023931956,1369689328.4337661,5893.4572659876185,159005500.55305645,977059935.7550648,0,27848774.586631045,205775117.53901377,241811.30492067497,928292.4862210348,36216.46777943132,1.2352253181974544,45.0,,2578.5069631736533,2003.1046875,0.9,90.0,,2.5,3.75,5.795224167515627,5.729902870233007,6.513758437624456,0.08292589508504583,0.6472084946617502,0.5491525423728814,,691.3580487613897,311.368286130265,125.91375482421579
Aircraft,3147.439813316315,12.0,0.9,0.22689280275926285,1360016685.0578785,5913.445126868912,157441552.9638836,971204535.9745221,0,27997723.043620847,203372873.07585195,238988.36949814757,933257.4347873615,36345.48817248829,1.2352253181974544,45.0,,2637.439813316315,2003.1046875,0.9,90.0,,2.5,3.75,5.811703972208452,5.746593071751559,6.527923877234273,0.05389228328798608,0.647839203455992,0.5550847457627119,,689.8629531785123,312.28488099168976,126.35230123362928
Aircraft,3192.334736144816,12.0,0.9,0.22689280275926285,1393178077.9409091,5913.445126868911,160889979.876441,995107082.0169992,0,28802884.776844837,208378131.27062428,244870.16915409142,960096.1592281612,37039.008774310125,1.2352253181974544,45.0,,2682.334736144816,2003.1046875,0.9,90.0,,2.539096238447679,3.8086443576715188,5.7736413798513295,5.710210798983003,6.47137776940292,0.09090415939723107,0.6640804229500031,0.5491525423728814,,706.0806301353837,317.20710353481445,128.70961051301546
Aircraft,3207.4184646604954,12.0,0.9,0.20943951023931956,1382514857.6070237,5900.567298981804,161620637.93283838,984400440.2336588,0,29421341.51576115,207072437.92476532,243335.81740367378,980711.3838587049,37567.33132825747,1.2352253181974544,45.0,,2697.4184646604954,2003.1046875,0.9,90.0,,2.539096238447679,3.8086443576715188,5.795084804599701,5.732337055336269,6.4853100464974505,0.1072045850075933,0.670209474158624,0.5432203389830508,,708.4047248088751,320.95158729579816,130.5054038256545
