alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
-10,-0.7094,0.01722,0.01231,-0.0789,0.8222,0.0168,-4.7794,0,0.123
-9.75,-0.6971,0.01633,0.01129,-0.0768,0.8173,0.0163,-4.7018,0,0.1244
-9.5,-0.6806,0.01562,0.01048,-0.0754,0.8115,0.016,-4.5915,0,0.124
-9.25,-0.6623,0.01498,0.00978,-0.0743,0.809,0.0158,-4.4674,0,0.1229
-9,-0.6428,0.01441,0.00916,-0.0732,0.8069,0.0155,-4.3361,0,0.1213
-8.75,-0.6225,0.01388,0.00859,-0.0723,0.8045,0.0154,-4.2006,0,0.1192
-8.5,-0.6014,0.0134,0.00806,-0.0714,0.8016,0.0152,-4.063,0,0.1167
-8.25,-0.5798,0.01295,0.00756,-0.0706,0.7986,0.015,-3.9244,0,0.1138
-8,-0.5577,0.01253,0.00708,-0.0699,0.7953,0.0149,-3.7864,0,0.1105
-7.75,-0.5351,0.01213,0.0066,-0.0692,0.7916,0.0148,-3.6503,0,0.1066
-7.5,-0.512,0.01177,0.00618,-0.0686,0.7872,0.0147,-3.5117,0,0.102
-7.25,-0.4881,0.01142,0.00578,-0.068,0.7844,0.0146,-3.3737,0,0.0966
-7,-0.4639,0.01106,0.00539,-0.0675,0.783,0.0146,-3.2371,0,0.0904
-6.75,-0.4393,0.01072,0.00501,-0.0671,0.7812,0.0145,-3.1027,0,0.0832
-6.5,-0.4143,0.0104,0.00465,-0.0667,0.7793,0.0146,-2.9716,0,0.075
-6.25,-0.389,0.01009,0.0043,-0.0663,0.7772,0.0148,-2.8467,0,0.0654
-6,-0.3656,0.00959,0.00376,-0.0654,0.7749,0.0221,-2.8014,0,0.0566
-5.75,-0.3389,0.00942,0.00359,-0.0653,0.7725,0.0243,-2.6454,0,0.0426
-5.5,-0.3117,0.0093,0.00346,-0.0653,0.77,0.025,-2.4861,0,0.0255
-5.25,-0.2843,0.00919,0.00333,-0.0653,0.7672,0.0252,-2.3288,0,0.0049
-5,-0.2576,0.00901,0.00317,-0.0651,0.7638,0.0317,-2.1918,0,-0.0187
-4.75,-0.2323,0.00872,0.00298,-0.0648,0.7599,0.0437,-2.0514,0,-0.0457
-4.5,-0.205,0.00855,0.00284,-0.0648,0.7588,0.05,-1.9075,0,-0.0839
-4.25,-0.1769,0.00843,0.00273,-0.0649,0.7576,0.0538,-1.7649,0,-0.1358
-4,-0.1491,0.00829,0.00262,-0.0649,0.7559,0.0623,-1.6263,0,-0.2066
-3.75,-0.1215,0.00813,0.00251,-0.0649,0.7539,0.0698,-1.4916,0,-0.3082
