alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
12.75,1.6695,0.02295,0.01706,-0.0775,0.0155,1,-4.2716,0,0.2753
13,1.6585,0.02537,0.01948,-0.0742,0.0075,1,-4.3425,0,0.2731
13.25,1.6663,0.02664,0.02077,-0.0728,0.0069,1,-4.5054,0,0.2715
13.5,1.67,0.0283,0.02247,-0.0713,0.0065,1,-4.6501,0,0.27
13.75,1.6765,0.02988,0.02408,-0.0702,0.006,1,-4.8099,0,0.2686
14,1.6786,0.03192,0.02617,-0.069,0.0056,1,-4.9488,0,0.2674
14.25,1.6834,0.03381,0.02808,-0.0681,0.0052,1,-5.1033,0,0.2661
14.5,1.6845,0.03615,0.03048,-0.0672,0.0049,1,-5.2393,0,0.2651
14.75,1.6875,0.03839,0.03275,-0.0666,0.0045,1,-5.386,0,0.264
15,1.6913,0.04057,0.03497,-0.066,0.0041,1,-5.5383,0,0.263
15.25,1.6885,0.04361,0.03808,-0.0657,0.0037,1,-5.6544,0,0.2623
15.5,1.692,0.04593,0.04044,-0.0654,0.0032,1,-5.8059,0,0.2615
15.75,1.6873,0.04936,0.04394,-0.0654,0.0028,1,-5.9102,0,0.261
16,1.6889,0.05203,0.04665,-0.0654,0.0017,1,-6.0274,0,0.2603
16.25,1.689,0.05473,0.04942,-0.0653,0.0017,1,-6.1602,0,0.2597
16.5,1.6785,0.05908,0.05386,-0.0659,0.0017,1,-6.2295,0,0.2597
16.75,1.6787,0.06208,0.05693,-0.0662,0.0017,1,-6.3623,0,0.2592
17,1.6698,0.06657,0.06151,-0.0671,0.0017,1,-6.4389,0,0.2593
17.25,1.6646,0.07061,0.06563,-0.0679,0.0017,1,-6.5369,0,0.2593
17.5,1.6643,0.07395,0.06903,-0.0685,0.0017,1,-6.6661,0,0.259
17.75,1.6494,0.07965,0.07485,-0.0701,0.0017,1,-6.6998,0,0.2597
18,1.6462,0.08357,0.07886,-0.0711,0.0017,1,-6.8147,0,0.2598
18.25,1.6453,0.08705,0.08241,-0.072,0.0017,1,-6.939,0,0.2597
18.5,1.6424,0.09088,0.08631,-0.0731,0.0017,1,-7.0485,0,0.2599
18.75,1.6219,0.09762,0.09318,-0.0757,0.0017,1,-7.0349,0,0.2614
19,1.6212,0.10104,0.09667,-0.0769,0.0017,1,-7.1559,0,0.2614
19.25,1.6203,0.10451,0.10021,-0.0781,0.0017,1,-7.2731,0,0.2616
19.5,1.5964,0.11173,0.10758,-0.0814,0.0017,1,-7.2236,0,0.2637
19.75,1.5939,0.11542,0.11135,-0.083,0.0017,1,-7.3243,0,0.2641
20,1.5933,0.11862,0.11461,-0.0845,0.0016,1,-7.4367,0,0.2644
20.25,1.591,0.12165,0.11772,-0.0861,0.0016,1,-7.5332,0,0.2648
20.5,1.5651,0.12874,0.12497,-0.0903,0.0016,1,-7.4463,0,0.2678
20.75,1.5621,0.13238,0.12869,-0.0923,0.0016,1,-7.5297,0,0.2685
21,1.5601,0.13593,0.13233,-0.0942,0.0016,1,-7.6171,0,0.2691
21.25,1.5557,0.14001,0.13651,-0.0964,0.0016,1,-7.6809,0,0.27
21.75,1.5227,0.15352,0.15029,-0.104,0.0016,1,-7.5997,0,0.2751
22,1.5167,0.1584,0.15527,-0.1067,0.0016,1,-7.6307,0,0.2764
22.25,1.5058,0.16453,0.16154,-0.11,0.0016,1,-7.6096,0,0.2785
22.5,1.4779,0.17486,0.17204,-0.1157,0.0017,1,-7.4465,0,0.2832
22.75,1.4643,0.18208,0.17942,-0.1195,0.0017,1,-7.3588,0,0.2858
