alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
6.5,0.9684,0.00688,0.00286,-0.0047,0.2073,0.9661,-2.1561,0,0.2408
6.75,1.0012,0.00698,0.00296,-0.0058,0.2071,0.9711,-2.214,0,0.2414
7,1.0315,0.00707,0.00306,-0.0064,0.2067,0.9759,-2.2729,0,0.2415
7.25,1.0671,0.00718,0.00319,-0.0083,0.2061,0.9778,-2.3381,0,0.2426
7.5,1.1019,0.00731,0.00331,-0.0099,0.2049,0.9798,-2.4031,0,0.2435
7.75,1.1353,0.00745,0.00344,-0.0113,0.2027,0.9818,-2.4669,0,0.2441
8,1.1641,0.00762,0.00358,-0.0118,0.1992,0.9851,-2.5259,0,0.2438
8.25,1.1947,0.00784,0.00375,-0.0127,0.1944,0.9867,-2.5872,0,0.2439
8.5,1.2265,0.00807,0.00393,-0.0138,0.1889,0.9876,-2.6502,0,0.2441
8.75,1.2575,0.00827,0.0041,-0.0148,0.1829,0.9887,-2.7126,0,0.2442
9,1.2884,0.00847,0.00428,-0.0157,0.1764,0.9899,-2.777,0,0.2442
9.25,1.3189,0.00863,0.00444,-0.0166,0.1735,0.9913,-2.8493,0,0.2441
9.5,1.3483,0.00877,0.00459,-0.0172,0.1732,0.993,-2.9208,0,0.2439
9.75,1.3784,0.00892,0.00475,-0.018,0.1728,0.9942,-2.9938,0,0.2437
10,1.4103,0.00906,0.00491,-0.0192,0.1722,0.9947,-3.0697,0,0.2438
10.25,1.4418,0.00923,0.00507,-0.0203,0.1713,0.9954,-3.1457,0,0.2438
10.5,1.4719,0.00943,0.00526,-0.0212,0.1687,0.9963,-3.2204,0,0.2437
10.75,1.4992,0.00978,0.00554,-0.0217,0.1622,0.9975,-3.2979,0,0.2432
11,1.5261,0.01012,0.00582,-0.0221,0.1562,0.9985,-3.3799,0,0.2428
11.25,1.555,0.01038,0.00605,-0.0229,0.1501,0.9992,-3.4656,0,0.2425
11.5,1.5841,0.01062,0.00628,-0.0237,0.1438,0.9998,-3.5527,0,0.2422
11.75,1.6012,0.01078,0.00645,-0.022,0.1412,1,-3.6216,0,0.2405
12,1.6101,0.01092,0.00662,-0.0185,0.1406,1,-3.6881,0,0.2378
12.25,1.6224,0.01108,0.0068,-0.0158,0.14,1,-3.7606,0,0.2355
12.5,1.6367,0.01127,0.007,-0.0136,0.1392,1,-3.8372,0,0.2336
12.75,1.6505,0.01152,0.00726,-0.0114,0.1375,1,-3.9169,0,0.2316
13,1.6606,0.01195,0.00765,-0.0087,0.1326,1,-3.9992,0,0.2294
