alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
10.75,1.6141,0.01516,0.00943,-0.0975,0.0953,1,-3.2937,0,0.2929
11,1.6271,0.01572,0.00997,-0.0954,0.0893,1,-3.394,0,0.2907
11.25,1.6351,0.01657,0.01075,-0.0926,0.0795,1,-3.4817,0,0.2883
11.5,1.6457,0.01729,0.01143,-0.0903,0.07,1,-3.5771,0,0.2861
11.75,1.6408,0.01879,0.01284,-0.0861,0.0537,1,-3.6507,0,0.2832
12,1.6485,0.01976,0.01378,-0.0837,0.0455,1,-3.8033,0,0.2811
12.25,1.6479,0.02124,0.01522,-0.0807,0.0373,1,-3.9211,0,0.2788
12.5,1.652,0.02256,0.01652,-0.0783,0.0301,1,-4.0614,0,0.2768
12.75,1.6571,0.0239,0.01786,-0.0764,0.0265,1,-4.2078,0,0.2749
13,1.6568,0.02564,0.0196,-0.0741,0.0227,1,-4.3298,0,0.2731
13.25,1.6607,0.0272,0.02118,-0.0724,0.0182,1,-4.4731,0,0.2714
13.5,1.6654,0.02883,0.02285,-0.0711,0.0168,1,-4.6218,0,0.27
13.75,1.6715,0.03045,0.0245,-0.0699,0.0155,1,-4.7792,0,0.2686
14.25,1.6553,0.03663,0.03074,-0.0671,0.0074,1,-4.949,0,0.2662
14.5,1.6584,0.03885,0.03301,-0.0665,0.0069,1,-5.0928,0,0.2652
14.75,1.6588,0.04144,0.03566,-0.066,0.0065,1,-5.2228,0,0.2643
15,1.6573,0.04432,0.0386,-0.0656,0.0061,1,-5.343,0,0.2635
15.25,1.6578,0.04698,0.0413,-0.0653,0.0057,1,-5.4748,0,0.2628
15.5,1.6508,0.05072,0.04512,-0.0654,0.0054,1,-5.5635,0,0.2624
15.75,1.6494,0.05363,0.04808,-0.0653,0.005,1,-5.685,0,0.2618
16,1.6395,0.0578,0.05234,-0.0658,0.0047,1,-5.7557,0,0.2617
16.25,1.6379,0.06101,0.0556,-0.0661,0.0043,1,-5.8749,0,0.2613
16.5,1.6369,0.06424,0.05888,-0.0665,0.0037,1,-5.9965,0,0.2609
16.75,1.626,0.06918,0.06392,-0.0676,0.0032,1,-6.0548,0,0.2613
17,1.6221,0.07306,0.06788,-0.0682,0.0017,1,-6.0832,0,0.2611
17.25,1.619,0.07686,0.07177,-0.069,0.0017,1,-6.1853,0,0.2611
17.5,1.6049,0.08257,0.07759,-0.0707,0.0017,1,-6.2167,0,0.2619
17.75,1.6031,0.08622,0.08133,-0.0716,0.0017,1,-6.3232,0,0.2619
18,1.5992,0.0902,0.0854,-0.0728,0.0017,1,-6.4153,0,0.2621
18.25,1.5812,0.09662,0.09195,-0.0752,0.0017,1,-6.414,0,0.2635
18.5,1.5788,0.10034,0.09575,-0.0764,0.0017,1,-6.5111,0,0.2637
18.75,1.5779,0.10385,0.09938,-0.0777,0.0017,1,-6.627,0,0.2639
