name,mtom,oem,wing_weight,fuselage_weight,lg_weight,vtail_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,limit_fuse,x_lewing,w_fuse,prop_eff,v_cruise,v_max,v_stall,v_stall_flaps60,turn_loadfactor,h_hover,roc,cL_cruise,mac,y_mac,x_lemac,cLmax,cLmax_flaps60,cLmax_flaps20,cl_max_airfoil,cd,cd0,cd0_flaps20,cd_tot_cruise,clalpha,cm_ac,cm_alpha,e,A,A_h,S,S_h,c_root,c_tip,t_r_h,sweep_le,sweep_1/4,sweep_m,b,taper,taper_tail,StotS,diskloading,mission_energy,wp_hover,power_hover,power_climb,power_cruise,wp_cruise,tw,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,l_cockpit,l_tail,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,ww,w_eng,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,depda,depsda,cl_alpha,diskarea,rotor_direction,cd_upsweep,cd_base,cL0,cL0_approach,cL_approach,h_fuselage_inner,h_fuselage_outer,w_fuselage_inner,w_fuselage_outer,mach_cruise,mach_stall,material,alpha_zero_L,alpha_zero_L_flaps20,delta_alpha_zero_L_flaps20,delta_alpha_zero_L_flaps60,ld_stall,cd_stall,cd0_stall,shear_modulus,hortailsurf_wingsurf,quarterchord_sweep,alpha_climb_clean,cl_climb_clean,cdi_climb_clean,nacelle_width,sweep_halfchord_h,volume_fuselage,downwash_angle,downwash_angle_wing,downwash_angle_prop,downwash_angle_stall,downwash_angle_wing_stall,downwash_angle_prop_stall,v_stall_flaps20,alpha_climb_flaps20,cl_descent_trans_flaps20,cdi_descent_trans_flaps20,alpha_descent_trans_flaps20,alpha_approach,CD0_vtail,CL_cruise_h,Vh_V2,length_wing2vtail,rudder_max,elevator_min,dihedral_vtail,surface_vtail,c_control_surface_to_c_vee_ratio,ruddervator_efficiency,Cm_de,Cn_dr,Cxa,Cxq,Cza,Czq,Cma,Cmq,Cz_adot,Cm_adot,muc,Cxu,Czu,Cx0,Cz0,Cmu,Cyb,Cyp,Cyr,Clb,Clp,Clr,Cnb,Cnp,Cnr,Cy_dr,Cy_beta_dot,Cn_beta_dot,mub,sym_eigvals,asym_eigvals,span_vtail,cL_max,alph_zero_L,C_T,cL_plus_slipstream,cL_plus_slipstream_stall,max_thrust_per_engine,A_tot,bc,bf,hc,hf,thrust_per_engine,cg_rear,cg_front,spar_thickness,stringer_height,stringer_thickness,wingskin_thickness,torsion_bar_thickness,hub_radius,prop_radius,prop_area,pylon_length,crash_box_area
Aetheria,2877.5776241312287,2367.5776241312287,512.1927022215169,218.9867330727201,117.43725586771382,25.710647094430566,127.70032483305066,486,585.9550391906964,293.59492185110054,7.9407545691641825,8.729626995443594,4.412392773914456,1.7,0.9,83.33,104.17,45,40,2,30.5,5,0.5582216067261786,1.4668385008886415,2.3574190192853166,0.10954637660063087,1.59,2.01,1.83,1.77,0.04177944239696779,0.025743772117045708,0,0.036096433209543005,6.21,-0.054,-1.5961,0.8247361497550821,7.5,6,15.005045967717992,7.8160741028498,1.8859352154282534,0.9429676077141267,0.14877,0.0510204081632653,0,-0.009637,10.608385586783927,0.5,1,1.2,120,1041191547.0268841,0.06822382182812936,874754.6139211424,175864.39091135914,175864.39091135914,0.06822382182812936,1.2333333333333332,0.05074320276750537,0.06253341164633416,1.2249512670565301,1873.4920312500003,220.449,14.763926899155006,0,0,0.045,2.5570885189086963,3.8356327783630446,2.103,3.570626995443594,1.7,0.1745,0,"[2.3146149961366778, 2.3146149961366778, 5.072470099314344, 5.072470099314344, 6.8, 6.8]","[2.3, -2.3, 5.304192793391963, -5.304192793391963, 2.3, -2.3]",400,120,13383745.59299348,12798890.57147749,129747498.62920657,639792477.3154577,23464642.757675227,156760317.07798383,44834039.56258412,20409935.51950558,6804036.485964049,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.12,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.40371270751922844,4.8866469811700375,17.98631287137016,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003634191510770247,0.0,0.171,0.798,1.638,1.8091103599053777,2.0091103599053777,1.6,1.8,0.2459,0.12087373219435008,"{'youngsmodulus': 70000000000.0, 'poisson': 0.3, 'shear_modulus': 26000000000.0, 'beta': 1.42, 'sigma_yield': 430000000.0, 'ultimate_tensile_stress': 640000000.0, 'm_crip': 0.85, 'pb': 2.5, 'rho': 2710, 'g': 5, 'shear_strength': 207000000.0}",-0.0352,-0.193,-0.1027196,-0.1332698,7.4346639621647,0.3196488642304871,0.11174337889386876,26000000000.0,0.5208963784359862,0,0.0873,0.592,0.013,0.4,0,0.5,0.08709121320769511,0.047365592943170554,0.0728411803241544,0.22197201625968602,0.1517455318010746,0.4004370786386418,42,0.2,1.83,0.091,0.2119,0.2,0.008684,0.059935790239052066,0.95,3.1090072974185183,0.06457718232378978,-0.28448866807507606,0.34588201320279166,8.831113715292432,0.296873248388905,0.5458309978518734,-2.686553854104909,-0.09791464123988598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.542749117294313,1.59,-0.0352,0.15,0.8248257751154151,2.3764818914412795,8731,17.98631287137016,0.7856702373034136,1.5713404746068271,0.4173776633886546,0.8347553267773093,9370.611349686536,0.2545804178700976,0.10388889422293349,0.0036456916815875077,0.03358730167410947,0.01698129965973246,0.007501287193694809,0.004686596797849621,0.1,1.1255606509106384,3.980042197454356,2.2,1.1244733619623843
Aetheria,2882.6597215815846,2372.6597215815846,495.5020275644145,219.2735498232215,117.91514458812779,25.74921294505393,128.49248945385548,486,605.1273674092502,294.5999297976612,7.9407545691641825,8.953321983575696,4.411659680902979,1.7,0.9,83.33,104.17,45,40,2,30.5,5,0.5582216067261786,1.4698930551031304,2.362328124272888,0.10954637660063087,1.59,2.01,1.83,1.77,0.041628643242331814,0.02559297296240973,0,0.036096433209543005,6.21,-0.054,-1.5961,0.8247361497550821,7.5,6,15.067604250172788,7.8298864657317155,1.8898624994183106,0.9449312497091553,0.14877,0.0510204081632653,0,-0.009637,10.630476559227997,0.5,1,1.2,120,1104065392.6158323,0.06822382182812936,880180.9874087594,192659.68314863657,192659.68314863657,0.06822382182812936,1.2333333333333332,0.05074320276750537,0.06253341164633416,1.2249512670565301,1873.4920312500003,220.449,13.53809342297865,0,0,0.045,2.5570885189086963,3.8356327783630446,2.103,3.7943219835756965,1.7,0.1745,0,"[2.3138819031252007, 2.3138819031252007, 5.073111555699387, 5.073111555699387, 6.8, 6.8]","[2.3, -2.3, 5.3152382796139985, -5.3152382796139985, 2.3, -2.3]",400,120,13466769.10735402,12875584.188998202,130339084.28409445,700888646.9620638,23571296.922611684,157472485.8317598,44913818.74221672,20537706.57673359,6804036.485964049,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.12,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.40371270751922844,4.8866469811700375,17.98631287137016,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.0037056738168669864,0.0,0.171,0.798,1.638,1.8091103599053782,2.009110359905378,1.6,1.8,0.2459,0.12087373219435008,"{'youngsmodulus': 70000000000.0, 'poisson': 0.3, 'shear_modulus': 26000000000.0, 'beta': 1.42, 'sigma_yield': 430000000.0, 'ultimate_tensile_stress': 640000000.0, 'm_crip': 0.85, 'pb': 2.5, 'rho': 2710, 'g': 5, 'shear_strength': 207000000.0}",-0.0352,-0.193,-0.1027196,-0.1332698,7.4386071789761905,0.3194794178886007,0.11157393255198232,26000000000.0,0.5196503927053915,0,0.0873,0.592,0.013,0.4,0,0.5,0.08709121320769511,0.047365592943170554,0.0728411803241544,0.22197201625968602,0.1517455318010746,0.4004370786386418,42,0.2,1.83,0.091,0.2119,0.2,0.008684,0.05942489932194422,0.95,3.1090072974185183,0.06457718232378978,-0.28448866807507606,0.3464977674887838,8.850650643102735,0.2978256780575699,0.5471009040767599,-2.6813761019254123,-0.09791464123988596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.546511794433762,1.59,-0.0352,0.15,0.8248147314329979,2.3764818914412795,8731,17.98631287137016,0.7889033428682624,1.5778066857365247,0.42164832850474226,0.8432966570094846,9409.678830909119,0.26772335231676125,0.1179677187309391,0.00251017820193451,0.03945160290477266,0.01883451933282003,0.00798541945436846,0.004979104800281019,0.1,1.1279045258688012,3.996635589071151,2.2,1.1291614597090942
Aetheria,2872.114009795847,2362.114009795847,495.23233981912114,220.6613481457164,118.11842807856597,17.251359599320267,128.8299494712028,486,600.993257910513,295.02732677140744,7.9407545691641825,8.902341465353883,4.4327677380489545,1.7,0.9,83.33,104.17,45,40,2,30.5,5,0.5582216067261786,1.3819428169948953,2.517110130954988,0.10954637660063087,1.59,2.01,1.83,1.77,0.040612241020552234,0.025965736914127777,0,0.036096433209543005,6.21,-0.054,-1.5961,0.7967287862872775,8.5,6,15.094215185878092,8.697955093697272,1.7767836218505795,0.8883918109252897,0.14877,0.0510204081632653,0,-0.009637,11.326995589297447,0.5,1,1.2,120,1089435073.185845,0.06822382182812936,882492.6080532206,188378.23790582074,188378.23790582074,0.06822382182812936,1.2333333333333332,0.05074320276750537,0.06253341164633416,1.2249512670565301,1873.4920312500003,220.449,13.872430902007524,0,0,0.045,2.6042877328794947,3.9064315993192418,2.103,3.743341465353882,1.7,0.1745,0,"[2.3229638164803266, 2.3229638164803266, 5.054642005696658, 5.054642005696658, 6.8, 6.8]","[2.3, -2.3, 5.663497794648723, -5.663497794648723, 2.3, -2.3]",400,120,13502136.903214276,12914003.444423826,130587767.08724909,685316543.540583,23616435.321028803,157775525.47355995,45130523.27695958,20592138.13882633,6804036.485964049,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.12,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.3670149182926917,4.8866469811700375,17.98631287137016,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.0036347791135052754,0.0,0.171,0.798,1.638,1.8091103599053777,2.0091103599053777,1.6,1.8,0.2459,0.12087373219435008,"{'youngsmodulus': 70000000000.0, 'poisson': 0.3, 'shear_modulus': 26000000000.0, 'beta': 1.42, 'sigma_yield': 430000000.0, 'ultimate_tensile_stress': 640000000.0, 'm_crip': 0.85, 'pb': 2.5, 'rho': 2710, 'g': 5, 'shear_strength': 207000000.0}",-0.0352,-0.193,-0.1027196,-0.1332698,7.8737467665898615,0.3018235106982669,0.11192882643654072,26000000000.0,0.5762442754781276,0,0.0873,0.592,0.013,0.4,0,0.5,0.07807358898863202,0.041796634125358625,0.06656305078798365,0.22197201625968602,0.1517455318010746,0.4004370786386418,42,0.2,1.83,0.091,0.2119,0.2,0.008684,0.05917440403446585,0.95,3.1090072974185183,0.06457718232378978,-0.28448866807507606,0.33919164984657935,9.780740411488612,0.29202958529527256,0.5393727803936968,-3.109838071482283,-0.09791464123988597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.197624765515157,1.59,-0.0352,0.15,0.8160543713871926,2.3764818914412795,8731,17.98631287137016,0.7837395413698184,1.5674790827396368,0.4150716264412147,0.8301432528824294,9426.297289571781,0.2653189764616797,0.1056976219837934,0.002545403276591562,0.03388787610073772,0.02294311368686953,0.007894759522431119,0.0056091559275124854,0.1,1.1289000840808818,4.003694057752201,2.2,1.131155674748614
Aetheria,2878.629265594928,2368.629265594928,495.23233981912114,220.4070678185153,117.69660045288566,19.90135817642681,128.13002240908034,486,607.1215033190351,294.1403735998635,7.9407545691641825,8.98119878259557,4.433374965757495,1.7,0.9,83.33,104.17,45,40,2,30.5,5,0.5582216067261786,1.3794127015426434,2.5125017063812436,0.10954637660063087,1.59,2.01,1.83,1.77,0.040586027903183206,0.025939523796758745,0,0.036096433209543005,6.21,-0.054,-1.5961,0.7967287862872775,8.5,6,15.038995611472396,8.137203211906487,1.773530616269113,0.9754418389480122,0.14877,0.0510204081632653,0,-0.009637,11.306257678715596,0.55,1,1.2,120,1116044399.896074,0.06822382182812936,877698.0671794964,196096.75423717123,196096.75423717123,0.06822382182812936,1.2333333333333332,0.05074320276750537,0.06253341164633416,1.2249512670565301,1873.4920312500003,220.449,13.27328885443162,0,0,0.045,2.6042877328794947,3.9064315993192418,2.103,3.822198782595569,1.7,0.1745,0,"[2.31455143634573, 2.31455143634573, 5.071845987614376, 5.054110681451685, 6.8, 6.8]","[2.3, -2.3, 5.653128839357798, -5.653128839357798, 2.3, -2.3]",400,120,13428780.427846296,12845114.901745101,130065172.87840104,713402623.203529,23522304.89553847,157146707.351922,45154453.849477336,20479242.387614757,6804036.485964049,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.12,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.3670149182926917,4.8866469811700375,17.98631287137016,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003650715134308944,0.0,0.171,0.798,1.638,1.809110359905379,2.009110359905379,1.6,1.8,0.2459,0.12087373219435008,"{'youngsmodulus': 70000000000.0, 'poisson': 0.3, 'shear_modulus': 26000000000.0, 'beta': 1.42, 'sigma_yield': 430000000.0, 'ultimate_tensile_stress': 640000000.0, 'm_crip': 0.85, 'pb': 2.5, 'rho': 2710, 'g': 5, 'shear_strength': 207000000.0}",-0.0352,-0.193,-0.1027196,-0.1332698,7.874579305038211,0.30179160046312437,0.11189691620139822,26000000000.0,0.541073581117284,0,0.0873,0.592,0.013,0.4,0,0.5,0.07807358898863208,0.041796634125358625,0.06656305078798368,0.22197201625968602,0.1517455318010746,0.4004370786386418,42,0.2,1.83,0.091,0.2119,0.2,0.008684,0.06335171103473843,0.95,3.1090072974185183,0.06457718232378978,-0.28448866807507606,0.3489808648537434,9.214603768772545,Not possible. Lower CLh in the horizontal tail sizing program,0.5540278342400771,-3.015430738829947,-0.09791464123988596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.276495953868853,1.59,-0.0352,0.15,0.8160524516858254,2.3764818914412795,8731,17.98631287137016,0.7931051702618691,1.5862103405237382,0.42517035810310694,0.8503407162062139,9391.81281203242,0.260795040798204,0.10158930255732786,0.002545403276591562,0.03388787610073772,0.02294311368686953,0.007894759522431119,0.0056091559275124854,0.1,1.126833249251209,3.9890472358275653,2.2,1.1270175374438904
