name,mtom,oem,wing_weight,fuselage_weight,lg_weight,vtail_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,x_lewing,w_fuse,prop_eff,v_cruise,v_max,v_stall,v_stall_flaps60,turn_loadfactor,h_hover,roc,cL_cruise,mac,y_mac,x_lemac,cLmax,cLmax_flaps60,cLmax_flaps20,cl_max_airfoil,cd,cd0,cd0_flaps20,cd_tot_cruise,clalpha,cm_ac,cm_alpha,e,A,A_h,S,S_h,c_root,c_tip,t_r_h,sweep_le,sweep_1/4,sweep_m,b,taper,taper_tail,StotS,diskloading,mission_energy,wp_hover,power_hover,power_climb,power_cruise,wp_cruise,tw,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,l_cockpit,l_tail,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,ww,w_eng,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,depda,depsda,cl_alpha,diskarea,rotor_direction,cd_upsweep,cd_base,cL0,cL0_approach,cL_approach,h_fuselage_inner,h_fuselage_outer,w_fuselage_inner,w_fuselage_outer,mach_cruise,mach_stall,material,alpha_zero_L,alpha_zero_L_flaps20,delta_alpha_zero_L_flaps20,delta_alpha_zero_L_flaps60,ld_stall,cd_stall,cd0_stall,shear_modulus,hortailsurf_wingsurf,quarterchord_sweep,alpha_climb_clean,cl_climb_clean,cdi_climb_clean,nacelle_width,sweep_halfchord_h,volume_fuselage,downwash_angle,downwash_angle_wing,downwash_angle_prop,downwash_angle_stall,downwash_angle_wing_stall,downwash_angle_prop_stall,v_stall_flaps20,alpha_climb_flaps20,cl_descent_trans_flaps20,cdi_descent_trans_flaps20,alpha_descent_trans_flaps20,alpha_approach,CD0_vtail,CL_cruise_h,Vh_V2,length_wing2vtail,rudder_max,elevator_min,dihedral_vtail,surface_vtail,c_control_surface_to_c_vee_ratio,ruddervator_efficiency,Cm_de,Cn_dr,Cxa,Cxq,Cza,Czq,Cma,Cmq,Cz_adot,Cm_adot,muc,Cxu,Czu,Cx0,Cz0,Cmu,Cyb,Cyp,Cyr,Clb,Clp,Clr,Cnb,Cnp,Cnr,Cy_dr,Cy_beta_dot,Cn_beta_dot,mub,sym_eigvals,asym_eigvals,span_vtail,cL_max,alph_zero_L,C_T,cL_plus_slipstream,cL_plus_slipstream_stall,max_thrust_per_engine,A_tot,bc,bf,hc,hf,thrust_per_engine,cg_rear,cg_front,spar_thickness,stringer_height,stringer_thickness,wingskin_thickness,torsion_bar_thickness,hub_radius,prop_radius,prop_area,pylon_length
Aetheria,2795.160466026424,2285.160466026424,457.9837864025869,235.88688433334107,112.4530079218624,18.4516521077968,119.53548392011882,486,571.7591876176473,283.0904637230703,8.727034683129272,4.6749592198774375,1.7,0.9,83.33,104.17,45,40,2,30.5,5,0.5582216067261786,1.444634744935793,2.2895687160112423,0.10954637660063087,1.59,2.01,1.83,1.77,0.04029049833218454,0.024088024756254923,0,0.036096433209543005,6.21,-0.054,-1.5961,0.8277128220091322,7.39609375,6,14.352580283758803,6.715959024331323,1.8573875292031625,0.9286937646015813,0.14877,0.0510204081632653,0,-0.009637,10.30305922205059,0.5,1,1.2,120,1040413664.5283061,0.06822382182812936,818824.9812451359,181287.1171159923,181287.1171159923,0.06822382182812936,1.2333333333333332,0.05074320276750537,0.06253341164633416,1.2249512670565301,1873.4920312500003,220.449,13.646140237559758,0,0,0.045,2.5515684173920326,3.827352626088049,2.103,3.568034683129271,1.7,0.1745,0,"[2.5786175417675112, 2.5786175417675112, 5.325044855098544, 5.325044855098544, 6.8, 6.8]","[2.3, -2.3, 5.151529611025295, -5.151529611025295, 2.3, -2.3]",400,120,12528022.21305058,11979880.928020988,123622057.73867248,659519312.3559028,22356738.303317692,149359588.2285845,41954781.5447639,19093283.21599314,6804036.485964049,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.12,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.4079330608400121,4.8866469811700375,17.98631287137016,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.0037719301656810185,0.0,0.171,0.798,1.638,1.8091103599053784,2.0091103599053786,1.6,1.8,0.2459,0.12087373219435008,"{'youngsmodulus': 70000000000.0, 'poisson': 0.3, 'shear_modulus': 26000000000.0, 'beta': 1.42, 'sigma_yield': 430000000.0, 'ultimate_tensile_stress': 640000000.0, 'm_crip': 0.85, 'pb': 2.5, 'rho': 2710, 'g': 5, 'shear_strength': 207000000.0}",-0.0352,-0.193,-0.1027196,-0.1332698,7.427095433578641,0.3199746001238879,0.10990647863880655,26000000000.0,0.46792694355669395,0,0.0873,0.592,0.013,0.4,0,0.5,0.08813727018844303,0.04803051411612412,0.07357173353200624,0.22197201625968602,0.1517455318010746,0.4004370786386418,42,0.2,1.83,0.091,0.2119,0.2,0.008684,0.07137365824216303,0.95,3.5916781166985916,0.06283185307179545,-0.2862339973270704,0.33662127477756265,7.538381475994715,0.29403497821422864,0.5420466376189715,-2.8020266971278533,-0.10056098289501808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8944468610558878,1.59,-0.0352,0.15,0.8255681508940238,2.3764818914412795,8731,17.98631287137016,0.7853814447002645,1.570762889400529,0.4170237104740653,0.8340474209481306,8963.148263165995,0.18870837001991775,0.013715809787094472,0.0010000000319893407,0.03907857103884821,0.011594526635516413,0.008562114753809847,0.005403707225730698,0.1,1.100817257238079,3.806977685680426,2.2
Aetheria,2811.2760736684377,2301.2760736684377,467.5347759889256,234.26204088759656,114.61846487365982,18.397298258582197,123.06087831397433,486,569.7432638705459,287.6593514751533,8.606919844875287,4.6862752990199406,1.7,0.9,83.33,104.17,45,40,2,30.5,5,0.5582216067261786,1.458831104671547,2.3120682033357483,0.10954637660063087,1.59,2.01,1.83,1.77,0.0399435113440028,0.023741037768073184,0,0.036096433209543005,6.21,-0.054,-1.5961,0.8277128220091322,7.39609375,6,14.636050601946865,6.565328499387024,1.8756399917205604,0.9378199958602802,0.14877,0.0510204081632653,0,-0.009637,10.404306915010867,0.5,1,1.2,120,1012995731.7409773,0.06822382182812936,842974.1368244074,171562.49743329332,171562.49743329332,0.06822382182812936,1.2333333333333332,0.05074320276750537,0.06253341164633416,1.2249512670565301,1873.4920312500003,220.449,14.72948674683749,0,0,0.045,2.5515684173920326,3.827352626088049,2.103,3.4479198448752864,1.7,0.1745,0,"[2.589933620910015, 2.589933620910015, 5.342749296122137, 5.342749296122137, 6.8, 6.8]","[2.3, -2.3, 5.202153457505434, -5.202153457505434, 2.3, -2.3]",400,120,12897504.293413434,12325442.103203809,126286707.54149267,624119225.7548214,22837565.330510285,152569003.06744003,42298564.38586802,19661719.264227673,6804036.485964049,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.12,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.4079330608400121,4.8866469811700375,17.98631287137016,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.0037065102580486294,0.0,0.171,0.798,1.638,1.8091103599053793,2.0091103599053795,1.6,1.8,0.2459,0.12087373219435008,"{'youngsmodulus': 70000000000.0, 'poisson': 0.3, 'shear_modulus': 26000000000.0, 'beta': 1.42, 'sigma_yield': 430000000.0, 'ultimate_tensile_stress': 640000000.0, 'm_crip': 0.85, 'pb': 2.5, 'rho': 2710, 'g': 5, 'shear_strength': 207000000.0}",-0.0352,-0.193,-0.1027196,-0.1332698,7.435546768855054,0.31961091299910105,0.10954279151401966,26000000000.0,0.44857241054589647,0,0.0873,0.592,0.013,0.4,0,0.5,0.08813727018844303,0.04803051411612412,0.07357173353200624,0.22197201625968602,0.1517455318010746,0.4004370786386418,42,0.2,1.83,0.091,0.2119,0.2,0.008684,0.07087188747717786,0.95,3.727479220590807,0.06283185307179545,-0.2862339973270704,0.33847154089088155,7.378882581022874,0.2974387687325979,0.5465850249767973,-2.78548449442343,-0.10056098289501807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849634472271143,1.59,-0.0352,0.15,0.8255427395174837,2.3764818914412795,8731,17.98631287137016,0.7955780466203336,1.5911560932406672,0.4269471217454325,0.853894243490865,9140.174723906406,0.1963094431976119,0.021167125696149817,0.0010001351059429116,0.04039381383533796,0.010946161787458638,0.009185267292485727,0.005722634818810578,0.1,1.1116349382068227,3.8821673139255886,2.2
Aetheria,2846.6447794559704,2336.6447794559704,470.2905073413832,235.0383577659343,115.26308788689443,44.244360640371056,124.11685477739773,486,572.6737065540813,289.0179044899084,8.620623788114123,4.51056448139734,1.7,0.9,83.33,104.17,45,40,2,30.5,5,0.5582216067261786,1.463030534442517,2.3187237839677417,0.10954637660063087,1.59,2.01,1.83,1.77,0.04011945117349773,0.023916977597568116,0,0.036096433209543005,6.21,-0.054,-1.5961,0.8277128220091322,7.39609375,6,14.720435327545443,5.472719162223751,1.8810392585689506,0.9405196292844753,0.14877,0.0510204081632653,0,-0.009637,10.434257027854837,0.5,1,1.2,120,1018282203.0904652,0.06822382182812936,850207.6366982674,172104.32504544663,172104.32504544663,0.06822382182812936,1.2333333333333332,0.05074320276750537,0.06253341164633416,1.2249512670565301,1873.4920312500003,220.449,14.775225127971073,0,0,0.045,2.5515684173920326,3.827352626088049,2.103,3.461623788114123,1.7,0.1745,0,"[2.414222803287414, 2.414222803287414, 5.168928221896473, 5.168928221896473, 6.8, 6.8]","[2.3, -2.3, 5.217128513927419, -5.217128513927419, 2.3, -2.3]",400,120,13008176.841483492,12431152.668517103,127074768.58877039,626106330.1962979,22980625.497880816,153526102.9663572,43323041.583954856,19832004.747203525,6804036.485964049,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.12,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.4079330608400121,4.8866469811700375,17.98631287137016,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003745647508612268,0.0,0.171,0.798,1.638,1.8091103599053788,2.009110359905379,1.6,1.8,0.2459,0.12087373219435008,"{'youngsmodulus': 70000000000.0, 'poisson': 0.3, 'shear_modulus': 26000000000.0, 'beta': 1.42, 'sigma_yield': 430000000.0, 'ultimate_tensile_stress': 640000000.0, 'm_crip': 0.85, 'pb': 2.5, 'rho': 2710, 'g': 5, 'shear_strength': 207000000.0}",-0.0352,-0.193,-0.1027196,-0.1332698,7.431096320663216,0.3198023264525767,0.10973420496749535,26000000000.0,0.37177699167517075,0,0.0873,0.592,0.013,0.4,0,0.5,0.08813727018844304,0.04803051411612412,0.07357173353200624,0.22197201625968602,0.1517455318010746,0.4004370786386418,42,0.2,1.83,0.091,0.2119,0.2,0.008684,0.08382183376962657,0.95,3.6251179346635753,0.06806784082777845,-0.2809980095710874,0.37400749044420034,6.31574298024545,Not possible. Lower CLh in the horizontal tail sizing program,0.5567933596640594,-2.3109423973488554,-0.09301890917789163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.674708656460697,1.59,-0.0352,0.15,0.8255556243616073,2.3764818914412795,8731,17.98631287137016,0.7976153829384608,1.5952307658769216,0.42883788576853527,0.8576757715370705,9192.87276089579,0.2829460238621537,0.11492410729710034,0.0010000000206912608,0.04524754374398394,0.01887489464825804,0.009240571526266788,0.005749591135503802,0.1,1.1148349199175276,3.9045501023172746,2.2
Aetheria,2842.425813930161,2332.425813930161,470.2085301535219,234.416603032895,116.6778332818821,34.839831753122716,126.44481469121288,486,571.8411196047093,291.9970814128173,8.560642380915745,4.516277824720373,1.7,0.9,83.33,104.17,45,40,2,30.5,5,0.5582216067261786,1.4722049730750666,2.3332641428741603,0.10954637660063087,1.59,2.01,1.83,1.77,0.04007661801008164,0.02387414443415202,0,0.036096433209543005,6.21,-0.054,-1.5961,0.8277128220091322,7.39609375,6,14.905633341728722,5.9828046063581946,1.8928349653822283,0.9464174826911141,0.14877,0.0510204081632653,0,-0.009637,10.499688642933723,0.5,1,1.2,120,997696750.1680877,0.06822382182812936,866154.2968050098,164931.55675337798,164931.55675337798,0.06822382182812936,1.2333333333333332,0.05074320276750537,0.06253341164633416,1.2249512670565301,1873.4920312500003,220.449,15.629036272736345,0,0,0.045,2.5515684173920326,3.827352626088049,2.103,3.401642380915744,1.7,0.1745,0,"[2.419936146610447, 2.419936146610447, 5.178770062604153, 5.178770062604153, 6.8, 6.8]","[2.3, -2.3, 5.2498443214668615, -5.2498443214668615, 2.3, -2.3]",400,120,13252160.74111665,12664099.298121087,128817987.5648588,600005079.438018,23295531.86167403,155629632.57215106,43824819.14185816,20207439.550290048,6804036.485964049,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.12,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.4079330608400121,4.8866469811700375,17.98631287137016,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.0037411444425579352,0.0,0.171,0.798,1.638,1.8091103599053797,2.00911035990538,1.6,1.8,0.2459,0.12087373219435008,"{'youngsmodulus': 70000000000.0, 'poisson': 0.3, 'shear_modulus': 26000000000.0, 'beta': 1.42, 'sigma_yield': 430000000.0, 'ultimate_tensile_stress': 640000000.0, 'm_crip': 0.85, 'pb': 2.5, 'rho': 2710, 'g': 5, 'shear_strength': 207000000.0}",-0.0352,-0.193,-0.1027196,-0.1332698,7.43203441010499,0.3197619602258687,0.10969383874078735,26000000000.0,0.4013787585670159,0,0.0873,0.592,0.013,0.4,0,0.5,0.08813727018844308,0.04803051411612412,0.07357173353200626,0.22197201625968602,0.1517455318010746,0.4004370786386418,42,0.2,1.83,0.091,0.2119,0.2,0.008684,0.07575073944864266,0.95,3.630889849739593,0.06806784082777845,-0.2809980095710874,0.361618560125466,6.838791184012809,0.2926520537211118,0.5402027382948158,-2.3978741944955195,-0.09301890917789167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.492201195940197,1.59,-0.0352,0.15,0.8255524875014917,2.3764818914412795,8731,17.98631287137016,0.7896508627234887,1.5793017254469774,0.4204495281640275,0.8408990563280551,9308.528428821024,0.28437235758655555,0.11809467569903649,0.0010000000150622434,0.03364308404725628,0.0205857812203294,0.008476556469389083,0.005174191637055762,0.1,1.1218258776025656,3.953673304799959,2.2
Aetheria,2865.6562813722185,2355.6562813722185,489.75944507433564,235.59048292594971,116.50907499920403,34.80980704325166,126.16637324452319,486,575.1792153303631,291.6418827545912,8.6103846508727,4.481895320038947,1.7,0.9,83.33,104.17,45,40,2,30.5,5,0.5582216067261786,1.4711136031308933,2.3315344554977964,0.10954637660063087,1.59,2.01,1.83,1.77,0.04017468467492293,0.023972211098993317,0,0.036096433209543005,6.21,-0.054,-1.5961,0.8277128220091322,7.39609375,6,14.88354194709355,5.988902900783694,1.8914317754540055,0.9457158877270028,0.14877,0.0510204081632653,0,-0.009637,10.491905049740083,0.5,1,1.2,120,1013716393.4878083,0.06822382182812936,864246.9567844021,169337.06983193374,169337.06983193374,0.06822382182812936,1.2333333333333332,0.05074320276750537,0.06253341164633416,1.2249512670565301,1873.4920312500003,220.449,15.197857297665696,0,0,0.045,2.5515684173920326,3.827352626088049,2.103,3.4513846508726993,1.7,0.1745,0,"[2.385553641929021, 2.385553641929021, 5.143896441447849, 5.143896441447849, 6.8, 6.8]","[2.3, -2.3, 5.245952524870042, -5.245952524870042, 2.3, -2.3]",400,120,13222978.438801354,12642463.12296023,128603739.89713462,616046915.545953,23257665.315952167,155378433.16195783,44401665.47743978,20162532.527609404,6804036.485964049,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.12,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.4079330608400121,4.8866469811700375,17.98631287137016,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.0037609268386981994,0.0,0.171,0.798,1.638,1.8091103599053786,2.0091103599053786,1.6,1.8,0.2459,0.12087373219435008,"{'youngsmodulus': 70000000000.0, 'poisson': 0.3, 'shear_modulus': 26000000000.0, 'beta': 1.42, 'sigma_yield': 430000000.0, 'ultimate_tensile_stress': 640000000.0, 'm_crip': 0.85, 'pb': 2.5, 'rho': 2710, 'g': 5, 'shear_strength': 207000000.0}",-0.0352,-0.193,-0.1027196,-0.1332698,7.429603674765492,0.31986657639800564,0.10979845491292427,26000000000.0,0.40238425248992593,0,0.0873,0.592,0.013,0.4,0,0.5,0.08813727018844303,0.04803051411612412,0.07357173353200624,0.22197201625968602,0.1517455318010746,0.4004370786386418,42,0.2,1.83,0.091,0.2119,0.2,0.008684,0.07553405574706212,0.95,3.6056264943348526,0.06806784082777845,-0.2809980095710874,0.3622747041571663,6.849164271156166,0.2932638214088138,0.5410184285450851,-2.393127772062281,-0.09301890917789166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.494531632457599,1.59,-0.0352,0.15,0.8255596693527747,2.3764818914412795,8731,17.98631287137016,0.7958561031068511,1.5917122062137021,0.42742658707076797,0.8548531741415359,9294.732411551626,0.28907197852277267,0.125692840899951,0.00221701165760171,0.032022072867362646,0.02110328672358982,0.008258793640772102,0.005049419859094626,0.1,1.1209942494884086,3.947813630458557,2.2
