label,x_rotor_loc,y_rotor_loc,pylon_length,total_disk_area,totalmass,mass_perpowertrain,mass_pernacelle,mass_pertotalengine,thrust_coefficient,thrust_per_engine,hub_radius,prop_radius,prop_area
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,584.1840250385401,97.36400417309001,16.364004173090013,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,595.5659415103198,99.26099025171997,18.260990251719978,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,596.6075484437073,99.43459140728454,18.434591407284547,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.3769220414551,99.89615367357585,18.89615367357586,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.3183462115236,99.88639103525394,18.886391035253926,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,600.9909868818384,100.16516448030639,19.165164480306387,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,601.7961357620316,100.29935596033859,19.299355960338584,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,605.1003240309519,100.85005400515865,19.85005400515865,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,607.8391314850867,101.30652191418112,20.306521914181122,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,608.5771940922857,101.42953234871429,20.429532348714282,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,603.9100894568555,100.6516815761426,19.651681576142597,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.784566884854,99.96409448080901,18.96409448080901,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,598.7622259514313,99.79370432523855,18.79370432523856,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,597.625379662206,99.604229943701,18.604229943701004,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,597.5651873068946,99.59419788448243,18.59419788448243,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,598.3700655853353,99.72834426422254,18.72834426422254,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,598.2059959594152,99.7009993265692,18.700999326569196,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,597.8736324976024,99.64560541626707,18.64560541626707,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.1145681437242,99.85242802395403,18.852428023954044,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.8199424341201,99.96999040568669,18.969990405686673,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.6841470965447,99.94735784942412,18.947357849424122,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.7256620366479,99.95427700610799,18.954277006107993,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.7743203836956,99.96238673061593,18.962386730615922,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.737122865288,99.95618714421467,18.956187144214663,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.7647339273918,99.96078898789864,18.96078898789863,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.7578120467933,99.95963534113223,18.959635341132223,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.7584712631974,99.9597452105329,18.959745210532905,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.7227206048669,99.95378676747782,18.953786767477826,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.7251599268475,99.95419332114125,18.954193321141254,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,599.7168535501495,99.95280892502491,18.952808925024918,81.0,,,,,
