label,MTOM,Stots,prop_eff,glide_slope,mission_energy,mission_time,climb_energy,cruise_energy,descend_energy,hover_energy,hor_loiter_energy,cruisePower,hoverPower,max_thrust,TW_max,v_stall,v_approach,OEM,wing_loading_cruise,turn_loadfactor,v_max,max_thrust_per_engine,n_max,n_ult,oem_cg,cg_front,cg_rear,cg_front_bar,cg_rear_bar,wing_loc,oem_mass,powersystem_mass,misc_mass,lg_mass
Aircraft,2670.919645341718,12.0,0.9,0.19198621771937624,1178033137.22705,5914.68532027287,132917172.07521373,846755070.522828,0,20176987.574956384,178183907.05405188,209388.20784507875,672566.2524985461,29215.024087443187,1.2352253181974544,45.0,,2160.919645341718,2003.1046875,0.9,90.0,,2.5,3.75,5.334849245837973,5.230538109661394,6.482271743780349,-0.6048663518505394,0.36403122883625844,0.6322033898305084,,571.9235446298812,261.1629856044929,102.11551704891848
Aircraft,2687.820633023564,12.0,0.9,0.17453292519943295,1067356116.9829787,5903.357342697012,131166480.88088004,754178057.9350729,0,22515991.16683548,159495587.00019038,187427.1120962564,750533.038894516,31431.328967988426,1.2352253181974544,45.0,,2177.820633023564,2003.1046875,0.9,90.0,,2.5,3.75,5.401393367790474,5.3243819634170295,6.248518815898369,-0.4162641000559083,0.27337835809176864,0.5254237288135593,,560.8750333257184,277.16185687294876,109.64884201018661
Aircraft,2732.500274007458,12.0,0.9,0.17453292519943295,1145278710.048448,5903.357342697012,136316016.76901418,814070788.6589034,0,22730043.199686006,172161861.42084464,202311.5567403522,757668.1066562001,31630.219453008634,1.2352253181974544,45.0,,2222.500274007458,2003.1046875,0.9,90.0,,2.5,3.75,5.622583447335357,5.547385621827674,6.449759527919872,-0.4122151123097499,0.25906611135027907,0.5728813559322035,,584.5448577374771,278.5924214026157,110.3248801620283
Aircraft,2731.5590345035334,12.0,0.9,0.17453292519943295,1109674871.0898325,5903.357342697012,135271916.96296975,785074211.824432,0,23299154.28114999,166029588.02128056,195105.37432814785,776638.476038333,32156.008574514282,1.2352253181974544,45.0,,2221.5590345035334,2003.1046875,0.9,90.0,,2.5,3.75,5.597175117198738,5.522437295617168,6.419291154596001,-0.45255705895924553,0.20914073570729813,0.5550847457627119,,579.4702210760477,282.3703697675696,112.11206221814834
Aircraft,2758.3728738269842,12.0,0.9,0.17453292519943295,1121093762.963032,5907.004044983032,135529920.860416,794379864.8468671,0,23287116.846422106,167896860.40932688,197299.65115906848,776237.2282140702,32144.93208685689,1.2352253181974544,45.0,,2248.3728738269842,2003.1046875,0.9,90.0,,2.5,3.75,5.5927273482507385,5.518202934094215,6.412495903972496,-0.4429449012304718,0.23327396609620665,0.5610169491525423,,582.575896518405,282.2908397882472,112.07441271347726
Aircraft,2771.233691240469,12.0,0.9,0.17453292519943295,1125024119.7406993,5907.004044983032,136434293.5355369,796594122.0867826,0,23630847.407570526,168364856.71080932,197849.60490329633,787694.9135856841,32460.47681173847,1.2352253181974544,45.0,,2261.233691240469,2003.1046875,0.9,90.0,,2.5101817316910884,3.7652725975366326,5.570874653715358,5.497150943775736,6.381835463051196,-0.42740389802983414,0.238290195830772,0.5550847457627119,,586.5602873957434,284.5555119394813,113.14696413598827
Aircraft,2823.7033418526053,12.0,0.9,0.17453292519943295,1103572893.4045076,5914.743206432042,134574743.8106637,780456082.5832217,0,23796306.90004164,164745760.11058074,193596.7171780867,793210.230001388,32611.82265384401,1.2352253181974544,45.0,,2313.7033418526053,2003.1046875,0.9,90.0,,2.5101817316910884,3.7652725975366326,5.55791046916159,5.484299386555821,6.367632377825049,-0.429931419993514,0.27156413314682615,0.5491525423728814,,581.9286399743638,285.641022388496,113.66139580111069
Aircraft,2866.827986415703,12.0,0.9,0.19198621771937624,1142579247.2202022,5925.516647303066,137987004.0488291,809972696.8164994,0,24475323.324772175,170144223.03010163,199940.5811921006,815844.1108257392,33229.28445285462,1.2352253181974544,45.0,,2356.827986415703,2003.1046875,0.9,90.0,,2.5503204215770285,3.825480632365543,5.5598414304840675,5.488332326511544,6.346441574181832,-0.425119177467345,0.24998391104014464,0.5550847457627119,,598.8646582789115,290.0650552929053,115.7601776176141
Aircraft,2878.393882110405,12.0,0.9,0.17453292519943295,1128572237.7710402,5914.743206432042,138435222.06377286,796885113.4896867,0,25038153.01066645,168213749.20691428,197672.0348300185,834605.1003555483,33736.77440758026,1.2352253181974544,45.0,,2368.393882110405,2003.1046875,0.9,90.0,,2.550320421577028,3.825480632365542,5.557477903269078,5.486698923830637,6.336046677091924,-0.4062041455829981,0.2569611196828882,0.5432203389830508,,599.5204536079048,293.6956815635442,117.48515994161053
Aircraft,2804.859328260196,12.0,0.9,0.15707963267948966,1195637861.254423,5883.998575805981,145177586.74366027,845280232.8030082,0,25189826.15758773,179990215.5501665,211510.8445358437,839660.871919591,33872.881636797596,1.2352253181974544,45.0,,2294.859328260196,2003.1046875,0.9,90.0,,2.5503204215770277,3.8254806323655415,5.610018488377665,5.540117492085367,6.378929447592943,-0.35956261598564565,0.22037126223502101,0.5550847457627119,,619.8588541759236,294.6685803815523,117.94779484183226
Aircraft,2739.046128286377,12.0,0.9,0.15707963267948966,1125452738.1844356,5883.998575805981,139040094.85280937,793267137.1259035,0,24230728.053765535,168914778.15195715,198495.8308555795,807690.9351255179,33007.528477779415,1.2352253181974544,45.0,,2229.046128286377,2003.1046875,0.9,90.0,,2.5,3.75,5.657662760045413,5.5844376588357365,6.46313887335185,-0.37830697235207816,0.2371173606913842,0.5432203389830508,,591.835621805101,288.4770533120482,115.00641858517749
