label,length_fuselage,length_tail,diameter_fuselage,upsweep,volume_fuselage,length_cabin,height_cabin,height_fuselage_outer,height_fuselage_inner,width_fuselage_inner,width_fuselage_outer,length_cockpit,length_tank,tank_radius,limit_fuselage,volume_powersys,crash_box_area,fuselage_weight,bc,hc,bf,hf
Fuselage,11.807215212143701,6.6482152121437,2.0,0.265686456298391,8.0,2.7,1.6,2.0091103599053786,1.8091103599053784,2.08,2.2,2.103,3.262626262626263,0.22517769797694312,11.807215212143701,0.9916103848712541,0.9741668027913634,337.1673539258426,0.9007107919077725,0.46064273248595716,1.801421583815545,0.9212854649719143
Fuselage,11.21371768196486,6.054717681964859,2.0,0.2903495574659598,8.0,2.7,1.6,2.009110359905379,1.809110359905379,2.08,2.2,2.103,2.9393939393939394,0.22645242844671729,11.21371768196486,0.8984479099183321,1.0480688688320903,328.64092726660135,0.9058097137868691,0.46541926091220176,1.8116194275737385,0.9308385218244035
Fuselage,11.639875392467898,6.480875392467898,2.0,0.2722166018757912,8.0,2.7,1.6,2.0091103599053795,1.8091103599053793,2.08,2.2,2.103,3.101010101010101,0.22809942472200642,11.639875392467898,0.9640393182225993,1.0547008163984466,341.07823624925425,0.9123976988880257,0.4717379168381536,1.8247953977760514,0.9434758336763072
Fuselage,11.44598399216853,6.28698399216853,2.0,0.2801852328114543,8.0,2.7,1.6,2.009110359905378,1.809110359905378,2.08,2.2,2.103,3.0202020202020203,0.22765513304313603,11.44598399216853,0.9340697568096233,1.0722331075205265,337.46546910358387,0.9106205321725441,0.47001623643376284,1.8212410643450883,0.9400324728675257
Fuselage,11.501140650373388,6.342140650373388,2.0,0.27787251026456283,8.0,2.7,1.6,2.009110359905378,1.809110359905378,2.08,2.2,2.103,3.101010101010101,0.22561482244726655,11.501140650373388,0.9436816186557508,1.0718637651391867,338.9615365427737,0.9024592897890662,0.4622700108609007,1.8049185795781324,0.9245400217218013
Fuselage,11.523002977431505,6.364002977431505,2.0,0.2769660818904277,8.0,2.7,1.6,2.009110359905378,1.809110359905378,2.08,2.2,2.103,3.101010101010101,0.22602031326320524,11.523002977431505,0.9469899997817334,1.0823855156897084,341.0498729088844,0.9040812530528209,0.4637893978024105,1.8081625061056417,0.927578795604821
Fuselage,11.410422074306918,6.251422074306918,2.0,0.281696323207855,8.0,2.7,1.6,2.009110359905378,1.8091103599053782,2.08,2.2,2.103,3.0202020202020203,0.22701136287616486,11.410422074306918,0.9289334119566562,1.0874321004427598,338.4026849672504,0.9080454515046594,0.4675443127604914,1.8160909030093189,0.9350886255209828
Fuselage,11.623872118913944,6.464872118913943,2.0,0.27285753834179083,8.0,2.7,1.6,2.009110359905378,1.8091103599053782,2.08,2.2,2.103,3.101010101010101,0.22782333719842884,11.623872118913944,0.9617670431146482,1.1080211913429623,348.1383516458461,0.9112933487937154,0.47066651234119017,1.8225866975874307,0.9413330246823803
Fuselage,11.5429587169905,6.383958716990499,2.0,0.27614371770480706,8.0,2.7,1.6,2.0091103599053777,1.8091103599053777,2.08,2.2,2.103,3.101010101010101,0.22638579408851497,11.5429587169905,0.9499766311204042,1.1249433018695219,347.50646887202544,0.9055431763540599,0.4651671960534702,1.8110863527081198,0.9303343921069405
Fuselage,11.905398664092209,6.746398664092208,2.0,0.2619955234558561,8.0,2.7,1.6,2.0091103599053795,1.8091103599053793,2.08,2.2,2.103,3.262626262626263,0.2268957565688541,11.905398664092209,1.0064291761400865,1.129481759340123,358.2370036490945,0.9075830262754164,0.4671031951157713,1.8151660525508329,0.9342063902315426
Fuselage,11.52540249416656,6.366402494166559,2.0,0.2768669469061864,8.0,2.7,1.6,2.0091103599053777,1.8091103599053777,2.08,2.2,2.103,3.101010101010101,0.22606449285160185,11.52540249416656,0.9473507897175383,1.100626800409301,342.47685075392906,0.9042579714064074,0.46395552378509497,1.8085159428128148,0.92791104757019
Fuselage,11.640284985816159,6.481284985816158,2.0,0.2722002360614433,8.0,2.7,1.6,2.0091103599053777,1.8091103599053775,2.08,2.2,2.103,3.101010101010101,0.22810645600077753,11.640284985816159,0.964097220634741,1.0748017007395745,343.1214275180137,0.9124258240031101,0.4717652692956322,1.8248516480062202,0.9435305385912642
Fuselage,11.498478029814311,6.339478029814311,2.0,0.27798329945118405,8.0,2.7,1.6,2.0091103599053777,1.8091103599053775,2.08,2.2,2.103,3.101010101010101,0.22556507062308917,11.498478029814311,0.9432760728383177,1.0683540434894783,338.53806929044265,0.9022602824923567,0.46208424831410083,1.8045205649847134,0.9241684966282017
Fuselage,11.575325367543348,6.416325367543347,2.0,0.2748199796132055,8.0,2.7,1.6,2.009110359905379,1.809110359905379,2.08,2.2,2.103,3.101010101010101,0.22696928351694887,11.575325367543348,0.9547539952075348,1.0611613018062915,339.94732554151614,0.9078771340677955,0.46738365430914525,1.815754268135591,0.9347673086182905
Fuselage,11.438265937708193,6.279265937708192,2.0,0.28051184428289483,8.0,2.7,1.6,2.009110359905379,1.809110359905379,2.08,2.2,2.103,3.0202020202020203,0.22751661932109285,11.438265937708193,0.9329634917054584,1.060779790360342,336.113452547085,0.9100664772843714,0.4694821301760433,1.8201329545687428,0.9389642603520867
Fuselage,11.638169110351736,6.4791691103517355,2.0,0.2722847991653248,8.0,2.7,1.6,2.009110359905379,1.809110359905379,2.08,2.2,2.103,3.181818181818182,0.22509668521332923,11.638169110351736,0.9651881636555542,1.0658756169917014,342.16374480839073,0.9003867408533169,0.4603423389214358,1.8007734817066339,0.9206846778428716
