Rank,City proper/metropolitan area,Country/region,UNSD sub‑region[4],Official est. GDP up to date (billion US$),Brookings[7] 2014 est. PPP-adjusted GDP (billion US$),Metropolitan population,Official est. GDP per capita
300,Quebec City,Canada,North America,36.587 (2019)[10],,"825,234 (2019)[11]",44338.94
120,Raleigh,United States,North America,108.288 (2021)[19],64.352,"1,448,411 (2021)[20]",74764.69
300+,"Regina, Saskatchewan",Canada,North America,13.913 (2019)[10],,"260,914 (2019)[11]",53312.59
161,Richmond,United States,North America,80.909 (2021)[19],71.589,"1,324,062 (2021)[20]",61107.41
58,Riverside–San Bernardino,United States,North America,213.183 (2021)[19],154.904,"4,653,105 (2021)[20]",45814.57
182,Rochester,United States,North America,69.341 (2021)[19],67.823,"1,084,973 (2021)[20]",63909.42
85,Sacramento,United States,North America,160.542 (2021)[19],127.401,"2,411,428 (2021)[20]",66574.66
300+,"Saguenay, Quebec",Canada,North America,6.304 (2019)[10],,"162,591 (2019)[11]",38747.53
110,Salt Lake City,United States,North America,118.494 (2021)[19],73.836,"1,263,061 (2021)[20]",93811.78
300+,St. Catharines–Niagara Falls,Canada,North America,13.018 (2019)[10],,"433,955 (2019)[11]",30003.11
300+,"Saint John, New Brunswick",Canada,North America,4.915 (2019)[10],,"131,089 (2019)[11]",37455.47
300+,"St. John's, Newfoundland and Labrador",Canada,North America,10.003 (2019)[10],,"213,113 (2019)[11]",46923.46
66,St. Louis,United States,North America,187.569 (2021)[19],140.584,"2,809,299 (2021)[20]",66767.55
93,San Antonio,United States,North America,144.384 (2021)[19],102.771,"2,601,788 (2021)[20]",55492.61
42,San Diego,United States,North America,267.973 (2021)[19],202.49,"3,286,069 (2021)[20]",81547.28
9,San Francisco,United States,North America,668.677 (2021)[19],331.024,"4,623,264 (2021)[20]",144633.75
25,San Jose,United States,North America,410.418 (2021)[19],160.339,"1,952,185 (2021)[20]",210236.22
300+,Saskatoon,Canada,North America,15.595 (2019)[10],,"330,413 (2019)[11]",47183.37
19,Seattle,United States,North America,479.966 (2021)[19],267.473,"4,011,553 (2021)[20]",119646.93
300+,Sherbrooke,Canada,North America,7.357 (2019)[10],,"221,325 (2019)[11]",33254.26
