2.29000000000008,2.26000000000008,2.23000000000008,2.20000000000008,2.17000000000008,2.14000000000008,2.12000000000008,2.09000000000008,2.06000000000008,2.03000000000008,2.00000000000009,1.97000000000009,1.95000000000009,1.92000000000009,1.89000000000009,1.86000000000009,1.83000000000009,1.80000000000009,1.78000000000009,1.75000000000009,1.72000000000009,1.69000000000008,1.66000000000008,1.63000000000008,1.60000000000008,1.58000000000008,1.55000000000008,1.52000000000008,1.49000000000008,1.46000000000008,1.43000000000008,1.41000000000008,1.38000000000008,1.35000000000008,1.32000000000008,1.29000000000008,1.26000000000008,1.24000000000008,1.21000000000008,1.18000000000008,1.15000000000008,1.12000000000008,1.09000000000008,1.07000000000008,1.04000000000008,1.01000000000008,0.980000000000084,0.950000000000084,0.920000000000084,0.890000000000084,0.870000000000084,0.840000000000084,0.810000000000084,0.780000000000084,0.750000000000084,0.720000000000084,0.700000000000084,0.670000000000084,0.640000000000084,0.610000000000084,0.580000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084,0.570000000000084
4.84999999999996,4.87999999999996,4.91999999999996,4.95999999999996,4.99999999999996,5.02999999999996,5.06999999999996,5.10999999999996,5.13999999999995,5.17999999999995,5.21999999999995,5.24999999999995,5.28999999999995,5.31999999999995,5.34999999999995,5.37999999999995,5.40999999999995,5.43999999999995,5.46999999999995,5.49999999999995,5.53999999999995,5.56999999999995,5.59999999999994,5.62999999999994,5.65999999999994,5.68999999999994,5.71999999999994,5.74999999999994,5.78999999999994,5.81999999999994,5.84999999999994,5.87999999999994,5.90999999999994,5.93999999999994,5.96999999999994,5.99999999999994,6.03999999999994,6.06999999999993,6.09999999999993,6.12999999999993,6.15999999999993,6.18999999999993,6.21999999999993,6.24999999999993,6.28999999999993,6.31999999999993,6.34999999999993,6.37999999999993,6.40999999999993,6.43999999999993,6.46999999999993,6.49999999999993,6.53999999999992,6.56999999999992,6.59999999999992,6.62999999999992,6.65999999999992,6.68999999999992,6.71999999999992,6.74999999999992,6.78999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.95,2,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3,3.05,3.1,3.15,3.2,3.25,3.3,3.35,3.4,3.45,3.5,3.55,3.6,3.65,3.7,3.75,3.8,3.85,3.9,3.95,4,4.05,4.1,4.15,4.2,4.25,4.3,4.35,4.4,4.45,4.5,4.55,4.6,4.65,4.7,4.75,4.8,4.85,4.9,4.95,5,5.05,5.1,5.15,5.2,5.25,5.3,5.35,5.4,5.45,5.5,5.55,5.6,5.65,5.7,5.75,5.8,5.85,5.9,5.95,6
