4.18000000000004,4.09000000000004,3.99000000000004,3.90000000000004,3.80000000000005,3.71000000000005,3.62000000000005,3.53000000000005,3.49000000000005,3.44000000000005,3.40000000000006,3.35000000000006,3.31000000000006,3.26000000000006,3.22000000000006,3.17000000000006,3.13000000000006,3.08000000000006,3.04000000000006,3.00000000000006,2.95000000000007,2.91000000000007,2.87000000000007,2.86000000000007,2.85000000000007,2.84000000000007,2.83000000000007,2.82000000000007,2.81000000000007,2.80000000000007,2.79000000000007,2.78000000000007,2.77000000000007,2.76000000000007,2.75000000000007,2.73000000000007,2.72000000000007,2.71000000000007,2.70000000000007,2.69000000000007,2.68000000000007,2.67000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007,2.66000000000007
4.34999999999997,4.50999999999997,4.61999999999997,4.71999999999996,4.81999999999996,4.91999999999996,5.01999999999996,5.10999999999996,5.15999999999995,5.20999999999995,5.25999999999995,5.30999999999995,5.35999999999995,5.39999999999995,5.44999999999995,5.49999999999995,5.54999999999995,5.59999999999994,5.64999999999994,5.69999999999994,5.74999999999994,5.78999999999994,5.83999999999994,5.88999999999994,5.93999999999994,5.98999999999994,6.03999999999994,6.08999999999993,6.13999999999993,6.17999999999993,6.22999999999993,6.27999999999993,6.32999999999993,6.37999999999993,6.42999999999993,6.47999999999993,6.52999999999992,6.56999999999992,6.61999999999992,6.66999999999992,6.71999999999992,6.76999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992,6.79999999999992
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
