4.97,4.51000000000001,4.28000000000002,4.97,4.78,4.59000000000001,4.39000000000001,4.20000000000002,4.01000000000002,3.82000000000003,3.63000000000003,3.44000000000003,3.25000000000004,3.06000000000004,2.87000000000005,2.68000000000005,2.54000000000005,2.47000000000005,2.39000000000006,2.31000000000006,2.24000000000006,2.16000000000006,2.08000000000006,2.01000000000006,1.93000000000006,1.85000000000006,1.78000000000006,1.70000000000006,1.63000000000006,1.55000000000006,1.47000000000006,1.40000000000006,1.32000000000006,1.24000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006,1.18000000000006
5.76999999999998,5.38999999999999,5.57999999999999,5.76999999999998,5.95999999999998,6.14999999999998,6.34999999999997,6.53999999999997,6.72999999999996,6.91999999999996,7.10999999999996,7.29999999999995,7.48999999999995,7.67999999999994,7.86999999999994,8.05999999999993,8.19999999999993,8.26999999999993,8.34999999999993,8.42999999999993,8.49999999999993,8.57999999999992,8.65999999999992,8.72999999999992,8.80999999999992,8.88999999999992,8.95999999999992,9.03999999999991,9.10999999999991,9.18999999999991,9.26999999999991,9.33999999999991,9.41999999999991,9.4999999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999,9.5599999999999
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3,3.05,3.1,3.15,3.2,3.25,3.3,3.35,3.4,3.45,3.5,3.55,3.6,3.65,3.7,3.75,3.8,3.85,3.9,3.95,4,4.05,4.1,4.15,4.2,4.25,4.3,4.35,4.4,4.45,4.5,4.55,4.6,4.65,4.7,4.75,4.8,4.85,4.9,4.95
