alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
-10,-0.661,0.01117,0.00632,-0.0599,0.8756,0.0283,-4.9795,0,0.145
-9.75,-0.6381,0.01112,0.00622,-0.0586,0.8568,0.0284,-4.8147,0,0.1439
-9.5,-0.6142,0.01104,0.00611,-0.0576,0.8413,0.0285,-4.649,0,0.1421
-9.25,-0.5914,0.01098,0.006,-0.0562,0.8229,0.0285,-4.4894,0,0.1408
-9,-0.568,0.01091,0.00588,-0.055,0.8043,0.0286,-4.3308,0,0.139
-8.75,-0.5445,0.01082,0.00575,-0.0539,0.7873,0.0286,-4.1744,0,0.1369
-8.5,-0.5221,0.01076,0.00561,-0.0525,0.7634,0.0287,-4.0242,0,0.1354
-8.25,-0.4986,0.01067,0.00547,-0.0513,0.7431,0.0287,-3.8731,0,0.1329
-8,-0.4755,0.0106,0.00532,-0.0501,0.7202,0.0287,-3.7261,0,0.1304
-7.5,-0.4347,0.00997,0.00445,-0.0467,0.681,0.0294,-3.4762,0,0.1283
-7.25,-0.4137,0.00976,0.00411,-0.045,0.6577,0.0298,-3.3497,0,0.1268
-7,-0.3908,0.00953,0.00381,-0.0437,0.6446,0.0302,-3.2189,0,0.1235
-6.75,-0.3687,0.00938,0.00355,-0.0423,0.6212,0.0306,-3.0919,0,0.1206
-6.5,-0.3449,0.00919,0.00329,-0.0412,0.6087,0.0314,-2.9629,0,0.1157
-6.25,-0.3224,0.00906,0.00306,-0.0398,0.5863,0.0334,-2.8411,0,0.1114
-6,-0.2982,0.0089,0.00291,-0.0387,0.5734,0.0373,-2.7127,0,0.1045
-5.75,-0.274,0.00887,0.00284,-0.0377,0.5531,0.0396,-2.5811,0,0.0962
-5.5,-0.2482,0.00884,0.00278,-0.037,0.5377,0.0407,-2.4469,0,0.084
-5.25,-0.2228,0.00885,0.00273,-0.0362,0.5201,0.0413,-2.3155,0,0.0697
-5,-0.1971,0.00886,0.00269,-0.0355,0.5003,0.0415,-2.1961,0,0.0511
-4.75,-0.172,0.00889,0.00265,-0.0347,0.48,0.0417,-2.0911,0,0.0281
-4.25,-0.1217,0.00884,0.00247,-0.0331,0.4464,0.0429,-1.8945,0,-0.0465
-4,-0.0974,0.0088,0.00233,-0.0321,0.4263,0.0448,-1.804,0,-0.1079
-3.75,-0.0718,0.00871,0.00223,-0.0313,0.4187,0.0484,-1.7111,0,-0.2217
-3.5,-0.047,0.00869,0.00219,-0.0304,0.4047,0.0521,-1.6178,0,-0.4466
-3.25,-0.0215,0.00868,0.00215,-0.0297,0.3878,0.0548,-1.5238,0,-1.226
-3,0.0051,0.00866,0.00212,-0.0292,0.382,0.0562,-1.429,0,6.3395
-2.5,0.0565,0.00869,0.00204,-0.0278,0.3592,0.0597,-1.2488,0,0.7669
-2.25,0.0824,0.00864,0.002,-0.0272,0.3497,0.0656,-1.1618,0,0.5935
-2,0.1089,0.00859,0.00197,-0.0266,0.3463,0.0698,-1.0742,0,0.5029
-1.75,0.1353,0.00858,0.00196,-0.0261,0.3409,0.0725,-0.988,0,0.4478
-1.5,0.1613,0.00861,0.00194,-0.0255,0.3335,0.0745,-0.9354,0,0.4106
-1.25,0.1867,0.00861,0.00192,-0.0248,0.3228,0.0836,-0.9648,0,0.3835
-1,0.2127,0.0086,0.00192,-0.0242,0.3137,0.0897,-0.9947,0,0.3632
-0.75,0.2397,0.00856,0.0019,-0.0238,0.3127,0.0973,-1.0257,0,0.3476
-0.5,0.266,0.0085,0.00189,-0.0233,0.3111,0.1101,-1.0563,0,0.335
-0.25,0.2919,0.00844,0.00189,-0.0227,0.3085,0.1309,-1.0868,0,0.3244
0,0.3161,0.0083,0.00187,-0.0218,0.305,0.1778,-1.1192,0,0.315
0.25,0.3251,0.0074,0.00173,-0.0182,0.3016,0.4362,-1.1413,0,0.3013
0.5,0.3446,0.00714,0.00173,-0.0164,0.2971,0.5252,-1.1717,0,0.2924
0.75,0.3673,0.00705,0.00175,-0.0152,0.2912,0.5764,-1.2047,0,0.2856
1,0.3903,0.00698,0.00178,-0.014,0.2848,0.622,-1.238,0,0.2798
1.25,0.4126,0.00689,0.00183,-0.0127,0.2798,0.6689,-1.2709,0,0.2742
1.5,0.4357,0.0068,0.00187,-0.0115,0.2779,0.7104,-1.3047,0,0.2694
1.75,0.4598,0.00674,0.00191,-0.0105,0.2776,0.7429,-1.3398,0,0.2655
2,0.4844,0.0067,0.00195,-0.0096,0.2771,0.7711,-1.3753,0,0.2621
2.25,0.5099,0.00669,0.00199,-0.009,0.2762,0.7926,-1.4119,0,0.2594
2.5,0.534,0.00667,0.00204,-0.008,0.2746,0.8178,-1.4475,0,0.2564
2.75,0.5576,0.00666,0.00211,-0.0069,0.272,0.846,-1.4828,0,0.2534
3,0.5823,0.00669,0.00217,-0.0061,0.2688,0.864,-1.5191,0,0.2511
3.25,0.6075,0.00677,0.00225,-0.0054,0.2648,0.8793,-1.556,0,0.2493
3.5,0.6313,0.00683,0.00234,-0.0044,0.2603,0.9029,-1.5918,0,0.247
3.75,0.6572,0.00692,0.00244,-0.0039,0.2546,0.9201,-1.634,0,0.2456
4,0.6834,0.00703,0.00254,-0.0035,0.2487,0.9292,-1.6777,0,0.2444
4.25,0.7113,0.00715,0.00266,-0.0034,0.244,0.938,-1.723,0,0.2438
4.5,0.7374,0.00723,0.00275,-0.003,0.2425,0.9455,-1.7673,0,0.2428
4.75,0.7698,0.00731,0.00286,-0.004,0.2422,0.9519,-1.818,0,0.2435
5,0.7991,0.00738,0.00295,-0.0042,0.2418,0.9591,-1.8659,0,0.2433
5.25,0.8302,0.00747,0.00304,-0.0049,0.2413,0.964,-1.9161,0,0.2436
5.5,0.8644,0.00758,0.00315,-0.0063,0.2402,0.9674,-1.9695,0,0.2447
5.75,0.8953,0.00769,0.00326,-0.007,0.2382,0.9719,-2.0202,0,0.2449
6,0.9249,0.00782,0.00337,-0.0075,0.2353,0.9762,-2.0697,0,0.2448
6.25,0.9597,0.00799,0.00351,-0.0091,0.2315,0.9777,-2.1247,0,0.2458
6.5,0.9932,0.0082,0.00367,-0.0105,0.2268,0.9793,-2.1786,0,0.2466
6.75,1.0259,0.00842,0.00383,-0.0118,0.2209,0.9812,-2.2388,0,0.2471
7,1.0565,0.00862,0.004,-0.0125,0.2146,0.9835,-2.2977,0,0.2471
