name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,cm,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep1_1/4,sweep2_1/4,sweep_le2,sweep_m,taper1,taper2,StotS,mission_energy,WP_hover,power_hover,power_climb,power_cruise,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,depda,depsda,cl_alpha1,cl_alpha2,alpha
L1,4271.866732659943,3796.8667326599434,136.60792954202887,507.8355913272227,279.3928210497126,172.73166706310403,298.03220315478717,291.64826227516505,1356.9288493356564,408.519705943181,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1145513797824351,1.3053111351682751,0.0987297617323698,1.322408970593913,2.750356349417917,0.11923952010407159,1.5,0.027280905772342493,0.016816825319578555,5.17,0.548,0.780952380952381,6.091451964118617,12.834996297283611,5.8,10.3,6.39754948813182,15.993896111775149,22.39144559990697,0.285714,0.714286,1.5003576266302012,1.7801659219533446,0.6001430506520805,0.7120663687813379,0.07563695663995235,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1863475323.8235998,0.0069482977320348615,2041537.8359261553,287592.5085366102,309223.68092709925,0.05207212931333901,1.2237037037037035,1860.46875,251.9211,16.663909666536128,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",36036108.98443653,13214468.746747274,21281845.63170916,1423294722.9029613,4118244.23291045,262673624.33046928,10374645.02691093,61246135.07778466,31235528.88967018,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174
L1,4290.34551230935,3815.34551230935,137.18869988791104,509.99458643837875,280.0196780900649,173.68659710952076,299.7071143843541,293.28729639428894,1364.1472791560593,410.4646688206489,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1176788257002133,1.3089738554835186,0.09900679875003818,1.3261196676615745,2.7580738857230633,0.119574107775086,1.5,0.02723905346963424,0.016774973016870302,5.17,0.548,0.780952380952381,6.108544658923087,12.871011466707627,5.8,10.3,6.433503077596169,16.08378021127371,22.517283288869876,0.285714,0.714286,1.5045676499810563,1.7851610910828888,0.6018270599924226,0.7140644364331555,0.07563695663995237,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1871752086.8634136,0.006928855272467873,2053011.0747600226,289208.7497246041,310484.4335452264,0.05216089841937887,1.2237037037037035,1860.46875,251.9211,16.689513456052687,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",36238628.319491684,13288732.741920957,21401447.479620703,1429097714.9082518,4141388.354380501,264149823.876844,10432949.496274998,61590332.242800675,31411069.443828348,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174
L1,4304.6442420523545,3829.644242052354,137.6376953031245,511.6637124763222,280.5038946828621,174.42574681352846,301.0035550442948,294.55596689906054,1369.7346104403268,411.96958384261995,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.120093584306862,1.3118019093132287,0.09922070413493139,1.3289847652256497,2.764032737676039,0.11983244907962072,1.5,0.02720697919103277,0.01674289873826883,5.17,0.548,0.780952380952381,6.121742243461734,12.89881944248818,5.8,10.3,6.4613324302386035,16.15335369028263,22.61468612052123,0.285714,0.714286,1.5078182865669296,1.7890179531883745,0.6031273146267719,0.7156071812753498,0.07563695663995236,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1878158652.72925,0.006913917669808743,2061891.7682934236,290459.77769277146,311460.3133386889,0.052228957920773,1.2237037037037035,1860.46875,251.9211,16.709188705574284,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",36395385.46324641,13346215.70651824,21494023.549265087,1433589494.3090355,4159302.7247558963,265292454.65053633,10478079.222200464,61856753.0488027,31546944.05488938,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174
L1,4315.705803447207,3840.705803447206,137.9848018524018,512.9540699269967,280.8779868910455,174.99769485651336,302.0067303067331,295.5376538407754,1374.0580481254617,413.1337446066233,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1219585382199728,1.3139860572614683,0.09938590643858763,1.3311975225997632,2.7686348474839315,0.12003196990355885,1.5,0.02718234997578832,0.01671826952302438,5.17,0.548,0.780952380952381,6.131934933886852,12.920295954925011,5.8,10.3,6.482866557486543,16.207189083771997,22.69005564125854,0.285714,0.714286,1.5103288014499636,1.791996665038143,0.6041315205799855,0.7167986660152572,0.07563695663995236,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1883116034.1637049,0.006902425143682337,2068763.5768854278,291427.8129828259,312215.44832018134,0.052281236899288826,1.2237037037037035,1860.46875,251.9211,16.724328463746637,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",36516682.86904702,13390695.558066752,21565658.160729118,1437065229.5147455,4173164.719182685,266176613.07111648,10513000.237907518,62062907.30656283,31652082.726347048,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174
L1,4324.261480187389,3849.2614801873888,138.25313284193382,513.951581763954,281.16703459134226,175.44015642518792,302.7827911844966,296.2970912573485,1377.4026823649926,414.0341479229162,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1233991509575794,1.3156732364099346,0.09951351953468401,1.332906801545463,2.772189818983497,0.12018609287590808,1.5,0.02716340902025225,0.016699328567488313,5.17,0.548,0.780952380952381,6.139808436579694,12.936885821922985,5.8,10.3,6.499525454809514,16.248836385385623,22.748361840195138,0.285714,0.714286,1.512268087827511,1.7942976174650462,0.6049072351310044,0.7177190469860185,0.07563695663995236,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1886951105.3840015,0.006893573684631572,2074079.6388014392,292176.689420508,312799.62819473294,0.05232145200339322,1.2237037037037035,1860.46875,251.9211,16.73599028283445,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",36610519.085649155,13425105.370517295,21621075.01711759,1439754092.5739477,4183888.420180116,266860601.98676172,10540015.292122606,62222389.16404317,31733418.473662023,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174
L1,4330.878003028343,3855.8780030283438,138.46056154979814,514.722691324502,281.39039187617726,175.78238280864363,303.3830433337036,296.8844858220634,1379.9896256114796,414.7304567903086,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1245121416926076,1.3169767197899964,0.09961211105058262,1.3342273588197957,2.7749363241607865,0.12030516543149626,1.5,0.027148825610594177,0.01668474515783024,5.17,0.548,0.780952380952381,6.145891359019982,12.949702846083671,5.8,10.3,6.5124104477373255,16.28104891280267,22.793459360539998,0.285714,0.714286,1.5137663445862026,1.7960752907189559,0.605506537834481,0.7184301162875824,0.07563695663995235,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1889917390.8846428,0.006886750740389564,2078191.400754444,292755.9154890926,313251.47038574895,0.05235242130605874,1.2237037037037035,1860.46875,251.9211,16.744980277680963,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",36683097.65815911,13451719.988608569,21663937.74619285,1441833831.7586372,4192182.7753725993,267389640.14396542,10560910.35953057,62345742.02263332,31796328.431542996,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174
L1,4335.994315511545,3860.9943155115448,138.62090792352203,515.318773819788,281.5630000059998,176.04704319164728,303.8472476481218,297.33874673819145,1381.9902363834728,415.2688765724792,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1253721170165778,1.317983883198261,0.09968828982562293,1.3352477147258008,2.7770584682229877,0.12039716930569319,1.5,0.02713758717547213,0.016673506722708193,5.17,0.548,0.780952380952381,6.150591454925218,12.95960618504061,5.8,10.3,6.522375042310192,16.305960434110954,22.828335476421145,0.285714,0.714286,1.5149240036761624,1.7974488467462706,0.605969601470465,0.7189795386985083,0.07563695663995237,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1892211370.671396,0.006881488093830694,2081371.22716734,293203.85930806224,313600.90339295886,0.05237629081964346,1.2237037037037035,1860.46875,251.9211,16.751914843132703,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",36739226.21436326,13472302.373129612,21697085.588796604,1443442201.9639168,4198597.20549293,267798771.19895667,10577069.536059387,62441136.8150202,31844979.775660302,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174
L1,4339.9502318996665,3864.9502318996665,138.74485703544266,515.7795506631068,281.69639693937,176.25169528065527,304.20619968164516,297.6900099094496,1383.537235406964,415.68517499215375,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.126036653851746,1.318762158068679,0.09974715616825065,1.3360361839593038,2.778698332599975,0.12046826432630356,1.5,0.027128920493182284,0.016664840040418346,5.17,0.548,0.780952380952381,6.154223404320502,12.96725888546655,5.8,10.3,6.530080294876937,16.32522359249623,22.855303887373164,0.285714,0.714286,1.5158185724927347,1.7985102476375243,0.6063274289970939,0.7194040990550098,0.07563695663995235,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1893985224.0978632,0.006877426945107446,2083830.0693661473,293550.237701647,313871.1078157048,0.05239470027431147,1.2237037037037035,1860.46875,251.9211,16.757266457611003,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",36782628.351660214,13488217.97009654,21722717.589921877,1444685898.849764,4203557.247147156,268115137.1171638,10589564.829823188,62514902.08098442,31882600.061302055,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174
L1,4343.008731463392,3868.008731463392,138.8406697284373,516.1357312725831,281.799494530373,176.40993161892197,304.4837402416925,297.96160546587555,1384.7333704859868,416.0070307137584,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1265502028766767,1.3193636029844158,0.09979264763126355,1.3366455070014958,2.7799656073502264,0.12052320601889258,1.5,0.027122233490587372,0.016658153037823434,5.17,0.548,0.780952380952381,6.157030147260606,12.973172834301055,5.8,10.3,6.5360379714268895,16.340117804722997,22.876155776149886,0.285714,0.714286,1.516509888487834,1.7993304901943212,0.6066039553951337,0.7197321960777285,0.07563695663995235,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1895356764.0294464,0.0068742918021793475,2085731.2382611288,293818.0563636565,314080.02947650495,0.05240890583273699,1.2237037037037035,1860.46875,251.9211,16.761397971497004,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",36816186.744892865,13500523.858580656,21742536.17091058,1445647523.4459965,4207392.335431964,268359750.22955444,10599226.150850184,62571937.14783386,31911687.945395272,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174
L1,4345.373276334422,3870.3732763344224,138.91473234920508,516.4110566869931,281.87917742771344,176.53227135618422,304.69831951954814,298.17158839001735,1385.6581573599917,416.2558572143675,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1269470906618209,1.3198284196404786,0.09982780494852372,1.337116412135987,2.7809449994712887,0.12056566678821576,1.5,0.02711707183756386,0.016652991384799923,5.17,0.548,0.780952380952381,6.1591992916555665,12.977743330866012,5.8,10.3,6.54064412316042,16.351633200178373,22.892277323338792,0.285714,0.714286,1.5170441605062974,1.7999644009522904,0.606817664202519,0.7199857603809162,0.07563695663995236,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1896417165.4383812,0.006871870816784018,2087201.1187301215,294025.11919829395,314241.55662681855,0.052419871764021124,1.2237037037037035,1860.46875,251.9211,16.764588453162432,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",36842132.27078153,13510038.10278282,21757858.820673753,1446391000.5948281,4210357.417272705,268548871.7943516,10606695.759215718,62616033.56190365,31934177.11657086,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174
