name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,cm,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep1_1/4,sweep2_1/4,sweep_le2,sweep_m,taper1,taper2,StotS,mission_energy,WP_hover,power_hover,power_climb,power_cruise,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,depda,depsda,cl_alpha1,cl_alpha2,alpha,diskarea,rotor_direction
L1,4347.2012484337465,3872.201248433747,138.97198193120616,516.6238801696871,281.94076491092795,176.62685296139273,304.8642120823265,298.333927483399,1386.3731159338588,416.4482176487898,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1272538312794735,1.320187660094614,0.0998549768031765,1.3374803581610757,2.781701937213853,0.12059848322423544,1.5,0.027113086326038593,0.016649005873274655,5.17,0.548,0.780952380952381,6.160875747108198,12.98127570699798,5.8,10.3,6.544205167466552,16.360535823407368,22.90474099087392,0.285714,0.714286,1.517457080568522,1.8004543282937557,0.6069828322274088,0.7201817313175023,0.07563695663995236,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1898101312.0710897,0.006525128524151201,2089215.9952021448,294355.1673447966,314498.67923778424,0.04981313554210013,1.2249512670565301,1767.4453125,251.9211,16.767052778311292,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",36877697.76795639,13523311.055010386,21782282.38351495,1447574484.5189223,4220232.311324099,268864648.9765862,10617170.475118458,62676479.85606434,31965004.726592816,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174,3.622667707028122,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
L1,4405.528825477133,3895.5288254771326,143.5837365452948,533.7679298551866,281.9883672270185,176.69997169876524,304.99245958566627,298.4594278860207,1385.3010270205336,416.5969215243615,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1567812635682138,1.3547688259866193,0.10247059094830911,1.372514491217245,2.8545661966374043,0.12375745545277654,1.5,0.025723942165324185,0.01628010955670473,5.17,0.548,0.780952380952381,6.32225452127089,13.321308917641218,5.8,10.3,6.891534867539692,17.228861289245383,24.120396156785077,0.285714,0.714286,1.5572055471110569,1.8476156612539834,0.6228822188444227,0.7390462645015934,0.07563695663995237,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1888179141.4416265,0.006525128524151201,2089215.9952021448,288745.3536340416,314089.7676727019,0.04981313554210013,1.2249512670565301,1767.4453125,251.9211,16.78888170271147,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",36877697.76795639,13495261.98645661,21367156.16891908,1445692346.4143286,3514877.9375634235,262001741.556212,10588575.027533565,62676479.85606434,31965004.726592816,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174,3.622667707028122,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
L1,4450.123023353992,3940.123023353992,145.03973418067693,539.180554309815,283.5029751365573,179.03307010272235,309.08462605496516,302.463938898852,1402.915712340773,420.7094102065395,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.164515829646226,1.363827192797215,0.10315573824599088,1.3816915105550265,2.87365263204858,0.12458493273564118,1.5,0.025631927504681844,0.01618809489606239,5.17,0.548,0.780952380952381,6.364526899720335,13.41037894956004,5.8,10.3,6.984000458148921,17.46002558939835,24.44402604754727,0.285714,0.714286,1.5676174629853041,1.8599693411317666,0.6270469851941217,0.7439877364527067,0.07563695663995235,0.1,0.1,0.04335420758452166,-0.209,0.4,0.4,1.2,1908272720.3139093,0.006481789450131996,2117247.572291964,292619.52828056325,317165.42031988257,0.05039500432966154,1.2249512670565301,1767.4453125,251.9211,16.849151194818816,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",37372495.83108223,13676331.573129036,21653845.09276168,1459848960.0640018,3562038.0072232285,265517089.91318706,10730644.8076986,63517427.16875893,32393887.856067054,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174,3.671274021230944,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
L1,4484.721308738499,3974.721308738499,146.1497545875591,543.3070195274938,284.655403066115,180.8168344414134,312.21328132451663,305.5255774163139,1416.38298079573,424.3321567849476,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1703947941912245,1.370712364735492,0.10367651169734497,1.3886668690653066,2.888160036334864,0.12521388975258133,1.5,0.025563205572018445,0.01611937296339899,5.17,0.548,0.780952380952381,6.3966577020989615,13.478080169562697,5.8,10.3,7.054694785831373,17.63676165603487,24.691456441866244,0.285714,0.714286,1.5755314537189562,1.8693592468186817,0.6302125814875825,0.7477436987274727,0.07563695663995236,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1923635248.6846862,0.006449231025782714,2138679.0419141976,295581.5184669203,319516.9101231072,0.05054226561863168,1.2249512670565301,1767.4453125,251.9211,16.894447009953723,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",37750792.40801198,13814767.856390802,21873032.366552103,1470672397.0590446,3598094.116269752,268204740.38974336,10839263.889960302,64160371.25742593,32721789.341287225,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174,3.708435852794993,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
L1,4511.549026709614,4001.5490267096143,147.00909929718952,546.5016058903213,285.54624302408683,182.20076308206652,314.64063988323755,307.90094121282965,1426.8315235554076,427.1410265181465,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.174935708123721,1.3760304735525886,0.10407875726335028,1.3940546380169725,2.899365559644915,0.1256996963362585,1.5,0.025510829320457312,0.016066996711837856,5.17,0.548,0.780952380952381,6.421475543245412,13.530372611676269,5.8,10.3,7.109542784913615,17.77388184570867,24.883424630622283,0.285714,0.714286,1.58164422247424,1.8766120127151553,0.632657688989696,0.7506448050860621,0.07563695663995237,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1935554222.242235,0.006424305914718014,2155306.5884898077,297879.57038068445,321341.3066312698,0.05065281161121152,1.2249512670565301,1767.4453125,251.9211,16.9291329778407,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",38044292.76347839,13922173.264804857,22043088.20817065,1479069729.0963752,3626068.1489923773,270289946.59657943,10923535.705246028,64659197.65469423,32976190.803894058,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174,3.7372677572820825,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
L1,4532.342313454214,4022.3423134542136,147.6743316792347,548.9745859086738,286.2350636656637,183.27386964937108,316.52282826640226,309.7428125455708,1434.9333842276087,429.317954470396,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1784447159852027,1.3801400616057469,0.10438959399673507,1.3982180561940813,2.9080246687959597,0.1260751051518899,1.5,0.025470769227554146,0.016026936618934694,5.17,0.548,0.780952380952381,6.440653620826819,13.570781787714477,5.8,10.3,7.152072252322347,17.88020566308378,25.032277915406127,0.285714,0.714286,1.5863678869031577,1.882216614107417,0.6345471547612631,0.7528866456429668,0.07563695663995237,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1944796254.8043754,0.006405176515049516,2168199.6878189957,299661.49361590506,322755.95223208953,0.05073738923181234,1.2249512670565301,1767.4453125,251.9211,16.95575889690123,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",38271874.699212156,14005456.062593302,22174950.527576976,1485581059.704652,3647759.381724201,271906827.99422437,10988880.576191906,65045990.63456987,33173455.223630637,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174,3.759624188924678,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
L1,4548.453093599375,4038.4530935993757,148.1892704043829,550.888854083732,286.7677898938108,184.10559945156672,317.9816509214128,311.1703867734488,1441.2128693810143,431.00457327188207,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1811572621408468,1.3833168704687995,0.10462987815096317,1.4014364770174212,2.914718365181425,0.12636530505449312,1.5,0.02544004600224268,0.015996213393623226,5.17,0.548,0.780952380952381,6.4554787288543976,13.602019037513315,5.8,10.3,7.18503545149855,17.9626137763956,25.14764922789415,0.285714,0.714286,1.5900193913434477,1.8865491036772977,0.6360077565373792,0.7546196414709191,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1951959440.8287282,0.006390466926843939,2178192.7074141414,301042.6040341187,323852.3953492182,0.050802269488344605,1.2249512670565301,1767.4453125,251.9211,16.976235888211328,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",38448266.01407159,14070005.83522667,22277152.698524784,1490627767.9576995,3664571.5467589693,273160019.8821604,11039527.2484258,65345781.22242424,33326348.423436366,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174,3.7769519278785113,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
L1,4560.932603629852,4050.932603629851,148.5878537757696,552.3705749675778,287.17986057085085,184.7500293653144,319.1119566472146,312.27648100514676,1446.0782556114707,432.3109913565195,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1832546858429838,1.3857732763045711,0.10481567321265357,1.4039250584943765,2.9198941360801314,0.12658969650044558,1.5,0.025416434428782733,0.015972601820163277,5.17,0.548,0.780952380952381,6.466941956087998,13.626172635040612,5.8,10.3,7.210575562657114,18.02646414368249,25.237039706339605,0.285714,0.714286,1.5928428463270934,1.8898991172039685,0.6371371385308374,0.7559596468815875,0.07563695663995236,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1957509517.3919399,0.006379139258371166,2185935.3670360274,302112.69778973015,324701.92504277726,0.05085214054091391,1.2249512670565301,1767.4453125,251.9211,16.99200661489886,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",38584935.20582188,14120019.438563643,22356339.63644003,1494537983.1332216,3677597.726697054,274131001.4895527,11078768.634911098,65578061.011080824,33444811.11565122,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174,3.7903775779994793,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
L1,4570.597378982654,4060.597378982654,148.896363152442,553.5174486685239,287.49864173522917,185.24920876569672,319.9874984593149,313.1332684440387,1449.8470127564285,433.3227207298293,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1848768113968824,1.3876730348859643,0.10495936517010078,1.4058497013801305,2.9238970231588683,0.12676323849779453,1.5,0.025398259302088985,0.01595442669346953,5.17,0.548,0.780952380952381,6.475807496134499,13.644852774741384,5.8,10.3,7.230359090860651,18.07592303343375,25.306282124294402,0.285714,0.714286,1.5950264768804188,1.8924899826270989,0.6380105907521676,0.7569959930508396,0.07563695663995236,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1961808634.8707955,0.0063704060595243745,2191932.879108271,302941.599036993,325359.97465881,0.05089053429283081,1.2249512670565301,1767.4453125,251.9211,17.004166183369026,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",38690800.00777046,14158760.285306029,22417678.328737482,1497566853.8299925,3687687.8863126286,274883129.8532742,11109165.255797273,65757986.37324813,33536573.05035655,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174,3.800777169691543,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
L1,4578.081125163073,4068.0811251630726,149.1351477707727,554.4051228193314,287.7452766025576,185.6357990047093,320.66556313535347,313.7968087674786,1452.7657316398863,434.10611858997675,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1861315446990977,1.3891425206187509,0.1050705125987546,1.407338435416668,2.92699330365986,0.1268974752853744,1.5,0.025384251674010136,0.015940419065390683,5.17,0.548,0.780952380952381,6.4826650962208365,13.659302083746011,5.8,10.3,7.245680474096537,18.11422654514836,25.359907019244897,0.285714,0.714286,1.5967155409410931,1.8944940476762842,0.6386862163764373,0.7577976190705137,0.07563695663995237,0.1,0.1,0.04335420758452166,-0.209,0.4,0.4,1.2,1965138088.743078,0.006363667211150227,2196577.66137235,303583.54285729444,325869.60127654404,0.05092012758737137,1.2249512670565301,1767.4453125,251.9211,17.01354948285512,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",38772787.1632039,14188763.192457683,22465182.17143979,1499912563.1673145,3695502.2256352706,275465616.79820144,11132705.964657774,65897329.841170505,33607638.21899696,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918,0.1,0.1,4.403170835162595,5.074769759678473,4.520400845303174,3.8088311491522115,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
