name,mtom,oem,wing_weight,fuselage_weight,lg_weight,hortail_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac,y_mac,x_lemac,cLmax,cd,cd0,clalpha,cm,e,A,A_h,S,S_h,c_root,c_tip,t_r_h,sweep_le,sweep_1/4,sweep_m,b,taper,StotS,diskloading,mission_energy,wp_hover,power_hover,power_climb,power_cruise,wp_cruise,tw,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,ww,w_eng,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,depda,depsda,cl_alpha,diskarea,rotor_direction,cd_upsweep,cd_base
J1,1145772192.2818856,1145771682.2818856,5254830.155080688,1800.7041037918623,45167755.557311624,3855778.8581460332,168163917.00609845,164561794.5076279,575966280.7766976,78638462.69119363,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,916.5151480312819,1554.550693391521,79.31381088732248,1.5,0.014944049961706125,0.00610344994615355,4.97,-0.115,0.799480152200161,8.4,6,6265331.484543853,3.25,1233.7703915805719,493.50815663222875,0.14877,0.05102040816326529,0,-0.255,7254.569902493764,0.4,1.2,120,5760394635845.306,0.06822382182812936,1151932561553.3953,101123.08823769282,129914.76780704118,0.06822382182812936,1.2333333333333332,7.015387020622037e-05,0.07988419085831674,1.2249512670565301,1767.4453125,220.449,28.89954350043628,0,0,0.045,3.0677620390056575,4.601643058508486,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,8352338.185824435,3235137.7241376257,7483108.529589268,597971678.2768582,1790321.53305259,93313505.26345265,5759662880347.579,12986363.055025581,6623045.158063047,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.17,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.1,4.8866469811700375,16.784037653220203,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003276899118861381,0.0
J1,2.4398372217347452e+23,2.4398372217347452e+23,5313120.578156709,1804.4868356405025,45830798.61444924,3905942.6760662273,4.104727029672808e+22,4.0168025221631e+22,1.405880882757085e+23,79792491.80226341,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,923.2176629470007,1565.9191898447204,79.89383621656738,1.5,0.014941660594214812,0.006101060578662237,4.97,-0.115,0.799480152200161,8.4,6,6357303.838469488,3.25,1242.7930078132702,497.1172031253081,0.14877,0.051020408163265314,0,-0.255,7307.622885942028,0.4,1.2,120,1.4143161680541106e+28,0.06822382182812936,2.81176176551417e+26,57525586901.330505,34576798206.357605,0.06822382182812936,1.2333333333333332,6.964455655211238e-05,0.0798142023464647,1.2249512670565301,1767.4453125,220.449,28.904164916464197,0,0,0.045,3.0677620390056575,4.601643058508486,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,3476686072771922.5,1136459547141017.2,4256893430698.4575,159150082795862.97,1018313834962.4323,53082580628271.19,1.405880882757085e+27,8.43528529654251e+27,4.3019955012366803e+27,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.17,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.1,4.8866469811700375,9548101.602349047,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003276899118861381,0.0
J1,2.4398372217347452e+23,2.4398372217347452e+23,5313120.578156709,1804.4868356405025,45830798.61444924,3905942.6760662273,4.104727029672808e+22,4.0168025221631e+22,1.405880882757085e+23,79792491.80226341,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,923.2176629470007,1565.9191898447204,79.89383621656738,1.5,0.014941660594214812,0.006101060578662237,4.97,-0.115,0.799480152200161,8.4,6,6357303.838469488,3.25,1242.7930078132702,497.1172031253081,0.14877,0.051020408163265314,0,-0.255,7307.622885942028,0.4,1.2,120,1.4143161680541106e+28,0.06822382182812936,2.81176176551417e+26,57525586901.330505,34576798206.357605,0.06822382182812936,1.2333333333333332,6.964455655211238e-05,0.0798142023464647,1.2249512670565301,1767.4453125,220.449,28.904164916464197,0,0,0.045,3.0677620390056575,4.601643058508486,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,3476686072771922.5,1136459547141017.2,4256893430698.4575,159150082795862.97,1018313834962.4323,53082580628271.19,1.405880882757085e+27,8.43528529654251e+27,4.3019955012366803e+27,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.17,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.1,4.8866469811700375,9548101.602349047,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003276899118861381,0.0
J1,1.6144228264212423e+59,1.6144228264212423e+59,3.731164882221846e+17,208748.57949085048,9.759329319834836e+21,1.9993773554741166e+19,2.716068495840212e+58,2.6578894785430684e+58,9.30261317490074e+58,1.6981267049507948e+22,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,13472102926.609058,22850759194.748447,1165855060.9565532,1.5,0.01279495422799833,0.003954354212445754,4.97,-0.115,0.799480152200161,8.4,6,1.3537408779387643e+21,3.25,18135523170.435272,7254209268.174109,0.14877,0.0510204081632653,0,-0.255,106636876242.15941,0.4,1.2,120,9.358428853950144e+63,0.06822382182812936,1.860522634980148e+62,1.2249648670952634e+25,6.305030905572887e+24,0.06822382182812936,1.2333333333333332,4.7726093756325725e-12,0.0798058699288146,1.2249512670565301,1767.4453125,220.449,33.75363555392593,0,0,0.045,3.0677620390056575,4.601643058508486,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,1.43229299085463e+34,4.680696109792785e+33,9.06474001650495e+26,2.9020795524899037e+28,2.1684240677902113e+26,1.1303543314719293e+28,9.30261317490074e+62,5.581567904940444e+63,2.8465996315196265e+63,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.17,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.1,4.8866469811700375,2.0331976847789544e+21,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003276899118861381,0.0
J1,5.749874712976629e+148,5.749874712976629e+148,4.876198358255842e+44,30046788207.199703,6.457678358272208e+57,1.1852692804849679e+51,9.673459336277517e+147,9.466250880780004e+147,3.3131878082730015e+148,1.1236382862469121e+58,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.0958815381631966e+28,1.8587836858844993e+28,9.483590234104586e+26,1.5,0.012222275606950689,0.0033816755913981126,4.97,-0.115,0.799480152200161,8.4,6,8.957606494952795e+56,3.25,1.47522514752738e+28,5.900900590109521e+27,0.14877,0.05102040816326529,0,-0.255,8.674323867460996e+28,0.4,1.2,120,3.3330669351226397e+153,0.06822382182812936,6.626375616546003e+151,8.105504848379019e+60,3.985263050712625e+60,0.06822382182812936,1.2333333333333332,5.867156485252004e-30,0.0706794318702004,1.2249512670565301,1767.4453125,220.449,35.33517291128794,0,0,0.045,3.0677620390056575,4.601643058508486,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,5.283056237635074e+80,1.7264889665474095e+80,5.998073587800474e+62,1.834336831012849e+64,1.4348306851031048e+62,7.479473705933988e+63,3.3131878082730016e+152,1.987912684963801e+153,1.0138354693315385e+153,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.17,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.1,4.8866469811700375,1.3453523553510352e+57,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003276899118861381,0.0
J1,6.443079100760109e+148,6.443079100760109e+148,3.0107428993192943e+112,2.3617524418158363e+23,2.2999452738831298e+147,3.2071751442587045e+130,9.673459336277517e+147,9.466250880780004e+147,3.3131878082730015e+148,4.0019127968757676e+147,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,6.540096504743511e+72,1.1093009840738034e+73,5.659698898335731e+71,1.5,0.012129892875692452,0.003289292860139876,4.97,-0.115,0.799480152200161,8.4,6,3.190311375136947e+146,3.25,8.803976064077803e+72,3.5215904256311215e+72,0.14877,0.0510204081632653,0,-0.255,5.1767379256777485e+73,0.4,1.2,120,3.3330669351226397e+153,0.06822382182812936,6.626375616546003e+151,8.105504848379019e+60,3.985263050712625e+60,0.06822382182812936,1.2333333333333332,0.0,0.06745934894384116,1.2249512670565301,1767.4453125,220.449,35.60428986198817,0,0,0.045,3.0677620390056575,4.601643058508486,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,5.283056237635074e+80,1.7264889665474095e+80,5.998073587800474e+62,1.834336831012849e+64,1.4348306851031048e+62,7.479473705933988e+63,3.3131878082730016e+152,1.987912684963801e+153,1.0138354693315385e+153,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.17,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.1,4.8866469811700375,1.3453523553510352e+57,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003276899118861381,0.0
J1,6.526651760553509e+148,6.526651760553509e+148,3.281678467018053e+112,2.4007836500528336e+23,2.577226473057694e+147,3.5479018318694147e+130,9.673459336277517e+147,9.466250880780004e+147,3.3131878082730015e+148,4.484383050368474e+147,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,6.923117418700313e+72,1.1742672237103225e+73,5.991159304644502e+71,1.5,0.012129882946788476,0.0032892829312358993,4.97,-0.115,0.799480152200161,8.4,6,3.574935032874977e+146,3.25,9.319581140558114e+72,3.7278324562232454e+72,0.14877,0.0510204081632653,0,-0.255,5.479913710648171e+73,0.4,1.2,120,3.3330669351226397e+153,0.06822382182812936,6.626375616546003e+151,8.105504848379019e+60,3.985263050712625e+60,0.06822382182812936,1.2333333333333332,0.0,0.06689448275701106,1.2249512670565301,1767.4453125,220.449,35.60431900584527,0,0,0.045,3.0677620390056575,4.601643058508486,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,5.283056237635074e+80,1.7264889665474095e+80,5.998073587800474e+62,1.834336831012849e+64,1.4348306851031048e+62,7.479473705933988e+63,3.3131878082730016e+152,1.987912684963801e+153,1.0138354693315385e+153,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.17,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.1,4.8866469811700375,1.3453523553510352e+57,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003276899118861381,0.0
J1,6.536727273040202e+148,6.536727273040202e+148,3.313850710889499e+112,2.405243167099883e+23,2.6106554699511178e+147,3.5886913998512e+130,9.673459336277517e+147,9.466250880780004e+147,3.3131878082730015e+148,4.5425496215359026e+147,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,6.967872357174583e+72,1.1818583498130736e+73,6.029889539862619e+71,1.5,0.012129881823346091,0.0032892818077935163,4.97,-0.115,0.799480152200161,8.4,6,3.621305227096358e+146,3.25,9.37982817311963e+72,3.7519312692478525e+72,0.14877,0.0510204081632653,0,-0.255,5.5153389657943425e+73,0.4,1.2,120,3.3330669351226397e+153,0.06822382182812936,6.626375616546003e+151,8.105504848379019e+60,3.985263050712625e+60,0.06822382182812936,1.2333333333333332,0.0,0.06689442129067971,1.2249512670565301,1767.4453125,220.449,35.60432230343725,0,0,0.045,3.0677620390056575,4.601643058508486,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,5.283056237635074e+80,1.7264889665474095e+80,5.998073587800474e+62,1.834336831012849e+64,1.4348306851031048e+62,7.479473705933988e+63,3.3131878082730016e+152,1.987912684963801e+153,1.0138354693315385e+153,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.17,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.1,4.8866469811700375,1.3453523553510352e+57,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003276899118861381,0.0
J1,6.537941975936107e+148,6.537941975936107e+148,3.3177226106871458e+112,2.4057774993859247e+23,2.6146856668653956e+147,3.5936049860417443e+130,9.673459336277517e+147,9.466250880780004e+147,3.3131878082730015e+148,4.549562178220761e+147,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,6.9732486062627375e+72,1.1827702443699487e+73,6.034542063111984e+71,1.5,0.01212988168888624,0.0032892816733336642,4.97,-0.115,0.799480152200161,8.4,6,3.626895613618014e+146,3.25,9.38706543150753e+72,3.754826172603012e+72,0.14877,0.051020408163265314,0,-0.255,5.519594473726427e+73,0.4,1.2,120,3.3330669351226397e+153,0.06822382182812936,6.626375616546003e+151,8.105504848379019e+60,3.985263050712625e+60,0.06822382182812936,1.2333333333333332,0.0,0.06689441433583503,1.2249512670565301,1767.4453125,220.449,35.604322698111496,0,0,0.045,3.0677620390056575,4.601643058508486,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,5.283056237635074e+80,1.7264889665474095e+80,5.998073587800474e+62,1.834336831012849e+64,1.4348306851031048e+62,7.479473705933988e+63,3.3131878082730016e+152,1.987912684963801e+153,1.0138354693315385e+153,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.17,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.1,4.8866469811700375,1.3453523553510352e+57,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003276899118861381,0.0
J1,6.53808842041e+148,6.53808842041e+148,3.3181893085890394e+112,2.4058418708094686e+23,2.6151715470495847e+147,3.5941973097265214e+130,9.673459336277517e+147,9.466250880780004e+147,3.3131878082730015e+148,4.550407611435601e+147,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,6.973896486421217e+72,1.1828801348122143e+73,6.035102728633744e+71,1.5,0.01212988167268991,0.0032892816571373344,4.97,-0.115,0.799480152200161,8.4,6,3.627569590123531e+146,3.25,9.387937577874715e+72,3.7551750311498865e+72,0.14877,0.05102040816326529,0,-0.255,5.520107295790333e+73,0.4,1.2,120,3.3330669351226397e+153,0.06822382182812936,6.626375616546003e+151,8.105504848379019e+60,3.985263050712625e+60,0.06822382182812936,1.2333333333333332,0.0,0.06689441350344028,1.2249512670565301,1767.4453125,220.449,35.60432274565189,0,0,0.045,3.0677620390056575,4.601643058508486,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,5.283056237635074e+80,1.7264889665474095e+80,5.998073587800474e+62,1.834336831012849e+64,1.4348306851031048e+62,7.479473705933988e+63,3.3131878082730016e+152,1.987912684963801e+153,1.0138354693315385e+153,243.5386415938744,0.0,-44414.17200228855,107101.53450482027,-30.47318162041251,15557.50040923899,0.0,0.0,-6504.521187161524,24550.864965631103,0.0,578.3028458404551,0.17,4.9642701127511575e-05,0.0002190119167390216,0.0,0.00026865461786653317,0.2179052380944594,0.00724019802976017,66241363.70168735,241795491.1286847,8400622.559570273,55410969.88841483,2481784.252433136,0.1,0.1,4.8866469811700375,1.3453523553510352e+57,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]",0.003276899118861381,0.0
