name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,powertrain_weight,nacelle_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,cm,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep_le2,sweep1_1/4,sweep2_1/4,sweep_m,taper1,taper2,StotS,mission_energy,power_hover,power_climb,power_cruise,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,depda,depsda,cl_alpha1,cl_alpha2,alpha,diskarea,rotor_direction,cd_upsweep,cd_base
W1,4041.401758864709,3531.401758864709,384.2135747294489,419.4786799787136,273.7154856271812,164.1842503974401,247.67563366013584,253.0970498217637,1077.5570255501918,390.443535566678,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1518669356383842,2.2095909005755545,0.09968079250716787,1.1227010134252635,2.266992430954859,0.09715681846949398,1.5,0.02487598947528395,0.0166404032281365,5.15,-2.56,0.7393832007670513,10.31142420268592,10.579298011122674,9.5,10,11.192154640814417,11.192154640814417,22.384309281628834,0.5,0.5,1.5505901056670557,1.5113282873032392,0.6202360422668223,0.6045313149212957,0.045112781954887216,0.042857142857142864,0,0,-0.36837,0.4,0.4,1.2,1346235699.3242192,1733729.435620951,220543.80931289404,221160.94778669684,0.012368529427693599,0.06714538349693482,1.2249512670565301,1767.4453125,221.6754,17.36116757768043,0,1,0.045,3.144639203878076,4.716958805817114,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26526060.36500055,9771366.224669226,16320241.889154159,1017959584.9621652,3854164.5134862317,203371229.38039845,6943208.369631003,40721750.74153261,20768092.878181633,251.54064745479744,0.0,-37444.66898412065,89722.381211106,-460.3227714160226,237294.25570475654,0.0,0.0,-8333.23359340751,25419.05129845551,0.0,0.0,0.17,2.8965469004273533e-05,0.0001277888338423832,0.0,0.00015675430284665677,0.15165736203658672,0.006044130451421159,315440150.0838767,291497901.87472725,12609074.916403227,82162097.54125214,3554244.095318804,0.1,0.1,5.0173225162565,5.068327251219567,4.789408521177055,12.607211214254207,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",0.003276899118861381,0.0
W1,4022.7994756902717,3512.7994756902717,384.7249131864841,420.03695171893133,273.90594120301535,164.46801664063352,247.99574928592546,253.42417251563504,1057.874489520125,391.02383473858754,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1528792470265714,2.211532786363471,0.09976839637729945,1.1236876925166202,2.268984763735483,0.09724220416009215,1.5,0.022879172993514406,0.014643955956274763,5.15,-2.56,0.7394163495720134,10.320486336362864,10.58859556409892,9.5,10,11.211835602005534,11.211835602005534,22.423671204011068,0.5,0.5,1.5519528325357692,1.5126565091569888,0.6207811330143077,0.6050626036627955,0.04511278195488722,0.042857142857142864,0,0,-0.36837,0.4,0.4,1.2,1266730446.0154963,1735970.2450014781,220931.62687719034,203765.858752703,0.01235766896400924,0.06719109662983357,1.2249512670565301,1767.4453125,221.6754,18.876391295412816,0,1,0.045,3.144639203878076,4.716958805817114,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26560344.748522617,9784509.359393341,16348940.388912085,937893471.1629848,3860941.9093182627,203728849.64220488,6955417.72688615,40793358.329320565,20804612.74795349,251.54064745479744,0.0,-37444.66898412065,89722.381211106,-460.3227714160226,237294.25570475654,0.0,0.0,-8333.23359340751,25419.05129845551,0.0,0.0,0.17,2.8965469004273533e-05,0.0001277888338423832,0.0,0.00015675430284665677,0.15165736203658672,0.006044130451421159,315440150.0838767,291497901.87472725,12609074.916403227,82162097.54125214,3554244.095318804,0.1,0.1,5.0173225162565,5.068327251219567,4.789408521177055,12.629380496452216,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",0.003276899118861381,0.0
W1,4004.3252312587483,3494.3252312587483,383.38362007918516,418.5725478063145,273.406233535273,163.72392680552937,246.08414387632564,251.47072363395398,1050.5160926163448,389.50201279139014,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1502228763813385,2.206437152289202,0.09953851814838506,1.1210985826783528,2.263756753485136,0.09701814657793438,1.5,0.022914237258274246,0.014678050062183957,5.15,-2.56,0.7393292520718268,10.296706710682942,10.564198182930634,9.5,10,11.160228324823489,11.160228324823489,22.320456649646978,0.5,0.5,1.5483769489748787,1.5091711689900904,0.6193507795899516,0.6036684675960362,0.04511278195488722,0.04285714285714285,0,0,-0.36837,0.4,0.4,1.2,1262221130.0625474,1722589.0071342795,219914.6944041088,203138.79002773343,0.012386208258222186,0.07172683024861132,1.2249512670565301,1767.4453125,221.6754,18.84750590094682,0,1,0.045,3.144639203878076,4.716958805817114,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26355611.809154477,9712518.50769194,16273687.385904051,935007199.3080258,3843170.2699212027,202791100.32205036,6923402.436679421,40605589.41928488,20708850.603835292,251.54064745479744,0.0,-37444.66898412065,89722.381211106,-460.3227714160226,237294.25570475654,0.0,0.0,-8333.23359340751,25419.05129845551,0.0,0.0,0.17,2.8965469004273533e-05,0.0001277888338423832,0.0,0.00015675430284665677,0.15165736203658672,0.006044130451421159,315440150.0838767,291497901.87472725,12609074.916403227,82162097.54125214,3554244.095318804,0.1,0.1,5.0173225162565,5.068327251219567,4.789408521177055,12.5712483615321,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",0.003276899118861381,0.0
W1,3990.664170630097,3480.664170630097,382.0500665478137,417.11659384785645,272.9090133479325,162.98495850987328,244.95530323630734,250.31717359963935,1045.9169122797712,387.9901337490759,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.147578703915362,2.2013649176068726,0.09930969553113712,1.118521362154545,2.25855275050437,0.0967951178787587,1.5,0.02294938511769088,0.014712227940151082,5.15,-2.56,0.7392421910088732,10.273036282165403,10.539912835687058,9.5,10,11.108976258388081,11.108976258388081,22.217952516776162,0.5,0.5,1.5448174860399104,1.5057018336695798,0.6179269944159642,0.602280733467832,0.04511278195488722,0.04285714285714285,0,0,-0.36837,0.4,0.4,1.2,1257852314.7250347,1714687.1226541514,218904.7614350268,202516.05954858632,0.012414747713270013,0.07164000856541011,1.2249512670565301,1767.4453125,221.6754,18.818640226142747,0,1,0.045,3.144639203878076,4.716958805817114,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26234712.97660852,9667959.420445891,16198952.346191984,932140895.5304382,3825520.9519804157,201859805.49154073,6891607.506386238,40419112.91486274,20613747.586579997,251.54064745479744,0.0,-37444.66898412065,89722.381211106,-460.3227714160226,237294.25570475654,0.0,0.0,-8333.23359340751,25419.05129845551,0.0,0.0,0.17,2.8965469004273533e-05,0.0001277888338423832,0.0,0.00015675430284665677,0.15165736203658672,0.006044130451421159,315440150.0838767,291497901.87472725,12609074.916403227,82162097.54125214,3554244.095318804,0.1,0.1,5.0173225162565,5.068327251219567,4.789408521177055,12.513516347683588,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",0.003276899118861381,0.0
W1,3981.418751432073,3471.418751432073,381.06298855400763,416.0389167403535,272.5407222401031,162.43851718032244,244.26160754634355,249.60829348087555,1043.0123739751605,386.8718088574452,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1456195054059708,2.1976066473893385,0.09914014950628594,1.116611771659376,2.254696846619894,0.09662986485513832,1.5,0.02297558668387136,0.014737708029628052,5.15,-2.56,0.739177447882463,10.255497687816913,10.521918617559503,9.5,10,11.07107713945453,11.07107713945453,22.14215427890906,0.5,0.5,1.5421801034311147,1.5031312310799292,0.6168720413724459,0.6012524924319718,0.045112781954887216,0.042857142857142864,0,0,-0.36837,0.4,0.4,1.2,1254641837.0308425,1709831.252824405,218157.9511623447,202055.58659359056,0.012435978981679403,0.07155319547119127,1.2249512670565301,1767.4453125,221.6754,18.797179279177765,0,1,0.045,3.144639203878076,4.716958805817114,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26160418.168213397,9639946.019933749,16143688.386013508,930021430.6662983,3812469.895774189,201171145.384769,6868096.262284817,40281220.03149356,20543422.216061715,251.54064745479744,0.0,-37444.66898412065,89722.381211106,-460.3227714160226,237294.25570475654,0.0,0.0,-8333.23359340751,25419.05129845551,0.0,0.0,0.17,2.8965469004273533e-05,0.0001277888338423832,0.0,0.00015675430284665677,0.15165736203658672,0.006044130451421159,315440150.0838767,291497901.87472725,12609074.916403227,82162097.54125214,3554244.095318804,0.1,0.1,5.0173225162565,5.068327251219567,4.789408521177055,12.470825533219053,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",0.003276899118861381,0.0
W1,3975.372532019919,3465.372532019919,380.39449623349736,415.3090667438222,272.2911754307669,162.06870115386928,243.82697906872195,249.16415134291492,1041.1693035952096,386.11479190385165,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1442916720099165,2.1950595054420994,0.09902524084701202,1.1153175597558247,2.2520835341223386,0.09651786574810024,1.5,0.022993421999820334,0.014755053022810998,5.15,-2.56,0.7391334542798651,10.243611025396463,10.509723159237579,9.5,10,11.045428088381472,11.045428088381472,22.090856176762944,0.5,0.5,1.5403926353979647,1.5013890227482258,0.6161570541591859,0.6005556090992904,0.04511278195488722,0.042857142857142864,0,0,-0.36837,0.4,0.4,1.2,1252474061.0551429,1706788.8534810536,217652.53110602364,201743.95869330643,0.012450409662779702,0.07148861910507179,1.2249512670565301,1767.4453125,221.6754,18.782598864335807,0,1,0.045,3.144639203878076,4.716958805817114,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26113869.458260123,9622206.922935385,16106287.30184575,928587069.8028162,3803637.3103049044,200705079.71496958,6852184.517692391,40187898.03067477,20495827.995644134,251.54064745479744,0.0,-37444.66898412065,89722.381211106,-460.3227714160226,237294.25570475654,0.0,0.0,-8333.23359340751,25419.05129845551,0.0,0.0,0.17,2.8965469004273533e-05,0.0001277888338423832,0.0,0.00015675430284665677,0.15165736203658672,0.006044130451421159,315440150.0838767,291497901.87472725,12609074.916403227,82162097.54125214,3554244.095318804,0.1,0.1,5.0173225162565,5.068327251219567,4.789408521177055,12.441933598225228,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",0.003276899118861381,0.0
W1,3971.475481859222,3461.475481859222,379.95711884702985,414.8315446030256,272.12784900565424,161.82685286228028,243.5522085667881,248.88336634041067,1039.997299118181,385.6196532559225,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1434224759235379,2.193392153334094,0.09895002195492154,1.1144703722059002,2.2503728669542213,0.09644455144089518,1.5,0.023005130974797873,0.014766440442511124,5.15,-2.56,0.7391046059741778,10.235830048892439,10.501740045786367,9.5,10,11.028654398927303,11.028654398927303,22.057308797854606,0.5,0.5,1.539222563743224,1.500248577969481,0.6156890254972897,0.6000994311877924,0.04511278195488722,0.04285714285714285,0,0,-0.36837,0.4,0.4,1.2,1251057761.638133,1704865.4599675166,217322.001955277,201540.16681514744,0.012459874097475161,0.07144473036405025,1.2249512670565301,1767.4453125,221.6754,18.773039041339945,0,1,0.045,3.144639203878076,4.716958805817114,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26084441.537503004,9610937.30961397,16081828.144690497,927649056.5695329,3797861.0714367684,200400287.12095922,6841778.726783905,40126868.316299886,20464702.841312945,251.54064745479744,0.0,-37444.66898412065,89722.381211106,-460.3227714160226,237294.25570475654,0.0,0.0,-8333.23359340751,25419.05129845551,0.0,0.0,0.17,2.8965469004273533e-05,0.0001277888338423832,0.0,0.00015675430284665677,0.15165736203658672,0.006044130451421159,315440150.0838767,291497901.87472725,12609074.916403227,82162097.54125214,3554244.095318804,0.1,0.1,5.0173225162565,5.068327251219567,4.789408521177055,12.423039162562247,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",0.003276899118861381,0.0
W1,3968.9796957781177,3458.9796957781177,379.6751245186453,414.5236673794904,272.0225232266438,161.67097116838957,243.37778475407245,248.70512453371936,1039.2513162357911,385.30048434517323,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1428618910614732,2.192316800641961,0.09890150980339674,1.1139239816695647,2.249269578371236,0.09639726764448157,1.5,0.02301269696437863,0.01477379879741059,5.15,-2.56,0.739085979242036,10.23081173632915,10.496591365732435,9.5,10,11.01784302991687,11.01784302991687,22.03568605983374,0.5,0.5,1.5384679302750601,1.4995130522474909,0.6153871721100241,0.5998052208989963,0.045112781954887216,0.042857142857142864,0,0,-0.36837,0.4,0.4,1.2,1250145282.0207338,1703644.4932785071,217108.9616085369,201408.8154684699,0.012465985786785046,0.07141594714775897,1.2249512670565301,1767.4453125,221.6754,18.76686694347563,0,1,0.045,3.144639203878076,4.716958805817114,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26065760.74716116,9603767.27443522,16066063.15903173,927044472.6061965,3794138.0354245394,200203835.09920835,6835071.7440616805,40087532.02332087,20444641.331893645,251.54064745479744,0.0,-37444.66898412065,89722.381211106,-460.3227714160226,237294.25570475654,0.0,0.0,-8333.23359340751,25419.05129845551,0.0,0.0,0.17,2.8965469004273533e-05,0.0001277888338423832,0.0,0.00015675430284665677,0.15165736203658672,0.006044130451421159,315440150.0838767,291497901.87472725,12609074.916403227,82162097.54125214,3554244.095318804,0.1,0.1,5.0173225162565,5.068327251219567,4.789408521177055,12.410860880810068,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",0.003276899118861381,0.0
W1,3967.3859227469284,3457.3859227469284,379.4944916980046,414.3264551461211,271.9550468740099,161.57113992530347,243.2668532252975,248.59176480490697,1038.7762933976678,385.0960665168052,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1425027314649248,2.1916278358389665,0.09887042868446465,1.1135739161971123,2.2485627153980157,0.09636697351705778,1.5,0.02301755031581805,0.01477851901726604,5.15,-2.56,0.7390740366138868,10.22759656724851,10.493292671857406,9.5,10,11.01091910972563,11.01091910972563,22.02183821945126,0.5,0.5,1.5379844462027834,1.4990418102653433,0.6151937784811135,0.5996167241061373,0.045112781954887216,0.042857142857142844,0,0,-0.36837,0.4,0.4,1.2,1249561015.7425976,1702867.9725770825,216972.52427512247,201324.6947401558,0.012469904620677041,0.07139736090850823,1.2249512670565301,1767.4453125,221.6754,18.76290986726883,0,1,0.045,3.144639203878076,4.716958805817114,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26053879.980429363,9599202.484261025,16055966.796359062,926657281.7276156,3791753.693146244,200078021.41930357,6830776.394134407,40062339.898906,20431793.348442063,251.54064745479744,0.0,-37444.66898412065,89722.381211106,-460.3227714160226,237294.25570475654,0.0,0.0,-8333.23359340751,25419.05129845551,0.0,0.0,0.17,2.8965469004273533e-05,0.0001277888338423832,0.0,0.00015675430284665677,0.15165736203658672,0.006044130451421159,315440150.0838767,291497901.87472725,12609074.916403227,82162097.54125214,3554244.095318804,0.1,0.1,5.0173225162565,5.068327251219567,4.789408521177055,12.403061549306617,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",0.003276899118861381,0.0
W1,3966.369500633772,3456.369500633772,379.37912774087596,414.20050248948337,271.91194820100037,161.50738913187394,243.1962415434505,248.51960749134997,1038.4737518135285,384.9655230736843,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1422733182383884,2.1911877595053704,0.09885057561678362,1.1133503118432093,2.2481112066064806,0.09634762314027775,1.5,0.02302065281689506,0.01478153643851852,5.15,-2.56,0.7390664046923965,10.225542877691726,10.491185630830241,9.5,10,11.006497594053892,11.006497594053892,22.012995188107784,0.5,0.5,1.5376756207055227,1.4987408044043202,0.6150702482822091,0.5994963217617281,0.045112781954887216,0.042857142857142864,0,0,-0.36837,0.4,0.4,1.2,1249187945.1053805,1702373.6908041534,216885.39735984325,201270.97668290552,0.012472409065986192,0.07138544361239937,1.2249512670565301,1767.4453125,221.6754,18.760381183632706,0,1,0.045,3.144639203878076,4.716958805817114,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26046317.46930355,9596295.440819982,16049519.4046284,926410028.2599002,3790231.086521808,199997678.61608613,6828033.445559828,40046252.571232036,20423588.81132834,251.54064745479744,0.0,-37444.66898412065,89722.381211106,-460.3227714160226,237294.25570475654,0.0,0.0,-8333.23359340751,25419.05129845551,0.0,0.0,0.17,2.8965469004273533e-05,0.0001277888338423832,0.0,0.00015675430284665677,0.15165736203658672,0.006044130451421159,315440150.0838767,291497901.87472725,12609074.916403227,82162097.54125214,3554244.095318804,0.1,0.1,5.0173225162565,5.068327251219567,4.789408521177055,12.398081008584152,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",0.003276899118861381,0.0
