name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,powertrain_weight,nacelle_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,cm,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep_le2,sweep1_1/4,sweep2_1/4,sweep_m,taper1,taper2,StotS,mission_energy,power_hover,power_climb,power_cruise,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,depda,depsda,cl_alpha1,cl_alpha2,alpha,diskarea,rotor_direction
W1,3164.6409543486416,2689.6409543486416,310.87281197422857,339.406323423234,249.17269666408325,129.38970364455966,158.6616931358115,162.13466726203526,776.2345218651168,319.2557223478774,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,0.9943246206146696,1.9073823251214093,0.08937633648483172,0.969147758911138,1.956932974724413,0.0872840518926623,1.5,0.0284297956260377,0.0192311512134348,5.15,-2.56,0.7334880744125736,8.901117517233242,9.13235388204726,9.5,10,8.339988742694368,8.339988742694368,16.679977485388736,0.5,0.5,1.3385139123659016,1.3046219831496089,0.5354055649463606,0.5218487932598436,0.04685811297907603,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1130053774.4110258,1110701.6177713536,176393.51410372037,188356.60672534938,0.013964980969866736,0.0618796461934698,1.2249512670565301,1767.4453125,221.6754,15.990496568861843,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19605497.308376215,7288992.834693836,13053120.043675307,866967767.7089058,3449806.468280151,163680441.65421098,5693365.107841099,33321048.533140607,16993734.751901712,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015,9.889502982339504,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
W1,3222.342506517744,2712.342506517744,321.09657009256154,350.5684708380407,249.17861074310323,129.39765477480452,158.67165968162195,162.14485196734623,775.4357929863285,319.2723039323245,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.020187576407887,1.9569944374362829,0.09170106644881267,0.9943558500376753,2.0078339279606907,0.08955436032991825,1.5,0.02701048593061889,0.018720913676077127,5.15,-2.56,0.7345679526796758,9.132640708035986,9.369891663816556,9.5,10,8.779486979165899,8.779486979165899,17.558973958331798,0.5,0.5,1.3733294297798477,1.3385559519737937,0.5493317719119392,0.5354223807895175,0.04685811297907602,0.04460247388133165,0.1,0.1,-0.36837,0.4,0.4,1.2,1125262543.04604,1110701.6177713536,173001.67522143037,188371.81069932933,0.013964980969866736,0.0618796461934698,1.2249512670565301,1767.4453125,221.6754,15.989205934701365,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19605497.308376215,7272033.640282386,12802123.966385847,867037748.5585871,3023330.9177412684,159530949.81112996,5676075.558494927,33321048.533140607,16993734.751901712,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015,9.889502982339504,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
W1,3262.2401414009682,2752.2401414009682,325.51877267352916,355.3965659998762,250.8886971816771,131.70571223399648,161.56475282582085,165.10127254386967,788.4087986411882,323.45192008274046,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.0294462088103644,1.974754987092959,0.09253329229119567,1.003380048631789,2.026055867429574,0.09036710390914633,1.5,0.026833043414947202,0.018547697888579642,5.15,-2.56,0.734942688899376,9.215523273100475,9.45492738133801,9.5,10,8.939565178637524,8.939565178637524,17.87913035727505,0.5,0.5,1.3857929733985677,1.350703911619716,0.5543171893594271,0.5402815646478863,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1139979920.3587954,1130953.269780746,176156.05049879447,190546.3808631491,0.013839382736368934,0.06285545011858604,1.2249512670565301,1767.4453125,221.6754,16.094939931429657,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19962968.390264977,7404626.131665533,13035547.73691079,877046859.8577846,3078455.9348256825,162439710.56974432,5779568.616531799,33928598.093422376,17303585.027645413,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015,10.06982033286795,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
W1,3290.2676608870975,2780.2676608870975,328.5652424704139,358.72265652099355,252.06349779193098,133.30161442959897,163.56517689781344,167.14548425550103,797.3791014123921,326.77328157326275,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.0357996790858366,1.986942653631004,0.09310438334678668,1.0095726454468772,2.0385601494600407,0.09092482582181503,1.5,0.026714043033144258,0.018431556237051325,5.15,-2.56,0.7351963570266664,9.272399050278018,9.51328069748019,9.5,10,9.050250962904915,9.050250962904915,18.10050192580983,0.5,0.5,1.3943457218463184,1.3590400996400271,0.5577382887385274,0.5436160398560109,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1150156927.3230634,1144956.238284694,178337.13763371448,192050.1361939989,0.013754493632209326,0.06319403705057383,1.2249512670565301,1767.4453125,221.6754,16.166636454286913,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",20210141.129478496,7496306.97231187,13196948.184894871,883968344.7211651,3116572.029140095,164450967.9856582,5851128.706118339,34348687.148540825,17517830.44575582,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015,10.194500441878025,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
W1,3309.937943775431,2799.937943775431,330.6999297399294,361.05327640763943,252.8851194666232,134.42271296128192,164.97044627837684,168.58151382841214,803.6806736257676,329.10445839690664,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.0402396967065535,1.995459802816898,0.09350348088559897,1.0139002393105228,2.0472985601462477,0.09131458055621093,1.5,0.02663218205167751,0.018351673236676053,5.15,-2.56,0.735371974796686,9.312145746478857,9.554059947349154,9.5,10,9.128006147754133,9.128006147754133,18.256012295508267,0.5,0.5,1.4003226686434374,1.3648657067641652,0.560129067457375,0.5459462827056661,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1157306440.2929134,1154793.1239486379,179869.32023937113,193106.57037450426,0.013695785822572377,0.06342319573318045,1.2249512670565301,1767.4453125,221.6754,16.21632884241328,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",20383776.45360292,7560711.455315458,13310329.697713463,888830899.8453377,3143348.0417849324,165863847.63582137,5901398.6484642,34643793.71845914,17668334.79641416,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015,10.28208644027218,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
W1,3323.7338643872663,2813.7338643872663,332.1954578031066,362.68607175656587,253.4599717290122,135.20952269929,165.95669289444552,169.58934857273024,808.103273702864,330.73953755768196,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.0433445076914711,2.00141566619662,0.09378256140473393,1.0169264347254723,2.053409147041819,0.09158712784862023,1.5,0.026575562496909295,0.018296427289524762,5.15,-2.56,0.7354939818083546,9.339939775584226,9.582576019528489,9.5,10,9.182576317004244,9.182576317004244,18.36515263400849,0.5,0.5,1.404502221892365,1.3689394313612127,0.561800888756946,0.5475757725444851,0.04685811297907603,0.04460247388133165,0.1,0.1,-0.36837,0.4,0.4,1.2,1162324256.1517718,1161696.8502611187,180944.63713656447,193848.02827871332,0.013655029556587822,0.06358182023015997,1.2249512670565301,1767.4453125,221.6754,16.25087792558468,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",20505637.25354368,7605911.830631737,13389903.14810577,892243682.2013056,3162139.991732776,166855435.2937885,5936679.115835302,34850905.50783356,17773961.808995117,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015,10.343556074298222,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
W1,3333.405317296802,2823.405317296802,333.24307059897757,363.8298398627559,253.86228243053517,135.76135841735268,166.64840536732746,170.29620206341946,811.2051153235948,331.88583256949346,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.045516592315041,2.0055823092966407,0.0939778024378582,1.019043520938018,2.057684032663305,0.09177779832289827,1.5,0.02653625370003935,0.01825807481761245,5.15,-2.56,0.7355789487148426,9.35938411005099,9.60252548576209,9.5,10,9.220849570471048,9.220849570471048,18.441699140942095,0.5,0.5,1.407426181962555,1.3717893551088702,0.5629704727850221,0.5487157420435481,0.04685811297907603,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1165843610.5071206,1166538.8375712922,181698.819810523,194368.07053204294,0.013626660920497044,0.06369200724781889,1.2249512670565301,1767.4453125,221.6754,16.274950745605018,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",20591105.3645628,7637613.499236535,13445712.665978704,894637332.6249455,3175319.886048165,167550893.75194338,5961423.372425981,34996165.12713876,17848044.21484077,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015,10.386668326210208,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
W1,3340.1831980047177,2830.1831980047177,333.976856060336,364.630975941654,254.14389390278,136.14821575809904,167.1333215100513,170.79173262216136,813.3796278597415,332.68919271310165,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.0470366176560517,2.008498127138292,0.09411443215970865,1.020525058377791,2.060675598647463,0.09191122956657091,1.5,0.02650889170498245,0.01823137980472162,5.15,-2.56,0.7356382199120866,9.372991259978695,9.616486127021494,9.5,10,9.247680543119683,9.247680543119683,18.495361086239367,0.5,0.5,1.409472369921608,1.3737837324316418,0.5637889479686432,0.5495134929726567,0.04685811297907601,0.04460247388133164,0.1,0.1,-0.36837,0.4,0.4,1.2,1168310840.0955176,1169933.2505703592,182227.5298851606,194732.64630135265,0.01360687854654446,0.0637687349568044,1.2249512670565301,1767.4453125,221.6754,16.291749453254074,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",20651021.68578889,7659837.546742433,13484837.211501883,896315401.9338712,3184559.4816366304,168038435.96951836,5978770.015620849,35097997.51711077,17899978.733726498,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015,10.416891616552507,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
W1,3344.9321651490372,2834.9321651490372,334.490794183192,365.1920859584414,254.3410439503146,136.4193304428405,167.47315708589164,171.1390069195906,814.9035577090172,333.25208297710924,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.0481005575041091,2.010539050212209,0.0942100659636879,1.0215620586672174,2.062769541539573,0.0920046245997253,1.5,0.026489810938326107,0.01821276479189817,5.15,-2.56,0.7356796146698884,9.382515567656975,9.626257860518008,9.5,10,9.266484039718474,9.266484039718474,18.532968079436948,0.5,0.5,1.410904596640147,1.3751796943597157,0.5643618386560588,0.5500718777438863,0.04685811297907603,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1170039921.8894281,1172312.0996012415,182598.0568213393,194988.14903377584,0.013593066035722197,0.06382225469586389,1.2249512670565301,1767.4453125,221.6754,16.30348449622833,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",20693011.8274487,7675412.449939605,13512256.204779107,897491429.881197,3191034.7110849647,168380111.9329652,5990926.770077219,35169362.98803724,17936375.123898998,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015,10.438072493764743,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
W1,3348.259041377405,2838.259041377405,334.8507373576778,365.5850665755552,254.47907716056773,136.6092887477537,167.7112651396749,171.3823269630715,815.9713107359436,333.64641948103286,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.0488453710214052,2.0119678030650996,0.0942770146262878,1.0222880130850491,2.0642354110371186,0.09207000600570302,1.5,0.02647648815633441,0.018199767524781925,5.15,-2.56,0.735708548189431,9.389183080970463,9.633098584839885,9.5,10,9.27965883452442,9.27965883452442,18.55931766904884,0.5,0.5,1.4119072302211222,1.3761569406914123,0.5647628920884489,0.5504627762765649,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1171251421.7710083,1173978.8559777243,182857.66898063014,195167.17029270818,0.01358341323121485,0.06385963064411197,1.2249512670565301,1767.4453125,221.6754,16.311688294570683,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",20722432.49914846,7686325.109330751,13531467.50456663,898315428.911161,3195571.6236137087,168619509.46655083,5999444.480845934,35219365.67933173,17961876.496459182,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015,10.452913016090742,"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
