name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,cm,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep1_1/4,sweep2_1/4,sweep_le2,sweep_m,taper1,taper2,StotS,mission_energy,WP_hover,power_hover,power_climb,power_cruise,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress
L1,3221.32102490338,2746.32102490338,110.82159429295139,411.9757180879581,250.88802351425556,131.7047994978094,226.07262720792025,221.2300824381974,1069.5481603340634,324.0800195302247,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9707166702223269,1.136858561856533,0.08598852174890118,1.1517498931791177,2.395418287448492,0.10385146168580132,1.5,0.029669487529903036,0.019205407077139098,5.17,0.548,0.780952380952381,5.305339955330487,11.17861867475963,5.8,10.3,4.852867593383809,12.132185968513081,16.98505356189689,0.285714,0.714286,1.30673397914544,1.550432548510351,0.522693591658176,0.6201730194041404,0.07563695663995235,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1508069184.802824,0.007977852922423728,1548610.5770673817,218153.5863640224,255099.02169200385,0.04855620541069383,1.2237037037037035,1860.46875,251.9211,15.32235934150916,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",27335226.684316937,10023848.54760996,16143365.390937658,1174169747.618828,3123898.3014677507,199251341.70743936,7869697.4110720875,46458317.31202145,23693741.82913094,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918
L1,3220.6001023768,2745.6001023768,110.79559347355017,411.8790608767708,250.85853806084407,131.6648530513431,226.0025626497689,221.16151868429552,1069.2411359547375,323.99683962549,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.97056623603246,1.1366823802764772,0.08597519591036974,1.1515714038552758,2.3950470639797716,0.10383536758647814,1.5,0.029672562466976974,0.019208482014213036,5.17,0.548,0.780952380952381,5.30451777462356,11.176886298572267,5.8,10.3,4.851363589878842,12.128425954486646,16.979789544365488,0.285714,0.714286,1.3065314715821577,1.5501922744205638,0.5226125886328631,0.6200769097682256,0.07563695663995236,0.1,0.1,0.04335420758452166,-0.209,0.4,0.4,1.2,1507723456.034363,0.007979089460226822,1548130.6307900685,218085.97607954644,255046.3914517905,0.04855021576273385,1.2237037037037035,1860.46875,251.9211,15.32077150119871,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",27326754.93520136,10020741.950724974,16138362.229886437,1173927501.1552448,3122930.1411163406,199189589.61745736,7867258.429941545,46443918.923702054,23686398.65108805,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918
L1,3220.079667970326,2745.079667970326,110.776822587792,411.80928071173435,250.83725045363033,131.63601620809675,225.95198391600732,221.11202336246959,1069.0194989908246,323.9367917397716,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9704576249673166,1.1365551800097997,0.08596557486931446,1.1514425374347086,2.3947790466069954,0.10382374790566257,1.5,0.029674783426107732,0.019210702973343794,5.17,0.548,0.780952380952381,5.303924173379065,11.175635550832643,5.8,10.3,4.850277868440482,12.125711647090721,16.975989515531204,0.285714,0.714286,1.30638526437908,1.550018800392877,0.5225541057516321,0.6200075201571509,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1507473879.3292108,0.007979982458934705,1547784.1635372872,218037.16905544937,255008.39846497172,0.04854588969969896,1.2237037037037035,1860.46875,251.9211,15.319624843888114,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",27320639.284802403,10018499.337042738,16134750.510103254,1173752627.0398977,3122231.238191028,199145011.55115926,7865497.75977526,46433524.90611862,23681097.702120494,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918
L1,3219.7039611614473,2744.7039611614473,110.76327123945073,411.75890400943575,250.82188165302776,131.6151988735758,225.91547109761856,221.0762926598102,1068.8594991954787,323.89344243305004,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9703792110184429,1.136463345211984,0.08595862876469405,1.1513494997234903,2.3945855460595284,0.10381535884275997,1.5,0.02967638736379003,0.019212306911026093,5.17,0.548,0.780952380952381,5.303495610989259,11.174732548277799,5.8,10.3,4.849494085479713,12.123752186945554,16.973246272425268,0.285714,0.714286,1.3062797071402117,1.549893557320083,0.5225118828560847,0.6199574229280332,0.07563695663995236,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1507293710.0662665,0.007980627301620372,1547534.0486186715,218001.9352353353,254980.97137244086,0.04854276555940491,1.2237037037037035,1860.46875,251.9211,15.31879685484536,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",27316224.393093195,10016880.392873798,16132143.207414811,1173626385.6215603,3121726.6997479843,199112830.6182293,7864226.730920979,46426021.45856015,23677270.943865675,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918
L1,3219.4327321016394,2744.4327321016394,110.75348805461057,411.72253533394934,250.8107861030239,131.60017063135172,225.88911212843942,221.050498307807,1068.743993773814,323.8621477686431,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9703225992651032,1.1363970441393227,0.08595361395333598,1.1512823301951802,2.39444584635786,0.10380930227289435,1.5,0.02967754558884153,0.019213465136077593,5.17,0.548,0.780952380952381,5.303186205983506,11.17408061633668,5.8,10.3,4.848928264712713,12.12233763304768,16.971265897760393,0.285714,0.714286,1.3062034990107159,1.549803136801204,0.5224813996042864,0.6199212547204817,0.07563695663995236,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1507163644.2335656,0.007981092917184348,1547353.488154649,217976.49958781656,254961.17151496053,0.048540509610189984,1.2237037037037035,1860.46875,251.9211,15.318199008429017,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",27313037.238564245,10015711.660868574,16130260.969498426,1173535250.8398337,3121362.4683942655,199089598.88053584,7863309.162464905,46420604.64463947,23674508.368766133,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918
L1,3219.236925954247,2744.236925954247,110.74642523662851,411.69627953490186,250.80277569550088,131.58932149071154,225.87008314557562,221.031876931572,1068.6606084856178,323.839555433739,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9702817282359177,1.1363491778762957,0.0859499934948749,1.1512338369479302,2.394344989729205,0.10380492971367937,1.5,0.029678381901131343,0.019214301448367405,5.17,0.548,0.780952380952381,5.30296283008938,11.173609952069622,5.8,10.3,4.848519789191306,12.121316442814495,16.9698362320058,0.285714,0.714286,1.3061484803175816,1.549737857429906,0.5224593921270326,0.6198951429719625,0.07563695663995236,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1507069747.6074889,0.007981429103543483,1547223.138521004,217958.13716637762,254946.87768344147,0.04853888068918219,1.2237037037037035,1860.46875,251.9211,15.317767354232666,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",27310736.378143504,10014867.933591202,16128902.150311943,1173469459.1937666,3121099.523658401,199072827.49864072,7862646.754374955,46416694.15563012,23672514.01937136,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918
L1,3219.095568551422,2744.095568551422,110.7413263451043,411.6773245693959,250.7969926293403,131.5814892605192,225.8563457096755,221.01843375574748,1068.6004108444092,323.8232454372301,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9702522214824388,1.1363146209284714,0.08594737971251071,1.1511988273501659,2.39427217649847,0.10380177295375917,1.5,0.029678985741837145,0.019214905289073207,5.17,0.548,0.780952380952381,5.302801564332866,11.17327015699286,5.8,10.3,4.848224901843293,12.120579223412355,16.968804125255648,0.285714,0.714286,1.3061087596878984,1.5496907291252233,0.5224435038751594,0.6198762916500894,0.07563695663995237,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1507001961.6384592,0.007981671830182757,1547129.0362902323,217944.88093564298,254936.558665688,0.048537704572387826,1.2237037037037035,1860.46875,251.9211,15.31745570303505,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",27309075.33704787,10014258.828550067,16127921.189237582,1173421962.8200412,3120909.6981443395,199060719.8738985,7862168.547592148,46413871.08870697,23671074.255240556,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918
L1,3218.9935187108995,2743.9935187108995,110.73764527970043,411.66364032696316,250.79281759450825,131.57583497574282,225.8464283077646,221.00872878761655,1068.5569526515671,323.8114707870364,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9702309192541624,1.1362896727418939,0.08594549270760428,1.1511735523756088,2.394219609411964,0.10379949394937868,1.5,0.02967942171593225,0.01921534126316831,5.17,0.548,0.780952380952381,5.302685139462171,11.173024843922498,5.8,10.3,4.8480120152194734,12.120047006107704,16.96805902132718,0.285714,0.714286,1.3060800836113724,1.5496567051210122,0.522432033444549,0.6198626820484049,0.07563695663995236,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1506953025.2584858,0.007981847074438511,1547061.101513316,217935.31092789376,254929.10911116132,0.04853685541882221,1.2237037037037035,1860.46875,251.9211,15.31723069818309,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",27307876.18953186,10013819.100238115,16127213.008664139,1173387674.0113251,3120772.6583117577,199051979.0738229,7861823.318038678,46411833.04539948,23670034.853153735,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918
L1,3218.919845904413,2743.919845904413,110.73498779179363,411.6537612010066,250.7898034721067,131.57175299030615,225.839268659503,221.00172250120895,1068.525578975906,323.80297031258164,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9702155402924031,1.1362716616116797,0.08594413040052923,1.1511553053236043,2.3941816590528426,0.10379784864163143,1.5,0.029679736481859325,0.019215656029095387,5.17,0.548,0.780952380952381,5.302601087521172,11.172847742246597,5.8,10.3,4.847858326444951,12.119662783633485,16.967521110078437,0.285714,0.714286,1.3060593811628503,1.549632141781775,0.5224237524651402,0.6198528567127101,0.07563695663995235,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1506917696.7367475,0.007981973595315396,1547012.0575084626,217928.4020731391,254923.7310731648,0.048536242346862886,1.2237037037037035,1860.46875,251.9211,15.317068252592513,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",27307010.491589453,10013501.648140026,16126701.753412293,1173362919.978655,3120673.72544527,199045668.84714967,7861574.087222527,46410361.72525388,23669284.47987948,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918
L1,3218.866659222208,2743.866659222208,110.7330692597326,411.6466291196777,250.78762746239977,131.56880608395514,225.83409989708076,220.9966644552575,1068.502929390215,323.7968335538892,9.295,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9702044376122766,1.1362586586651469,0.08594314689722615,1.1511421320558095,2.3941542611891498,0.10379666082896152,1.5,0.02967996373328053,0.019215883280516592,5.17,0.548,0.780952380952381,5.3025404071040185,11.172719885549366,5.8,10.3,4.847747373960492,12.119385402034004,16.967132775994497,0.285714,0.714286,1.3060444352472955,1.5496144085366668,0.5224177740989182,0.6198457634146668,0.07563695663995237,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,1506892192.0353696,0.007982064938228468,1546976.6511868024,217923.41436598767,254919.84850938898,0.04853579972889873,1.2237037037037035,1860.46875,251.9211,15.316950973961031,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",27306385.518569782,10013272.470055357,16126332.663083088,1173345049.3145556,3120602.3028747854,199041113.30736446,7861394.160104612,46409299.535604075,23668742.76315808,248.97893347995856,0.0,-50197.312240342006,141944.49318217914,-782.0864241465131,-74568.70871558024,0.0,0.0,-10188.291398598747,26906.671086085,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,129806903.87528937,356536215.0677191,13523019.119743586,67213848.29346538,2746843.154431918
