name,mtom,oem,wing_weight,fuselage_weight,lg_weight,hortail_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac,y_mac,x_lemac,cLmax,cd,cd0,clalpha,cm,e,A,A_h,S,S_h,c_root,c_tip,t_r_h,sweep_le,sweep_1/4,sweep_m,b,taper,StotS,diskloading,mission_energy,wp_hover,power_hover,power_climb,power_cruise,wp_cruise,tw,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,ww,w_eng,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vz_vf,Mx_vf,T_vf
J1,2826.840442755978,2351.840442755978,129.5534313690146,271.45503853584535,112.8495863242174,119.14052209471706,266.62396558695514,50.13088503917161,1132.2142983675699,269.8727154384874,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.3726706900086127,2.3282606703607627,0.12285239529266305,1.5,0.07,0.017,4.97,-0.115,0.8,8.4,6,14.053920090385642,3.25,1.847825928857748,0.7391303715430992,0.14877,0.0527657391874541,0.1,-0.255,10.86521646168356,0.4,1.2,45,929321496.1001012,0.06822382182812936,350916.1952742013,131232.94531882912,166969.78868345614,0.06822382182812936,1.2333333333333332,0.048057715169801465,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.392494329520762,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,6194180.697889517,2680406.7847279743,9711237.953593355,768528524.0926034,2595545.802255167,121855291.31691824,1859805.806192162,10527485.858226039,5369017.78769528,668.7430851207065,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,-7050.856683312572,27853.077612714507,1457.8881285574364
J1,2924.159042513096,2449.159042513096,135.41859984521196,273.75106110098557,119.27361771023912,125.48481431249755,282.68404403854163,53.150515869446636,1175.7166770716824,283.6797125644915,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.4134075815371017,2.397356705607161,0.12649829866736167,1.5,0.07,0.017,4.97,-0.115,0.8,8.4,6,14.900457117569381,3.25,1.9026640520691753,0.7610656208276702,0.14877,0.052765739187454114,0.1,-0.255,11.18766462616675,0.4,1.2,45,965028248.540437,0.06822382182812936,372053.6110861265,139137.7538480001,172623.17317602033,0.06822382182812936,1.2333333333333332,0.0466726073243701,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.734168939267496,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,6567286.797832228,2841860.9253943237,10296193.784752008,794549921.582872,2751888.3467715154,129195237.42409737,1971831.096515964,11161608.332583794,5692420.249617735,668.7430851207065,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,-7050.856683312572,27853.077612714507,1457.8881285574364
J1,2982.994494001545,2507.994494001545,138.9331835440335,275.0885835777801,123.16636170052385,129.30931192925945,292.41590400609243,54.9803091972017,1202.0990518965757,292.00178815007786,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.437531147442341,2.4382739847002783,0.12865732914424932,1.5,0.07,0.017,4.97,-0.115,0.8,8.4,6,15.413429693060447,3.25,1.935138083095459,0.7740552332381836,0.14877,0.0527657391874541,0.1,-0.255,11.378611928601298,0.4,1.2,45,986682901.7967094,0.06822382182812936,384862.1643804119,143927.79829940773,176052.75055886604,0.06822382182812936,1.2333333333333332,0.04588938275162813,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.93023233839836,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,6793376.373211778,2939696.629801541,10650657.074156173,810335579.9650398,2846626.59819353,133642994.50696395,2039714.6029099054,11545864.931412358,5888391.115020302,668.7430851207065,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,-7050.856683312572,27853.077612714507,1457.8881285574364
J1,3018.5168067627133,2543.5168067627133,141.04417146819137,275.8788313899263,125.5197797600618,131.61447249994376,298.2994491500034,56.086538806317556,1218.0557584649805,297.0178052232885,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.4519210256185808,2.462681431914593,0.12994520613819144,1.5,0.07,0.017,4.97,-0.115,0.8,8.4,6,15.723555128029023,3.25,1.9545090729480896,0.7818036291792358,0.14877,0.052765739187454114,0.1,-0.255,11.492513348934766,0.4,1.2,45,999780166.5480559,0.06822382182812936,392605.7716442229,146823.6931093584,178127.3734321422,0.06822382182812936,1.2333333333333332,0.045434576590874694,0.07608290452035935,1.2237037037037035,1860.46875,220.449,14.04500740266571,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,6930062.292218895,2998844.7048340123,10864953.290092522,819884653.886852,2903902.0605363054,136331954.24060684,2080754.617432046,11778173.149326688,6006868.306156611,668.7430851207065,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,-7050.856683312572,27853.077612714507,1457.8881285574364
J1,3039.946776543065,2564.946776543065,142.31379239901193,276.3495124878022,126.94067227050853,133.0037373055987,301.8516804231414,56.75443262146732,1227.6920276018182,300.0409214337167,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.4605403771283805,2.4773011781292924,0.130716627853943,1.5,0.07,0.017,4.97,-0.115,0.8,8.4,6,15.910795514861274,3.25,1.9661120461343584,0.7864448184537434,0.14877,0.05276573918745409,0.1,-0.255,11.56073883127003,0.4,1.2,45,1007689616.2555722,0.06822382182812936,397281.0283502713,148572.10972825202,179380.3509627026,0.06822382182812936,1.2333333333333332,0.0451664452933986,0.07608290452035935,1.2237037037037035,1860.46875,220.449,14.112986096675764,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7012587.365829859,3034555.7662327173,10994336.119890649,825651858.7199872,2938482.5190083543,137955432.36891535,2105532.811440884,11918430.850508139,6078399.733759151,668.7430851207065,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,-7050.856683312572,27853.077612714507,1457.8881285574364
J1,3052.8690470489064,2577.8690470489064,143.07797500938793,276.6311777501519,127.7978710617226,133.84096125270008,303.99467739937944,57.15736089844566,1233.5062102687828,301.8628134083363,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.465715763259592,2.4860794292210784,0.13117981876157417,1.5,0.07,0.017,4.97,-0.115,0.8,8.4,6,16.023754258804964,3.25,1.9730789120802203,0.7892315648320882,0.14877,0.05276573918745409,0.1,-0.255,11.601704003031697,0.4,1.2,45,1012461897.3886168,0.06822382182812936,400101.5262891196,149626.89789923266,180136.391541264,0.06822382182812936,1.2333333333333332,0.04500696430777574,0.07608290452035935,1.2237037037037035,1860.46875,220.449,14.153527922487976,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7062373.252393458,3056099.6046574237,11072390.444543216,829131762.2077819,2959344.2851053174,138934847.40482888,2120481.048409327,12003045.788673589,6121553.35222353,668.7430851207065,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,-7050.856683312572,27853.077612714507,1457.8881285574364
J1,3060.6589989601794,2585.6589989601794,143.53814420883933,276.8002014824185,128.31476188195626,134.3454847080349,305.2869044488799,57.400326625552786,1237.0124428128875,302.96073279161027,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.4688277075792358,2.491357765547858,0.1314583340795367,1.5,0.07,0.017,4.97,-0.115,0.8,8.4,6,16.09186837469974,3.25,1.977268067895125,0.7909072271580501,0.14877,0.0527657391874541,0.1,-0.255,11.626336239223336,0.4,1.2,45,1015339813.060818,0.06822382182812936,401802.2863788695,150262.93510374008,180592.33402875002,0.06822382182812936,1.2333333333333332,0.04491160991991986,0.07608290452035935,1.2237037037037035,1860.46875,220.449,14.177806651724833,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7092394.139036887,3069090.5379490554,11119457.197676767,831230374.2365906,2971923.9288237966,139525434.6133637,2129494.834414231,12054068.591366084,6147574.981596704,668.7430851207065,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,-7050.856683312572,27853.077612714507,1457.8881285574364
J1,3065.3542410692226,2590.3542410692226,143.81531999297346,276.90179866917157,128.62635995840716,134.64951071664103,306.065899639354,57.54679402301178,1239.1262104892571,303.6223475804065,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.4707005044762305,2.49453431720776,0.1316259471759386,1.5,0.07,0.017,4.97,-0.115,0.8,8.4,6,16.13292971040381,3.25,1.9797891406410795,0.7919156562564318,0.14877,0.052765739187454114,0.1,-0.255,11.641160146969545,0.4,1.2,45,1017074793.5695822,0.06822382182812936,402827.55816108244,150646.35837557557,180867.20839743383,0.06822382182812936,1.2333333333333332,0.04485441926591446,0.07608290452035935,1.2237037037037035,1860.46875,220.449,14.192382095681909,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7110491.675625394,3076921.881951536,11147830.519792592,832495565.9490622,2979507.334509631,139881459.19525275,2134928.6286909375,12084826.744832473,6163261.639864562,668.7430851207065,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,-7050.856683312572,27853.077612714507,1457.8881285574364
J1,3068.183922286841,2593.183922286841,143.98229949961086,276.96292753569554,128.8141696427689,134.83271424042456,306.5354238498645,57.6350744000904,1240.400278879427,304.02103423895943,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.4718281453995858,2.49644696969699,0.13172686969834155,1.5,0.07,0.017,4.97,-0.115,0.8,8.4,6,16.157678632431473,3.25,1.9813071188071347,0.792522847522854,0.14877,0.052765739187454114,0.1,-0.255,11.650085858585951,0.4,1.2,45,1018120548.9042338,0.06822382182812936,403445.52080063283,150877.45930046117,181032.89000159013,0.06822382182812936,1.2333333333333332,0.044820054059001094,0.07608290452035935,1.2237037037037035,1860.46875,220.449,14.201145278801718,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7121399.614060462,3081642.072339058,11164931.988234127,833258165.2175618,2984078.084895721,140096046.0922939,2138203.7425800175,12103365.624018986,6172716.468249682,668.7430851207065,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,-7050.856683312572,27853.077612714507,1457.8881285574364
J1,3069.8891828639908,2594.8891828639908,144.08290300950188,276.9997293688534,128.92735689147364,134.9431101787264,306.81839197138913,57.68827832847197,1241.1681345750794,304.2612785404949,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.4725073236321584,2.4975989604683915,0.1317876553429317,1.5,0.07,0.017,4.97,-0.115,0.8,8.4,6,16.172594063455378,3.25,1.9822213971971363,0.7928885588788546,0.14877,0.05276573918745412,0.1,-0.255,11.655461815519159,0.4,1.2,45,1018750804.859225,0.06822382182812936,403817.94829930377,151016.73687791842,181132.74363869824,0.06822382182812936,1.2333333333333332,0.04479938128908609,0.07608290452035935,1.2237037037037035,1860.46875,220.449,14.20641866184281,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7127973.500517394,3084486.7891338384,11175238.528965963,833717771.5269252,2986832.738695798,140225371.16180095,2140177.5552274296,12114538.448979113,6178414.608979348,668.7430851207065,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,-7050.856683312572,27853.077612714507,1457.8881285574364
