name,mtom,oem,wing_weight,fuselage_weight,lg_weight,hortail_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac,y_mac,x_lemac,cLmax,cd,cd0,clalpha,e,A,A_h,S,S_h,c_root,c_tip,t_r_h,sweep_le,sweep_1/4,sweep_m,b,taper,StotS,diskloading,mission_energy,wp_hover,power_hover,power_climb,power_cruise,wp_cruise,tw,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,ww,w_eng,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy
J1,2836.1961454215552,2361.1961454215552,129.5534313690146,271.45503853584535,112.8495863242174,119.14052209471706,266.62396558695514,50.13088503917161,1141.5700010331468,269.8727154384874,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.3726706900086127,2.3282606703607627,0.12285239529266305,1.5,0.07,0.017,4.97,0.8,8.4,6,14.053920090385642,3.25,1.847825928857748,0.7391303715430992,0.14877,0.0527657391874541,0.1,-0.255,10.86521646168356,0.4,1.2,45,937000656.848007,0.06822382182812936,350916.1952742013,131232.94531882912,168638.1559686626,0.06822382182812936,1.2333333333333332,0.048057715169801465,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.26,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,6194180.697889517,2680406.7847279743,9711237.953593355,776207684.8405092,2595545.802255167,121855291.31691824,1859805.806192162,10527485.858226039,5369017.78769528
J1,2965.905353885949,2490.905353885949,135.75773661622028,273.8813414937648,119.64784581686222,125.85312030871376,283.6196143043148,53.32642265763162,1214.338113536176,284.48115915226543,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.4157445542748373,2.4013205709046277,0.126707454949822,1.5,0.07,0.017,4.97,0.8,8.4,6,14.949771625832627,3.25,1.905809976908435,0.762323990763374,0.14877,0.052765739187454114,0.1,-0.255,11.206162664221596,0.4,1.2,45,996728723.5904931,0.06822382182812936,373284.95860342134,139598.2437415468,179387.80802217225,0.06822382182812936,1.2333333333333332,0.046595564745900174,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.26,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,6589021.870555393,2851266.3398042675,10330270.036874462,825686182.072454,2760995.9882046347,129622821.59505612,1978357.0628091865,11198548.75810264,5711259.866632347
J1,3064.65626836671,2589.65626836671,140.43207244032453,275.65068375355673,124.83621415543796,130.94545746854394,296.59053513987686,55.76522721080931,1269.8740593730638,295.5620188250966,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.4477561302006927,2.455617128532714,0.12957245294840214,1.5,0.07,0.017,4.97,0.8,8.4,6,15.633477175408423,3.25,1.948902482962471,0.7795609931849885,0.14877,0.0527657391874541,0.1,-0.255,11.45954659981933,0.4,1.2,45,1042312627.9334108,0.06822382182812936,390356.5904756652,145982.56159909896,187591.84236735685,0.06822382182812936,1.2333333333333332,0.045565282485265056,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.26,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,6890360.97672546,2981664.7611737493,10802709.558333322,863447710.4101517,2887266.0294292197,135550928.37115395,2068834.2778957265,11710697.714269955,5972455.834277677
J1,3139.70739384465,2664.70739384465,143.95748104311988,276.9538454785797,128.78625073466839,134.80548207024947,306.46562657967183,57.62195105268097,1312.1549853217575,303.96177156392224,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.4716605702561845,2.4961627364729893,0.1317118719221755,1.5,0.07,0.017,4.97,0.8,8.4,6,16.15399957359047,3.25,1.9810815368833252,0.7924326147533302,0.14877,0.052765739187454114,0.1,-0.255,11.64875943687395,0.4,1.2,45,1077016811.9520986,0.06822382182812936,403353.6573687668,150843.104919292,193837.7820628484,0.06822382182812936,1.2333333333333332,0.04482515763188873,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.26,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7119778.091018296,3080940.390942308,11162389.764027609,892196520.9201044,2983398.6185497073,140064146.60916328,2137716.8794877413,12100609.721063003,6171310.957742132
J1,3196.675086286832,2721.675086286832,146.61835549959042,277.92042544165366,131.788295753786,137.729706391518,313.97073912117213,59.0330692662884,1344.2886733527391,310.3258214600847,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.4895715070484408,2.5265424408013946,0.13331487947736007,1.5,0.07,0.017,4.97,0.8,8.4,6,16.549598865257284,3.25,2.0051924133344396,0.8020769653337759,0.14877,0.05276573918745409,0.1,-0.255,11.790531390406507,0.4,1.2,45,1103392143.0879283,0.06822382182812936,413231.4848640188,154537.13903059976,198584.72345856897,0.06822382182812936,1.2333333333333332,0.04428617003629586,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.26,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7294136.097950302,3156390.3023263,11435748.288264383,914045742.2287775,3056459.8053400978,143494212.14396048,2190067.9569690167,12396944.545920564,6322441.718419488
J1,3239.8768887009915,2764.8768887009915,148.62778301761446,278.64099231349485,134.06700345147328,139.94406634996392,319.66750836061306,60.10418109679625,1368.6798073314035,315.14554677963235,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.5030243506951992,2.54936053329455,0.1345188929946091,1.5,0.07,0.017,4.97,0.8,8.4,6,16.849879222607075,3.25,2.02330201055123,0.809320804220492,0.14877,0.05276573918745409,0.1,-0.255,11.897015822041233,0.4,1.2,45,1123412385.8576157,0.06822382182812936,420729.2676775738,157341.10229942203,202187.8979046598,0.06822382182812936,1.2333333333333332,0.04388978595846207,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.26,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7426482.858248443,3213660.693931242,11643241.57015723,930630433.153626,3111917.0312248636,146097809.58768293,2229805.136951039,12621878.030327214,6437157.795466879
J1,3272.617096593548,2797.617096593548,150.14584502250213,279.18014581729653,135.79507554803965,141.62036497145374,323.9876885984061,60.916465387792115,1387.1769748597005,318.7945363883571,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.5131466562390223,2.5665295207746497,0.13542482731009672,1.5,0.07,0.017,4.97,0.8,8.4,6,17.077598691501578,3.25,2.0369281910909915,0.8147712764363967,0.14877,0.0527657391874541,0.1,-0.255,11.977137763615032,0.4,1.2,45,1138594860.964842,0.06822382182812936,426415.25771454483,159467.50521172467,204920.3875634564,0.06822382182812936,1.2333333333333332,0.043596182016046627,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.26,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7526848.843659513,3257092.050130359,11800595.385667626,943207536.2399482,3153973.3619695683,148072263.83548078,2259940.073517436,12792457.731436346,6524153.443032537
J1,3297.4166014217653,2822.4166014217653,151.29302296866956,279.58465577150616,137.1046838637419,142.88905388878769,327.2617093849163,61.53204980948158,1401.1949342145956,321.5564915200663,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.520772903954399,2.5794648101688082,0.1361073674165831,1.5,0.07,0.017,4.97,0.8,8.4,6,17.250174425294226,3.25,2.047194293784768,0.8188777175139071,0.14877,0.05276573918745409,0.1,-0.255,12.037502447454436,0.4,1.2,45,1150100802.00334,0.06822382182812936,430724.348666371,161078.98597228914,206991.18726379337,0.06822382182812936,1.2333333333333332,0.04337755944417248,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.26,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7602910.559700849,3290006.223881331,11919844.961949397,952739012.8617967,3185845.481530219,149568591.278663,2282777.6412317287,12921730.459991131,6590082.534595476
J1,3316.194284590864,2841.194284590864,152.16011221725273,279.88875784245676,138.0966640568706,143.84908417217662,329.7416598656583,61.99833239656721,1411.81302350237,323.6466505375118,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.5265241474486027,2.5892198039416683,0.13662209687377713,1.5,0.07,0.017,4.97,0.8,8.4,6,17.38089420439486,3.25,2.0549363523346575,0.821974540933863,0.14877,0.052765739187454114,0.1,-0.255,12.083025751727785,0.4,1.2,45,1158816129.6907454,0.06822382182812936,433988.32677597046,162299.62345368048,208559.7419698389,0.06822382182812936,1.2333333333333332,0.043214132676921736,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.26,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7660524.515617065,3314937.5014569853,12010172.135572355,959958756.2818538,3209987.4413346234,150702004.35207933,2300076.259879905,13019649.803279113,6640021.399672348
J1,3330.408383273931,2855.408383273931,152.81560060198584,280.1177180719351,138.84777138363455,144.5754567601562,331.61942818099345,62.35139213498584,1419.8528258245592,325.2281903156806,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.346,1.530864498885755,2.5965817077254543,0.13701055316875546,1.5,0.07,0.017,4.97,0.8,8.4,6,17.479872575652234,3.25,2.0607791331154393,0.8243116532461757,0.14877,0.05276573918745409,0.1,-0.255,12.117381302718785,0.4,1.2,45,1165415199.436798,0.06822382182812936,436459.7449449009,163223.86545160186,209747.41984919755,0.06822382182812936,1.2333333333333332,0.04309161071432735,0.07608290452035935,1.2237037037037035,1860.46875,220.449,13.26,0,0,0.045,4.031659180251925,6.047488770377887,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7704148.637058483,3333814.9602836575,12078566.043418538,965425399.8879696,3228267.2447189367,151560201.79351008,2313174.423834732,13093792.348347027,6677834.097656984
