name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,powertrain_weight,nacelle_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,cm,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep_le2,sweep1_1/4,sweep2_1/4,sweep_m,taper1,taper2,StotS,mission_energy,power_hover,power_climb,power_cruise,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,depda,depsda,cl_alpha1,cl_alpha2,alpha
W1,3148.4788221248973,2673.4788221248973,309.1514779623618,337.5269964900074,248.4835667840236,128.464672846158,157.502189826927,160.94978337822158,771.0305810192963,317.3260245338201,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9906846846181366,1.9003999478972906,0.08904915546400143,0.9655999881524904,1.9497692068463752,0.08696453012299017,1.5,0.02850685103119094,0.019306249424838946,5.15,-2.56,0.7333320434989776,8.868533090187356,9.098922965283084,9.5,10,8.27903991281559,8.27903991281559,16.55807982563118,0.5,0.5,1.3336139985244146,1.2998461378975832,0.5334455994097659,0.5199384551590333,0.04685811297907602,0.04460247388133165,0.1,0.1,-0.36837,0.4,0.4,1.2,1124051363.48122,1102515.328788489,175089.25645146953,187475.10195872674,0.014754453464202705,0.06492186390643391,1.2237037037037035,1860.46875,221.6754,15.94727347872232,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19460997.413849033,7235249.358678601,12956604.977408744,862910377.6707748,3423855.6445804774,162468952.41930318,5651381.602506518,33075459.863654673,16868484.530463886,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015
W1,3153.48565697956,2678.48565697956,309.6849328413438,338.109414611546,248.69723352875613,128.75117078203192,157.86130792894951,161.31676228049102,772.6423254493279,317.9238134680628,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9918134633259174,1.9025652493607743,0.0891506174046111,0.9667001855450444,1.9519907592736474,0.08706361685710362,1.5,0.028482863746647352,0.019282870548941008,5.15,-2.56,0.7333805397908558,8.878637830350279,9.109290209943687,9.5,10,8.29791681289759,8.29791681289759,16.59583362579518,0.5,0.5,1.3351335083233502,1.3013271728490983,0.5340534033293401,0.5205308691396393,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1125886536.7421231,1105029.1555026467,175488.47452920207,187744.44890168446,0.014737661483118392,0.06498807793528166,1.2237037037037035,1860.46875,221.6754,15.960703721904013,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19505370.10772971,7251746.329420425,12986147.115160953,864150127.7487521,3431662.3204243593,162839395.15342972,5664267.222935842,33150874.6650794,16906946.079190496,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015
W1,3156.9850146916556,2681.9850146916556,310.05766304048933,338.51635591245105,248.84647121770342,128.95144377467827,158.11234518960603,161.5732945405626,773.768999269197,318.3416222295446,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9926017604441659,1.9040774154674147,0.08922147465487917,0.967468522534462,1.9535422089638173,0.08713281535138762,1.5,0.02846616090897857,0.01926659181930068,5.15,-2.56,0.7334143492629958,8.885694605514601,9.116530308497813,9.5,10,8.311112486575924,8.311112486575924,16.622224973151848,0.5,0.5,1.3361946775209925,1.302361472642545,0.534477871008397,0.520944589057018,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1127169407.5461483,1106786.4163272423,175767.54320347428,187932.73587785102,0.014725957236219146,0.06503419859116157,1.2237037037037035,1860.46875,221.6754,15.970068842975271,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19536388.314433917,7263278.34164937,13006798.197057096,865016775.020933,3437119.484815811,163098348.764182,5673274.763453068,33203592.48981727,16933832.16980681,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015
W1,3159.4304744686206,2684.4304744686206,310.31808481681526,338.80068054373936,248.95071565827087,129.0914178025192,158.28779918391618,161.75258907867723,774.5564512148626,318.63360212721784,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9931523425505088,1.9051335801810234,0.08927096454035399,0.9680051635905073,1.9546258110962162,0.0871811466871957,1.5,0.028454518713050367,0.019255245458929728,5.15,-2.56,0.7334379348264114,8.890623374178109,9.121587118449009,9.5,10,8.32033515594549,8.32033515594549,16.64067031189098,0.5,0.5,1.3369358457410694,1.3030838740641444,0.5347743382964277,0.5212335496256578,0.04685811297907603,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1128066033.7449033,1108014.5942874132,175962.5888053098,188064.3342240454,0.014717793485094915,0.06506635258542091,1.2237037037037035,1860.46875,221.6754,15.976603013253523,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19558067.439868744,7271338.251173197,13021231.571592925,865622495.8736168,3440933.5851114537,163279335.62337855,5679570.278941584,33240437.828622393,16952623.29259742,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015
W1,3161.139292424234,2686.139292424234,310.50003399834685,338.9993299603973,249.02353556474986,129.18923599747586,158.4104118806148,161.8778856665834,775.1067477645059,318.83763046208384,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9935369253003493,1.9058713134367278,0.0893055333285982,0.9683800084876331,1.9553827094461824,0.08721490622608087,1.5,0.028446398206658376,0.019247331408942647,5.15,-2.56,0.7334543955134113,8.894066129371396,9.12511931074885,9.5,10,8.326780243540156,8.326780243540156,16.653560487080313,0.5,0.5,1.3374535532889318,1.3035884729641214,0.5349814213155727,0.5214353891856486,0.04685811297907602,0.04460247388133165,0.1,0.1,-0.36837,0.4,0.4,1.2,1128692627.395147,1108872.8831643036,176098.8927254017,188156.299978877,0.014712096455275542,0.0650887836136178,1.2237037037037035,1860.46875,221.6754,15.981163805307018,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19573217.48556639,7276970.766099684,13031318.061679726,866045795.8393478,3443598.9967743005,163405814.85778046,5683969.780555611,33266186.49492911,16965755.112413846,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015
W1,3162.3332951175285,2687.3332951175285,310.62715461571304,339.1381183642386,249.0744057397863,129.2575885786559,158.49609015660957,161.96543936965716,775.4912797261213,318.98019173787986,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9938055724897231,1.9063866510740362,0.08932968107782957,0.9686418533782468,1.9559114347060753,0.08723848868067567,1.5,0.028440731338918175,0.01924180866932939,5.15,-2.56,0.7334658872295634,8.896471038345501,9.127586695295017,9.5,10,8.331283888012662,8.331283888012662,16.662567776025323,0.5,0.5,1.3378151937361658,1.303940956470717,0.5351260774944663,0.5215763825882868,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1129130474.940663,1109472.631096267,176194.13804011417,188220.56340336017,0.01470811945668355,0.06510443868996037,1.2237037037037035,1860.46875,221.6754,15.98434808142636,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19583803.90794813,7280906.607830678,13038366.214968449,866341587.5221462,3445461.5108714364,163494194.96069366,5687044.02754369,33284178.93288801,16974931.255772885,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015
W1,3163.16754628214,2688.16754628214,310.71596771860084,339.2350831921743,249.109943285724,129.3053485906306,158.55595615459868,162.0266157851639,775.7599639795508,319.0797997318657,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9939932413003086,1.9067466503789574,0.08934654996593196,0.968824770308418,1.9562807861996903,0.08725496267102266,1.5,0.02843677538866303,0.0192379533585824,5.15,-2.56,0.7334739116968153,8.898151035101801,9.129310335598554,9.5,10,8.334430720366658,8.334430720366658,16.668861440733316,0.5,0.5,1.3380678248273385,1.3041871907997935,0.5352271299309355,0.5216748763199174,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1129436413.0507827,1109891.6930821908,176260.6888168758,188265.4663744814,0.014705342521016691,0.06511536805814837,1.2237037037037035,1860.46875,221.6754,15.986571726161278,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19591200.960861012,7283656.699267717,13043290.97244881,866548266.9124435,3446762.905698764,163555948.80671647,5689192.096723067,33296750.792465724,16981342.90415752,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015
W1,3163.7504217421174,2688.7504217421174,310.7780167081758,339.3028273583174,249.13477000714806,129.33871857030942,158.59778460174005,162.06935982265216,775.9476940805574,319.1493940712062,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.994124344707004,1.9069981420100701,0.08935833438919592,0.9689525541027141,1.9565388111689428,0.08726647122297443,1.5,0.02843401314659899,0.019235261400709403,5.15,-2.56,0.7334795158942063,8.89932466271366,9.130514452121732,9.5,10,8.33662941604038,8.33662941604038,16.67325883208076,0.5,0.5,1.3382443101825054,1.3043592074459613,0.5352977240730022,0.5217436829783846,0.04685811297907602,0.04460247388133164,0.1,0.1,-0.36837,0.4,0.4,1.2,1129650172.783621,1110184.4922121803,176307.18792724717,188296.84022206336,0.014703403205767655,0.06512299988288128,1.2237037037037035,1860.46875,221.6754,15.98812475283585,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19596369.290917482,7285578.191570054,13046731.906616291,866692674.4544749,3447672.191880791,163599096.29562342,5690692.955326339,33305534.76636541,16985822.73084636,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015
W1,3164.157657536983,2689.157657536983,310.82136680009125,339.35015634544766,249.152114304351,129.36203354196286,158.627009344122,162.0992242706375,776.0788575789412,319.1980173935216,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9942159339106893,1.907173834761371,0.08936656701998597,0.969041824215967,1.9567190681283948,0.08727451112930036,1.5,0.028432084091262712,0.019233381435623188,5.15,-2.56,0.7334834302171496,8.90014456221973,9.131355651265842,9.5,10,8.338165602990465,8.338165602990465,16.67633120598093,0.5,0.5,1.3383676033413126,1.3044793787522633,0.535347041336525,0.5217917515009053,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1129799522.845835,1110389.065408854,176339.67597340877,188318.7605759534,0.01470204869821537,0.06512832988020462,1.2237037037037035,1860.46875,221.6754,15.98920951247825,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19599980.305066176,7286920.701784095,13049136.02203225,866793569.4568316,3448307.492883758,163629242.62746012,5691741.576755774,33311671.962265622,16988952.70075547,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015
W1,3164.442175693976,2689.442175693976,310.85165292308903,339.38322228515506,249.1642313797828,129.37832294109785,158.64742770449374,162.12008957214462,776.1704971935654,319.2319884497404,9.295,1.7,0.8,320,83.33,104.17,45,2,30.5,5,0.4546065494115993,0.9942799192499233,1.9072965758688434,0.0893723184366671,0.9691041894102267,1.956844997847573,0.08728012790631089,1.5,0.028430736748954133,0.019232068383250624,5.15,-2.56,0.7334861644281125,8.900717354054603,9.131943323288674,9.5,10,8.339238885975659,8.339238885975659,16.678477771951318,0.5,0.5,1.33845373745182,1.304563331898382,0.535381494980728,0.5218253327593528,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1129903868.8858178,1110531.9939314562,176362.3742961392,188334.07562221747,0.014701102570716282,0.06513205269286214,1.2237037037037035,1860.46875,221.6754,15.989967246568897,0,1,0.045,3.0702387168170113,4.605358075225517,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19602503.201153062,7287858.669243135,13050815.6979143,866864061.5500093,3448751.3566705943,163650304.87188578,5692474.2138466295,33315959.81794369,16991139.50715128,250.39199879468728,0.0,-29560.495647947137,62257.505173272555,-316.50799184272245,157516.88083419224,0.0,0.0,-6804.712127319263,20976.594785466827,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,271620411.13188386,259683491.44839144,11694625.04665936,87053316.49760604,4563367.054008208,0.1,0.1,4.996018735495839,5.046546070471624,4.76895509946015
