city-city,dist,label,sum_gdp
Milan-Amsterdam,826.7935073928985,Mil-Ams-dir,396.5
Milan-Dortmund,685.9422499645041,Mil-Dor-dir,382.2
Milan-Rome,476.9252571641851,Mil-Rom-dir,379.1
Milan-Hamburg,900.4846786278023,Mil-Ham-dir,376.5
Milan-Stuttgart,367.7678346683137,Mil-Stu-dir,369.5
Milan-Frankfurt,516.0907431324617,Mil-Fra-dir,366.0
Milan-Stockholm,1655.4264527489445,Mil-Sto-dir,361.6
Milan-Brussels,697.5239616622745,Mil-Bru-dir,361.5
Milan-Vienna,624.6105193492455,Mil-Vie-dir,346.0
Milan-Lisbon,1687.5389271182187,Mil-Lis-dir,324.6
Milan-Marseille,389.58234977486984,Mil-Mar-dir,315.0
Milan-Cologne,629.756152161677,Mil-Col-dir,311.7
Milan-Helsinki,1938.8585844123495,Mil-Hel-dir,303.3
Milan-Lyon,342.78286276713493,Mil-Lyo-dir,302.6
Milan-Düsseldorf,663.865216022727,Mil-Düs-dir,300.1
Milan-Warsaw,1145.2801136529565,Mil-War-dir,298.7
Milan-Rotterdam,796.7366592550419,Mil-Rot-dir,295.7
Milan-Prague,646.6169900843106,Mil-Pra-dir,295.4
Milan-Lille,734.4278962937816,Mil-Lil-dir,295.3
Milan-Turin,128.38204607920792,Mil-Tur-dir,289.5
Milan-Utrecht,795.5180770349162,Mil-Utr-dir,285.7
Milan-Budapest,790.6849873995264,Mil-Bud-dir,283.2
Milan-Toulouse,649.3295863987323,Mil-Tou-dir,272.8
Milan-Bordeaux,773.1091975727567,Mil-Bor-dir,272.8
Milan-Bucharest,1335.6706534110087,Mil-Buc-dir,272.8
Milan-Malmö,1156.6488197728,Mil-Mal-dir,267.8
Milan-Nantes,852.3288698786176,Mil-Nan-dir,264.9
Milan-The Hague,818.9727226728108,Mil-The-dir,263.7
Milan-Bremen,846.6359279335376,Mil-Bre-dir,262.9
Milan-Bonn,604.5718777838972,Mil-Bon-dir,257.4
Milan-Dresden,705.8508865136579,Mil-Dre-dir,256.8
Milan-Bologna,200.1380159944091,Mil-Bol-dir,255.9
Milan-London,960.6079884731315,Mil-Lon-dir,1015.5
Milan-Valencia,1030.9188962880983,Mil-Val-dir,272.9
Milan-Naples,659.6098620291126,Mil-Nap-dir,274.1
Milan-Dublin,1418.9209176593965,Mil-Dub-dir,373.0
Milan-Athens,1463.4197674956804,Mil-Ath-dir,295.7
Milan-Barcelona,728.4930580356229,Mil-Bar-dir,385.2
Milan-Gothenburg,1374.650554242832,Mil-Got-dir,293.0
Milan-Nuremburg,465.07706023012645,Mil-Nur-dir,279.7
Milan-Braunschweig,761.7085922125365,Mil-Bra-dir,272.6
Milan-Hanover,768.5435786967479,Mil-Han-dir,270.8
Milan-Antwerp,731.1181092386795,Mil-Ant-dir,267.4
Milan-Brescia,79.210112792546,Mil-Bre-dir,257.1
Munich-Berlin,505.50408228776473,Mun-Ber-dir,388.2
Munich-Amsterdam,667.2720291385815,Mun-Ams-dir,377.6
Munich-Dortmund,480.2986117164943,Mun-Dor-dir,363.3
Munich-Rome,696.4707994825344,Mun-Rom-dir,360.2
Munich-Hamburg,613.0362439202288,Mun-Ham-dir,357.6
Munich-Stuttgart,189.73207682289683,Mun-Stu-dir,350.6
Munich-Frankfurt,304.36346757951213,Mun-Fra-dir,347.1
Munich-Stockholm,1319.4043558725568,Mun-Sto-dir,342.7
Munich-Brussels,604.3814446654563,Mun-Bru-dir,342.6
Munich-Vienna,356.45054653181603,Mun-Vie-dir,327.1
Munich-Lisbon,1967.026584336106,Mun-Lis-dir,305.7
Munich-Marseille,722.3172337681403,Mun-Mar-dir,296.1
Munich-Cologne,457.0839855377161,Mun-Col-dir,292.8
Munich-Helsinki,1593.1476662627695,Mun-Hel-dir,284.4
Munich-Lyon,576.3132745077842,Mun-Lyo-dir,283.7
Munich-Düsseldorf,487.3258797286122,Mun-Düs-dir,281.2
Munich-Warsaw,813.242898158172,Mun-War-dir,279.8
Munich-Rotterdam,659.9190489017926,Mun-Rot-dir,276.8
Munich-Prague,302.8540215079665,Mun-Pra-dir,276.5
Munich-Lille,676.8744853192946,Mun-Lil-dir,276.4
Munich-Turin,452.8612368165137,Mun-Tur-dir,270.6
Munich-Utrecht,638.1860482263417,Mun-Utr-dir,266.8
Munich-Budapest,566.4040810476864,Mun-Bud-dir,264.3
Munich-Toulouse,931.1289647879352,Mun-Tou-dir,253.9
Munich-Bordeaux,1001.5793256911518,Mun-Bor-dir,253.9
Munich-Bucharest,1190.1650699757015,Mun-Buc-dir,253.9
Munich-Malmö,835.1113958392963,Mun-Mal-dir,248.9
Munich-Nantes,992.5871002096154,Mun-Nan-dir,246.0
Munich-The Hague,681.9243870231578,Mun-The-dir,244.8
Munich-Bremen,584.2726440278074,Mun-Bre-dir,244.0
Munich-Bonn,434.74433303358006,Mun-Bon-dir,238.5
Munich-Dresden,360.66520127131315,Mun-Dre-dir,237.9
Munich-Bologna,404.0628436820592,Mun-Bol-dir,237.0
Munich-London,920.0386748715288,Mun-Lon-dir,996.6
Munich-Valencia,1357.6589452549897,Mun-Val-dir,254.0
Munich-Naples,837.3538438583154,Mun-Nap-dir,255.2
Munich-Dublin,1381.6359917640243,Mun-Dub-dir,354.1
Munich-Athens,1496.7968603377235,Mun-Ath-dir,276.8
Munich-Barcelona,1055.5781835855119,Mun-Bar-dir,366.3
Munich-Gothenburg,1066.1027167757488,Mun-Got-dir,274.1
Munich-Nuremburg,152.49898462517802,Mun-Nur-dir,260.8
Munich-Braunschweig,466.05229352964324,Mun-Bra-dir,253.7
Munich-Hanover,489.6727471286462,Mun-Han-dir,251.9
Munich-Antwerp,620.6838101270687,Mun-Ant-dir,248.5
Munich-Brescia,306.10027322703843,Mun-Bre-dir,238.2
Berlin-Amsterdam,577.0085813772483,Ber-Ams-dir,376.0
Berlin-Dortmund,422.9276559565951,Ber-Dor-dir,361.7
Berlin-Rome,1183.3475090566692,Ber-Rom-dir,358.6
Berlin-Hamburg,255.21876855727714,Ber-Ham-dir,356.0
Berlin-Stuttgart,511.3297289557934,Ber-Stu-dir,349.0
Berlin-Frankfurt,425.56689197776467,Ber-Fra-dir,345.5
Berlin-Stockholm,814.5045168029692,Ber-Sto-dir,341.1
Berlin-Brussels,654.2432279686858,Ber-Bru-dir,341.0
Berlin-Vienna,524.8847671476992,Ber-Vie-dir,325.5
Berlin-Lisbon,2315.454518326916,Ber-Lis-dir,304.1
Berlin-Marseille,1187.3189281823034,Ber-Mar-dir,294.5
Berlin-Cologne,479.4439181324858,Ber-Col-dir,291.2
Berlin-Helsinki,1107.9778488106122,Ber-Hel-dir,282.8
Berlin-Lyon,975.79794444945,Ber-Lyo-dir,282.1
Berlin-Düsseldorf,478.2212620328392,Ber-Düs-dir,279.6
Berlin-Warsaw,517.9674462482383,Ber-War-dir,278.2
Berlin-Rotterdam,612.9365256902888,Ber-Rot-dir,275.2
Berlin-Prague,281.25460793294064,Ber-Pra-dir,274.9
Berlin-Lille,744.3061079670813,Ber-Lil-dir,274.8
Berlin-Turin,928.7854512608244,Ber-Tur-dir,269.0
Berlin-Utrecht,566.3094209117409,Ber-Utr-dir,265.2
Berlin-Budapest,690.808050498271,Ber-Bud-dir,262.7
Berlin-Toulouse,1328.087959237399,Ber-Tou-dir,252.3
Berlin-Bordeaux,1333.8267941017355,Ber-Bor-dir,252.3
Berlin-Bucharest,1296.6216634805232,Ber-Buc-dir,252.3
Berlin-Malmö,341.3910463904973,Ber-Mal-dir,247.3
Berlin-Nantes,1225.713609216784,Ber-Nan-dir,244.4
Berlin-The Hague,624.3123744949262,Ber-The-dir,243.2
Berlin-Bremen,316.2709285921669,Ber-Bre-dir,242.4
Berlin-Bonn,481.23943478072687,Ber-Bon-dir,236.9
Berlin-Dresden,165.7516070902878,Ber-Dre-dir,236.3
Berlin-Bologna,904.9778410356453,Ber-Bol-dir,235.4
Berlin-London,933.4516918747356,Ber-Lon-dir,995.0
Berlin-Valencia,1794.8064087002435,Ber-Val-dir,252.4
Berlin-Naples,1299.1645442057409,Ber-Nap-dir,253.6
Berlin-Dublin,1321.212860087512,Ber-Dub-dir,352.5
Berlin-Athens,1803.6628893413517,Ber-Ath-dir,275.2
Berlin-Barcelona,1501.0369048925954,Ber-Bar-dir,364.7
Berlin-Gothenburg,584.3171393107413,Ber-Got-dir,272.5
Berlin-Nuremburg,378.149353505261,Ber-Nur-dir,259.2
Berlin-Braunschweig,198.30625063805624,Ber-Bra-dir,252.1
Berlin-Hanover,249.64216340785353,Ber-Han-dir,250.3
Berlin-Antwerp,635.9783575116969,Ber-Ant-dir,246.9
Berlin-Brescia,810.515616210814,Ber-Bre-dir,236.6
Amsterdam-Dortmund,196.86546510684744,Ams-Dor-dir,351.1
Amsterdam-Rome,1294.6009270853822,Ams-Rom-dir,348.0
Amsterdam-Hamburg,366.7318252779286,Ams-Ham-dir,345.4
Amsterdam-Stuttgart,499.87494702934237,Ams-Stu-dir,338.4
Amsterdam-Frankfurt,362.90987516783673,Ams-Fra-dir,334.9
Amsterdam-Stockholm,1131.6300553848139,Ams-Sto-dir,330.5
Amsterdam-Brussels,173.51476561305705,Ams-Bru-dir,330.4
Amsterdam-Vienna,936.1554147942668,Ams-Vie-dir,314.9
Amsterdam-Lisbon,1863.7345901834042,Ams-Lis-dir,293.5
Amsterdam-Marseille,1007.9288119715281,Ams-Mar-dir,283.9
Amsterdam-Cologne,211.57859210067437,Ams-Col-dir,280.6
Amsterdam-Helsinki,1506.1678883392688,Ams-Hel-dir,272.2
Amsterdam-Lyon,731.7897779636543,Ams-Lyo-dir,271.5
Amsterdam-Düsseldorf,180.03851340413271,Ams-Düs-dir,269.0
Amsterdam-Warsaw,1094.9218044055763,Ams-War-dir,267.6
Amsterdam-Rotterdam,56.41890237102964,Ams-Rot-dir,264.6
Amsterdam-Prague,712.5813811678398,Ams-Pra-dir,264.3
Amsterdam-Lille,228.10050186563672,Ams-Lil-dir,264.2
Amsterdam-Turin,834.3268444279448,Ams-Tur-dir,258.4
Amsterdam-Utrecht,31.312318764326992,Ams-Utr-dir,254.6
Amsterdam-Budapest,1148.6645325670718,Ams-Bud-dir,252.1
Amsterdam-Toulouse,1004.2791340529335,Ams-Tou-dir,241.7
Amsterdam-Bordeaux,927.14220230198,Ams-Bor-dir,241.7
Amsterdam-Bucharest,1789.2358717064328,Ams-Buc-dir,241.7
Amsterdam-Malmö,642.2015249560458,Ams-Mal-dir,236.7
Amsterdam-Nantes,738.6428228562844,Ams-Nan-dir,233.8
Amsterdam-The Hague,53.45034692533427,Ams-The-dir,232.6
Amsterdam-Bremen,274.7348136621013,Ams-Bre-dir,231.8
Amsterdam-Bonn,235.60466844029665,Ams-Bon-dir,226.3
Amsterdam-Dresden,627.3305059246655,Ams-Dre-dir,225.7
Amsterdam-Bologna,993.2500055805614,Ams-Bol-dir,224.8
Amsterdam-London,358.5441397904004,Ams-Lon-dir,984.4
Amsterdam-Valencia,1488.8103436268968,Ams-Val-dir,241.8
Amsterdam-Naples,1464.0122463320838,Ams-Nap-dir,243.0
Amsterdam-Dublin,760.5689556945553,Ams-Dub-dir,341.9
Amsterdam-Athens,2163.515322168338,Ams-Ath-dir,264.6
Amsterdam-Barcelona,1236.3909345314346,Ams-Bar-dir,354.1
Amsterdam-Gothenburg,747.1365141958837,Ams-Got-dir,261.9
Amsterdam-Nuremburg,538.5701903023585,Ams-Nur-dir,248.6
Amsterdam-Braunschweig,382.0977184646345,Ams-Bra-dir,241.5
Amsterdam-Hanover,328.35472517726924,Ams-Han-dir,239.7
Amsterdam-Antwerp,130.86503367036022,Ams-Ant-dir,236.3
Amsterdam-Brescia,850.4244100098748,Ams-Bre-dir,226.0
Dortmund-Rome,1137.0637150770444,Dor-Rom-dir,333.7
Dortmund-Hamburg,283.70894814856723,Dor-Ham-dir,331.1
Dortmund-Stuttgart,330.4396124465852,Dor-Stu-dir,324.1
Dortmund-Frankfurt,180.9893523047205,Dor-Fra-dir,320.6
Dortmund-Stockholm,1098.344475522083,Dor-Sto-dir,316.2
Dortmund-Brussels,231.33059561238238,Dor-Bru-dir,316.1
Dortmund-Vienna,739.3975399242432,Dor-Vie-dir,300.6
Dortmund-Lisbon,1922.3436587637289,Dor-Lis-dir,279.2
Dortmund-Marseille,929.1067374632067,Dor-Mar-dir,269.6
Dortmund-Cologne,75.20391295003874,Dor-Col-dir,266.3
Dortmund-Helsinki,1449.9143292439321,Dor-Hel-dir,257.9
Dortmund-Lyon,668.6991953308395,Dor-Lyo-dir,257.2
Dortmund-Düsseldorf,57.99137422918559,Dor-Düs-dir,254.7
Dortmund-Warsaw,934.7848828241972,Dor-War-dir,253.3
Dortmund-Rotterdam,209.91808773120994,Dor-Rot-dir,250.3
Dortmund-Prague,519.6205565289815,Dor-Pra-dir,250.0
Dortmund-Lille,321.4415834765493,Dor-Lil-dir,249.9
Dortmund-Turin,718.2445769700787,Dor-Tur-dir,244.1
Dortmund-Utrecht,172.74601184889966,Dor-Utr-dir,240.3
Dortmund-Budapest,952.4675951704177,Dor-Bud-dir,237.8
